State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
A & N Islands,Nicobars,,,,0.07,0.11,,,,,,,,,,,,,,,,,,
A & N Islands,North And Middle Andaman,0.41,,,,,,0.6,,,,,,,,,,,1.25,,,,,
A & N Islands,South Andamans,,,0.47,0.43,0.52,0.64,0.62,,,,,,,,,,,,,,,,
Andhra Pradesh,Alluri Sitharama Raju,,,,,,,,,,,,,,,,,,,,,,,23.9
Andhra Pradesh,Anakapalli,,,,,,,,,,,,,,,,,,,,,,,23.9
Andhra Pradesh,Anantapur,,,,,,,,,,,,20.14,,0.68,1.58,,0.56,0.5,1.19,0.46,0.38,0.38,
Andhra Pradesh,Annamayya,,,,,,,,,,,,,,,,,,,,,,,5.2
Andhra Pradesh,Chittoor,,,1.18,,,,,,,,,,,0.7,2.04,,2.4,4.12,12.25,8.84,14.15,12.5,11.67
Andhra Pradesh,East Godavari,,,1.24,,,,,,,,,17.18,,32.57,20.82,,,20.91,24.5,24.93,24.51,24.68,21.49
Andhra Pradesh,Eluru,,,,,,,,,,,,,,,,,,,,,,,24.82
Andhra Pradesh,Guntur,,,1.24,,,,,,,,,13.08,,1.59,21.43,,,19.71,20.86,23.14,24.0,24.29,23.83
Andhra Pradesh,Kakinada,,,,,,,,,,,,,,,,,,,,,,,23.53
Andhra Pradesh,Konaseema,,,,,,,,,,,,,,,,,,,,,,,23.9
Andhra Pradesh,Krishna,,,1.24,,,,,,,,,21.35,,12.7,22.38,,1.0,21.32,21.37,21.94,24.65,25.0,23.89
Andhra Pradesh,Kurnool,,,,,,,,,,,,,,0.47,,,,,,,,,
Andhra Pradesh,Ntr,,,,,,,,,,,,,,,,,,,,,,,23.9
Andhra Pradesh,Parvathipuram Manyam,,,,,,,,,,,,,,,,,,,,,,,23.9
Andhra Pradesh,Prakasam,,,1.24,,,,,,,,,,,0.73,,,,,,,,,23.88
Andhra Pradesh,Spsr Nellore,,,1.24,,,,,,,,,21.35,,22.27,21.48,,,21.63,17.03,15.6,11.45,13.17,23.9
Andhra Pradesh,Sri Sathya Sai,,,,,,,,,,,,,,,,,,,,,,,5.29
Andhra Pradesh,Srikakulam,,,1.24,,,,,,,,,21.36,,22.45,21.48,,,19.78,23.47,16.81,20.52,25.25,23.9
Andhra Pradesh,Tirupati,,,,,,,,,,,,,,,,,,,,,,,20.89
Andhra Pradesh,Visakhapatanam,,,1.24,,,,,,,,,3.69,,22.17,24.27,,,18.21,19.57,19.17,20.3,21.95,23.9
Andhra Pradesh,Vizianagaram,,,1.24,,,,,,,,,22.59,,12.84,19.05,,,19.78,20.84,22.24,22.72,22.25,23.9
Andhra Pradesh,West Godavari,,,1.24,,,,,,,,,22.84,,22.39,21.8,,,19.09,19.77,23.25,24.19,24.47,23.9
Andhra Pradesh,Y.s.r.,,,,,,,,,,,,,,0.57,1.79,,0.95,1.93,1.65,1.03,2.82,3.18,
Arunachal Pradesh,Changlang,,,,,,,,,,,,,,,,,1.11,1.54,1.54,1.54,1.54,1.17,
Arunachal Pradesh,Leparada,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.7,
Arunachal Pradesh,Lohit,,,,,,,,,,,,,,,,,1.28,1.26,1.26,1.26,1.24,1.25,
Arunachal Pradesh,Lower Dibang Valley,,,,,,,,,,,,,,,,,0.49,0.59,0.59,0.59,0.63,0.73,
Arunachal Pradesh,Namsai,,,,,,,,,,,,,,,,,1.57,1.06,1.06,1.06,1.06,1.04,
Arunachal Pradesh,Papum Pare,,,,,,,,,,,,,,,,,0.65,0.38,0.38,0.39,0.46,0.75,
