Crop: Other Rabi pulses,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
1,Rajasthan,Baran,0.76,0.74,,,1.76,,,1.2,,251,,0.43,1.55,1.14,1.09,1.43,0.85,1.67,1,0.55,1.03,0.65,1.19
2,Rajasthan,Ganganagar,,,,1,22.71,,,,,,,,,,,,1,,,,,,
3,Rajasthan,Bundi,1,0.94,,0.92,6.33,,,1,,,,1.46,,,1,1,15.33,,,3.88,5,1.94,
4,Jammu and Kashmir,Badgam,,,7.47,,,,,,,0.48,1.2,0.91,0.91,0.5,,,,,,,,0.22,
5,Rajasthan,Kota,1.53,1.54,,,1,,,,,,0.6,0.61,0.21,0.59,0.67,0.52,0.6,0.55,7,0.5,0.6,0.63,0.73
6,Jammu and Kashmir,Leh ladakh,,,0.22,,0.36,,0.23,,0.4,0.41,1.3,1.3,1.3,1.3,,1.28,0.91,0.92,0.94,,,,
7,Andhra Pradesh,Kadapa,,1,,,0.2,0.6,0.47,,,,0.33,0.34,1.14,,1.25,,,,3,,6,,
8,Rajasthan,Rajsamand,,1,,,0.94,,,,,,,6,,,,2,0.4,2,,2,2,2,2
9,Chhattisgarh,Durg,,,,,,,,0.33,,6,,,0.43,1.03,0.03,0.2,0.33,,,,,0.05,0.5
10,Rajasthan,Tonk,0.58,0.92,,0.71,1.53,0.97,1,1,0.83,1,1.81,2.01,,1.99,2,2,2,5.34,2,2,2,2,1.96
11,Chhattisgarh,Raipur,0.33,0.34,0.34,0.34,4.07,0.32,0.32,0.31,0.32,0.28,0.32,0.32,0.39,1.39,,,,,,,,,
12,Himachal Pradesh,Mandi,,0.5,0.25,,,,0.35,0.5,,,,,,,,3.99,,4.04,4.04,4.04,,,
13,Himachal Pradesh,Sirmaur,,,,,,,0.51,,,,,,,,,3.93,,3.93,3.93,4.02,,,
14,Himachal Pradesh,Kullu,,,,,,,0.56,,,,,,,,,3.96,,3.97,3.97,4.01,,,
15,Himachal Pradesh,Kangra,,0.36,0.25,,,,0.74,0.27,,,,,,,,3.99,,4,4,4,,,
16,Himachal Pradesh,Shimla,,,,,,,0.92,0.5,,,,,,,,3.97,,3.98,3.98,3.98,,,
17,Himachal Pradesh,Chamba,,,0.3,,,,0.35,,,,,,,,,3.97,,3.97,3.97,3.95,,,1.19
18,Kerala,Idukki,,,,,,,,,,,,,,,,,,,,3.71,3.92,3.66,3.73
19,Mizoram,Aizawl,2.07,,2.2,1.16,,0.84,1.09,1.08,1.08,3.87,3.2,3.16,2.23,2.28,2.15,2.84,2.24,2.64,2.33,1.47,2.13,1.98,1.08
20,Mizoram,Serchhip,,,,,,1.39,1,,3.82,3.41,1.19,0.98,0.91,1.43,1.31,1.54,1.71,1.34,1.21,1.25,1.25,1.26,1.25
21,Maharashtra,Parbhani,0.38,0.52,0.4,0.54,0.39,0.53,0.47,0.42,0.38,0.44,0.56,0.72,0.57,0.5,,0.05,,3.6,0.5,0.53,0.63,0.35,0.51
22,Andhra Pradesh,Chittoor,0.15,,0.25,0.17,0.22,0.22,0.53,,,,,0.29,1.2,,1.23,,0.69,0.8,3.28,1.65,1.9,1.96,
23,Gujarat,Bhavnagar,,,,,,,0.5,,,,,0.33,,,0.33,,,,,,,,3.23
24,Mizoram,Kolasib,1.4,,0.62,0.64,,3.13,1.77,1.9,1.6,0.93,0.91,0.94,1.2,1.26,1.22,1.28,1.34,1.47,1.4,1.43,1.44,1.44,1.16
25,Mizoram,Saiha,,,,0.44,,2.34,0.9,1.2,,0.46,1,1,0.3,0.25,1.21,1,3.11,1.1,1.33,,,,
26,Rajasthan,Jalore,1.09,1.02,,1,3,,,,,,,,,,,,,,,,,,
27,Puducherry,Pondicherry,2.03,0.8,,0.98,,,,0.92,0.94,1,0.91,1,1.04,0.92,0.81,1.23,0.95,3,1,0.79,0.8,1,0.8
28,Rajasthan,Karauli,1,,,1,2,,,,,,,1.6,,1.44,2,3,,,,,1,,
29,Rajasthan,Dholpur,,,,,3,,,,,,,,,1,,,,,,0.67,1,1,1
30,Rajasthan,Ajmer,,1.19,,0.67,2.39,,,,0.72,,,1.91,,2,2,,1,1,,0.88,2.88,0.28,0.83
31,Mizoram,Lunglei,2.85,,1.72,1.64,,2.06,1.1,1.38,1.14,2.06,1.68,2.22,1.17,1.64,1.48,1.78,1.91,1.58,1.74,1.68,1.74,1.72,1.63
