Crop: Sesamum,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
1,Maharashtra,Nandurbar,0.18,0.33,0.4,0.4,0.29,0.29,0.25,0.4,0.2,0.25,0.5,,,,,0.2,128.1,0.31,0.21,0.37,0.22,0.26,0.21
2,Gujarat,Narmada,,,,0.57,0.25,0.5,0.5,1,0.25,1,,1,78.67,0.63,0.43,0.38,0.38,0.38,0.39,0.47,0.2,0.37,0.39
3,Gujarat,Bharuch,0.18,0.38,0.36,0.26,,0.04,,0.14,0.12,0.21,0.3,0.19,31.9,0.13,0.14,0.08,0.53,0.61,0.42,0.58,0.28,0.51,0.51
4,Gujarat,Junagadh,0.64,0.86,0.28,1.06,0.71,0.42,0.2,0.6,0.32,0.33,0.51,0.53,26.71,0.52,0.53,0.46,1.06,0.98,0.6,1.02,1.24,1.08,1.11
5,Maharashtra,Jalgaon,0.22,0.41,0.46,0.4,0.29,0.34,0.37,0.44,0.33,0.38,0.5,0.55,0.37,0.37,0.35,0.19,8.42,0.34,0.3,0.33,0.28,0.21,0.34
6,Kerala,Thiruvananthapuram,,1,,,,,,,,,,,,,,0.21,0.86,6.63,0.41,0.83,0.46,0.48,0.93
7,Haryana,Fatehabad,0.51,0.79,0.59,0.61,0.62,0.56,0.72,,,,6.25,,0.55,,,,,,0.67,,,0.8,
8,Gujarat,Panch mahals,0.25,0.59,0.36,0.59,0.33,0.41,0.21,0.46,0.29,0.35,0.44,0.47,5.54,0.52,0.54,0.42,0.47,0.56,0.61,0.53,0.55,0.56,0.63
9,Karnataka,Bijapur,0.49,0.19,0.39,0.44,0.54,0.87,0.59,0.56,0.51,0.41,0.35,0.12,0.1,0.17,0.11,0.49,0.72,0.75,0.64,0.53,0.92,2.76,0.66
10,Gujarat,Jamnagar,0.38,0.61,0.15,0.63,0.45,0.48,0.53,0.57,0.58,0.48,0.44,0.53,2.74,0.58,0.59,0.31,0.75,0.75,0.46,0.68,0.61,0.65,0.92
11,Karnataka,Yadgir,,,,,,,,,,,0.27,0.11,0.1,0.18,0.24,0.07,0.21,2.69,0.63,0.85,0.23,0.8,0.67
12,Arunachal Pradesh,Siang,,,,,,,,,,,,,,,,,0.22,2.54,2.54,2.54,2.54,1.18,1.06
13,Gujarat,Amreli,0.17,0.75,0.57,0.58,0.18,0.47,0.33,0.49,0.42,0.25,0.45,0.36,2.06,0.46,0.6,0.48,0.62,0.63,0.49,0.96,0.49,0.92,0.75
14,Arunachal Pradesh,Lower subansiri,,,,,,,,,,,,,,,,,2.02,0.29,0.38,0.41,0.41,0.51,0.6
15,Mizoram,Saiha,,,,0.41,0.55,0.71,,,,,0.06,0.18,0.2,0.3,2,0.75,0.86,0.73,0.86,0.9,0.8,1,0.67
16,Haryana,Rewari,,0.22,0.15,,,0.3,,,,0.55,0.39,0.4,0.4,0.5,0.5,0.5,2,0.5,0.39,,,0.5,
17,Karnataka,Bellary,0.42,0.28,0.47,0.12,0.34,0.47,0.25,0.46,0.29,0.18,0.32,0.26,0.33,0.44,0.37,0.25,0.47,1.9,1.33,0.89,1.42,0.84,0.61
18,West Bengal,Medinipur east,1.14,1.17,0.56,0.77,0.74,1.46,1.7,0.76,1.3,0.77,1.04,0.96,0.77,1.07,1.08,1.09,0.99,0.97,0.86,0.55,0.72,1.06,1.11
19,Arunachal Pradesh,Lower siang,,,,,,,,,,,,,,,,,,,1.68,1.68,1.68,1.31,1.21
20,Karnataka,Davangere,0.41,0.53,0.53,0.22,1.34,0.67,0.82,0.84,0.71,1.67,1.33,0.67,1.2,1.11,0.61,0.89,0.47,0.89,1.55,1,0.93,0.75,0.65
21,Bihar,Aurangabad,0.55,0.72,0.88,0.48,0.63,0.8,0.75,0.81,0.8,,0.82,0.86,0.92,0.89,0.85,1,1.67,0.89,1,0.89,,,
22,Karnataka,Gulbarga,0.31,0.3,0.36,0.57,0.33,0.77,0.38,0.52,0.3,0.11,0.27,0.48,0.47,0.59,0.51,0.3,0.89,1.61,1.17,1.19,1.09,1.11,1.11
23,Kerala,Thrissur,0.41,0.26,0.35,0.09,0.21,0.34,0.14,0.33,0.14,0.33,0.17,0.25,0.31,0.33,0.2,0.41,,0.18,1.59,0.1,0.01,0.19,0.25
24,West Bengal,24 paraganas south,0.81,1.3,0.98,0.96,1.42,1.19,1.37,0.9,1.19,1.58,0.94,1.07,1.06,1.26,1.13,0.88,0.84,1.44,0.93,0.47,0.44,1.11,0.87
25,Gujarat,Surendranagar,0.27,0.57,0.21,0.66,0.35,0.32,0.39,0.55,0.31,0.33,0.41,0.64,1.56,0.51,0.53,0.31,0.48,0.51,0.44,0.56,0.32,0.46,0.53
26,West Bengal,Howrah,0.82,0.7,1.08,1,1.06,1.26,1.37,1.2,0.93,0.99,0.95,1.28,1,0.75,1,0.87,1.51,1.16,1.19,0.07,0.69,1.09,1.08
27,Meghalaya,South west khasi hills,,,,,,,,,,,,,,1.33,1.5,1.43,1.43,1.43,1.43,1.43,1.43,,1.43
28,West Bengal,24 paraganas north,1.05,0.96,0.98,1.04,1.07,1.02,1.17,1.01,1.08,1.27,1.13,1.05,1.13,1.25,1.25,1.2,1.23,1.33,1.42,0.23,1.43,1.37,1.49
29,Meghalaya,East khasi hills,0.46,0.5,0.49,0.41,0.61,0.62,0.7,0.74,1.12,0.71,0.78,0.81,1.31,1.39,1.44,1.49,1.47,1.47,1.48,1.48,1.48,,1.48
30,Madhya Pradesh,Dewas,0.37,0.42,0.47,0.53,0.59,0.41,0.38,0.6,0.59,0.6,0.84,0.88,1.48,1.01,,,,,1.05,1,0.62,0.98,
31,Arunachal Pradesh,Upper subansiri,,,,,,,,,,,,,,,,,1.4,1.47,1.47,1.45,1.45,1.37,1.34
32,Karnataka,Chitradurga,0.45,0.65,0.49,0.09,0.57,1.12,0.95,0.87,0.62,0.76,0.71,0.85,0.27,0.45,0.67,0.52,0.44,0.42,0.9,1.27,1.45,1.03,0.76
33,Mizoram,Khawzawl,,,,,,,,,,,,,,,,,,,,,1.4,,
34,Arunachal Pradesh,Upper siang,,,,,,,,,,,,,,,,,1.4,0.26,0.26,0.26,0.29,0.36,0.42
