Crop: Sugarcane,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
1,Chhattisgarh,Narayanpur,,,,,,,,3.5,3,,1.8,4.33,3.67,3,4.75,2.33,1.5,1.33,1.67,1.5,,420,1.5
2,Tamil Nadu,Coimbatore,100.1,111.39,86.26,87.06,115.55,139.16,138.08,112.34,314.74,92.5,116.43,129.67,105.3,103.57,106.79,101,86.99,100,102.75,107.5,104.19,109.22,111.14
3,Tamil Nadu,Perambalur,111.97,63.07,77.68,95.5,113.85,124.95,113.61,84.38,258.35,94.75,106.74,120.18,87.28,92.49,92.33,102,82.46,78,79.77,88.47,81.21,102.7,108.04
4,Rajasthan,Sawai madhopur,86.13,75.76,29.24,69.68,66.04,60.91,57.72,57.12,59.44,57.56,67,70.36,63,49.8,86.7,233.96,185.13,77.82,80,103.5,79.11,75.8,89.33
5,West Bengal,Bankura,72.08,98.67,55.54,70.63,54.89,44.08,73.56,78.07,121.88,83.1,38,176.17,141,125,78.6,94.41,66.92,102.22,83.36,78.55,68,230.46,71.76
6,Kerala,Pathanamthitta,48.88,48.87,48.84,48.84,48.86,36.73,33.33,9.78,229.29,80,43,44.26,44,105.63,100,83.05,110.13,103.19,66.7,116.85,10.87,8.56,8.49
7,West Bengal,Medinipur west,75.91,,53.86,76.76,54.91,91.37,75.35,110.38,121.88,83.1,38.09,163.43,159.63,220.62,179.87,74.72,66.81,102.21,83.4,64.26,44.29,75.22,51.72
8,Tamil Nadu,Namakkal,133.61,117.62,135.69,125.81,137.92,138.92,188.41,126.36,124.28,135.01,129.76,135.72,79.2,118.83,126.07,109,107.42,101,117.33,138.47,118.37,136.23,119.96
9,Kerala,Kannur,162,,162,163.33,162.5,97.5,15,25,180.5,150,141.28,115,112.5,90,134.11,134.27,112.64,136.88,104.21,69.11,11.15,9.99,7.68
