Crop: Sweet potato,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
1,Tamil Nadu,Thoothukudi,12.13,,13.67,14.5,15.11,20.85,16.8,13.45,13.33,14.75,,20.57,,21,17.59,16.27,8.67,26.31,28.33,16,18.71,15.95,262
2,Tamil Nadu,Erode,,,13.67,14.43,15.11,20.86,17,13.67,13.29,14.75,,,,,17.5,,,,22.33,27.25,18.14,21,127
3,Tamil Nadu,Thiruvallur,12.1,,13.67,14.49,15.1,20.88,16.78,13.5,13.27,14.6,,20.47,,21,17.5,16.27,10,26.32,27.21,24.69,25.03,21.77,122.55
4,Andaman and Nicobar Islands,South andamans,,,,,,5.31,7.24,,,,7.34,6.92,5.74,15.41,15.66,9.67,20.26,99.33,32,48.63,13.2,13.28,13.23
5,Tamil Nadu,Tiruchirappalli,12.12,,13.67,14.48,15.12,20.85,16.79,13.6,13.25,14.6,,20.44,,21,17.67,16,9.17,26.33,24.4,22.8,18.8,21,94
6,Tamil Nadu,Namakkal,12.14,,13.7,,15,20.86,16.8,13.49,18.43,,,20.48,,21.12,17.58,16.33,,26.5,27.33,21,18.6,18,93
7,Tamil Nadu,Virudhunagar,12.14,,13.66,14.48,15.13,20.86,16.81,13.58,13.28,14.63,,29,,21,17.5,16.31,9.5,26.29,26.93,24.38,22.52,23.92,86.33
8,Tamil Nadu,Dindigul,12.12,,13.66,14.87,15.12,20.85,16.8,13.58,13.29,16.11,,20.5,,26.81,23.45,19.66,21.75,44.55,26.31,25.2,19.38,15.71,84
9,Tamil Nadu,Thiruvarur,,,13.5,14.5,15,20.8,16.67,,,,,,,,,,,,27,25,18.68,16,71
10,Tamil Nadu,Villupuram,10.18,,15.17,14.07,10.61,8.97,14.12,11.6,7.52,11.12,,12.57,,21.12,16.23,13.83,9.52,8.16,9.63,16.52,19.5,14.6,58.5
11,Andaman and Nicobar Islands,Nicobars,3,3,,,,,4.78,,,,9.45,10.43,5.98,5.96,10,10,8.3,41.27,28.3,28.57,24.28,21.08,6.12
12,Tamil Nadu,Madurai,12.13,,13.67,14.5,15.11,38.13,38.11,15.73,13.3,12.1,,20.48,,33.53,17.6,16.26,9.23,26.3,35.3,25.79,10.11,19.62,7.68
13,Andhra Pradesh,Prakasam,18.69,16.25,10.95,6.62,10.17,12.91,15.64,,20.98,19.26,14,15.87,9.62,8.78,14.32,17.31,22.47,9.9,24.72,11.69,12.11,27.64,36.75
14,Tamil Nadu,Dharmapuri,12.13,,13.67,14,15.2,20.86,16.75,13.65,13.3,14.23,,22.77,,21.11,17.58,36.44,13.91,14.5,29.6,15.18,18.69,16.12,25.08
15,Tamil Nadu,Tirunelveli,12,,13.65,14.5,15.11,20.86,16.79,13.58,13.29,14.64,,20.49,,17.56,14.13,16.78,,30.81,33.06,35.85,30.48,15,23.09
16,Tamil Nadu,Karur,15.45,,14.35,15.58,20.92,25.3,24.47,18.96,25.83,20.07,,20.82,,27.36,23.58,18.62,9.37,34.51,21.5,22.3,19.43,20.35,26.59
17,Haryana,Rewari,22.22,,,,33.33,,,,,,,,,,,,,,,,,,
18,Tamil Nadu,Sivaganga,,,13.6,14.44,15.2,21,17,,,14.75,,20.67,,21,17.5,16.5,13,26.33,,18,16.5,,33
19,Tamil Nadu,Ranipet,,,,,,,,,,,,,,,,,,,,,17.25,13,32
20,Tamil Nadu,Tiruvannamalai,12.12,,21.5,22.5,15.13,20.85,16.81,13.58,13.27,14.64,,20.5,,21.13,16.03,16.28,9.32,26.32,25.5,26.55,12.06,9.62,31.93
21,Tamil Nadu,Thanjavur,12.2,,13.5,14,15.13,20.86,17,,13,,,20,,,,,,,30.5,,,,
22,Rajasthan,Sikar,3.04,0.5,0.06,1,2,1.37,12,10,,,5,5.01,5,12.38,30,30,29.48,30.04,29.91,30,29.03,30,29.97
23,Madhya Pradesh,Sehore,,5.97,6.5,6.5,6.51,6.51,6.49,6.84,6.51,10.3,5.31,7.5,7.94,7.95,,30,19.58,30,30,30,,,
24,Madhya Pradesh,Sagar,,4.52,4.52,4.97,4.97,5,5.27,5,4.46,5,2.86,4.77,3.47,5.36,,,30,30,29.6,29.53,,,
25,Madhya Pradesh,Dewas,,7.33,6.05,8.45,6.63,7.2,8.86,7.24,9.03,,7.81,,,,,,29.87,29.87,29.88,29.88,,,
