State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
A & N Islands,Nicobars,,,,,,,,,,,0.77,,,0.4,,,,,,,2.44,,
A & N Islands,North And Middle Andaman,,,,,,,,,,,0.43,0.55,0.52,0.46,0.59,0.72,0.32,0.29,0.16,0.54,0.39,0.3,0.36
A & N Islands,South Andamans,,,,,,,,,,,0.44,0.35,0.48,0.48,0.36,0.28,0.2,1.05,,0.02,0.01,0.01,0.49
Andhra Pradesh,Alluri Sitharama Raju,,,,,,,,,,,,,,,,,,,,,,,0.83
Andhra Pradesh,Anakapalli,,,,,,,,,,,,,,,,,,,,,,,0.56
Andhra Pradesh,Anantapur,0.6,0.43,0.54,0.62,0.49,0.39,0.48,,,0.47,0.53,0.69,,0.92,1.35,0.8,1.17,0.8,0.95,0.83,0.85,1.35,1.23
Andhra Pradesh,Annamayya,,,,,,,,,,,,,,,,,,,,,,,1.22
Andhra Pradesh,Bapatla,,,,,,,,,,,,,,,,,,,,,,,1.52
Andhra Pradesh,Chittoor,0.49,0.55,0.4,0.54,0.56,0.44,0.68,,0.53,0.6,0.49,0.68,1,0.82,1.42,0.77,0.63,1.24,0.95,1.16,0.96,0.8,0.84
Andhra Pradesh,East Godavari,0.68,0.17,0.07,0.36,0.25,0.19,0.26,0.2,0.27,0.07,0.22,0.14,0.36,0.18,0.49,0.56,0.69,0.83,0.74,0.9,1,1.15,1.54
Andhra Pradesh,Eluru,,,,,,,,,,,,,,,,,,,,,,,1.44
Andhra Pradesh,Guntur,0.74,0.74,0.65,0.27,0.67,0.78,0.94,0.3,0.56,0.58,0.56,1.1,1.06,1.09,1.06,1.09,0.51,1.04,0.93,1.27,1.06,0.93,1.48
Andhra Pradesh,Kakinada,,,,,,,,,,,,,,,,,,,,,,,0.91
Andhra Pradesh,Konaseema,,,,,,,,,,,,,,,,,,,,,,,0.24
Andhra Pradesh,Krishna,1.03,0.93,0.87,0.4,0.84,0.81,1.03,0.71,0.97,1.28,0.62,0.89,0.98,0.91,1.17,1.26,0.77,1.18,1.29,1.4,1.34,1.31,1.64
Andhra Pradesh,Kurnool,0.4,0.53,0.42,0.53,0.59,0.44,0.6,0.6,0.51,0.53,0.49,0.65,0.88,0.85,1.82,1.13,1.45,1.03,1.13,1.27,1.45,1.6,1.31
Andhra Pradesh,Nandyal,,,,,,,,,,,,,,,,,,,,,,,1.38
Andhra Pradesh,Ntr,,,,,,,,,,,,,,,,,,,,,,,0.8
Andhra Pradesh,Palnadu,,,,,,,,,,,,,,,,,,,,,,,0.67
Andhra Pradesh,Parvathipuram Manyam,,,,,,,,,,,,,,,,,,,,,,,0.59
Andhra Pradesh,Prakasam,0.77,0.56,0.32,0.85,0.51,0.43,0.68,0.81,0.57,0.51,0.38,0.44,0.67,0.8,0.9,0.59,0.3,0.36,0.4,0.99,0.43,0.68,0.46
Andhra Pradesh,Spsr Nellore,0.79,0.68,0.27,0.31,0.55,0.61,0.64,0.47,0.49,0.63,0.44,0.57,0.7,0.82,0.84,0.44,0.17,0.7,0.44,0.79,0.09,0.67,0.99
Andhra Pradesh,Sri Sathya Sai,,,,,,,,,,,,,,,,,,,,,,,0.94
Andhra Pradesh,Srikakulam,0.35,0.51,0.3,0.49,0.36,0.37,0.43,0.48,0.57,0.52,0.61,0.58,0.49,0.56,0.52,0.64,0.5,0.53,0.56,0.48,0.51,0.56,0.73
Andhra Pradesh,Tirupati,,,,,,,,,,,,,,,,,,,,,,,0.52
Andhra Pradesh,Visakhapatanam,0.46,0.52,0.28,0.49,0.56,0.49,0.61,0.5,0.59,0.58,0.57,0.63,0.83,0.75,0.55,0.39,0.79,0.4,0.52,0.43,0.4,0.46,1.24
Andhra Pradesh,Vizianagaram,0.77,0.39,0.21,0.35,0.33,0.37,0.49,0.47,0.51,0.47,0.42,0.55,0.61,0.54,0.57,0.63,0.48,0.61,0.43,0.64,0.6,0.62,0.71
Andhra Pradesh,West Godavari,0.38,0.66,0.54,0.4,0.68,0.65,0.61,0.63,0.39,0.24,0.28,0.32,0.78,0.95,0.94,1.03,0.43,0.87,1.23,0.74,0.97,1.09,1.4
Andhra Pradesh,Y.s.r.,0.52,0.57,0.47,0.42,0.54,0.38,0.78,,0.6,0.7,0.52,0.7,0.8,0.79,0.73,0.8,0.67,1.14,0.44,0.92,0.73,0.8,1.06
Arunachal Pradesh,Anjaw,,,,,,,,,,,,,,,,,0.91,1.33,1.33,1.33,1.33,0.9,0.8
Arunachal Pradesh,Changlang,,,,,,,,,,,,,,,,,0.96,0.96,0.96,0.96,0.96,0.98,0.99
Arunachal Pradesh,Dibang Valley,,,,,,,,,,,,,,,,,0.62,0.68,0.68,0.71,0.71,0.73,0.7
Arunachal Pradesh,East Kameng,,,,,,,,,,,,,,,,,0.8,0.86,0.86,0.84,0.84,0.85,0.84
Arunachal Pradesh,East Siang,,,,,,,,,,,,,,,,,0.79,0.74,0.89,0.91,0.91,1.03,1.03
Arunachal Pradesh,Kamle,,,,,,,,,,,,,,,,,,,1.44,1.43,1.43,1.14,1.07
Arunachal Pradesh,Kra Daadi,,,,,,,,,,,,,,,,,0.58,0.92,0.92,1.17,1.17,1,0.95
Arunachal Pradesh,Kurung Kumey,,,,,,,,,,,,,,,,,0.56,0.56,0.56,0.71,0.71,0.78,0.87
Arunachal Pradesh,Leparada,,,,,,,,,,,,,,,,,,,,1.04,1.04,1.03,0.94
Arunachal Pradesh,Lohit,,,,,,,,,,,,,,,,,0.69,0.77,0.77,0.78,0.78,0.8,0.83
Arunachal Pradesh,Longding,,,,,,,,,,,,,,,,,0.84,1.09,1.09,1.09,1.09,1.03,0.89
Arunachal Pradesh,Lower Dibang Valley,,,,,,,,,,,,,,,,,0.9,0.93,0.93,0.95,0.95,0.95,0.98
Arunachal Pradesh,Lower Siang,,,,,,,,,,,,,,,,,,,0.83,0.83,0.83,0.84,0.88
Arunachal Pradesh,Lower Subansiri,,,,,,,,,,,,,,,,,0.91,0.7,0.9,0.91,0.91,0.91,0.95
Arunachal Pradesh,Namsai,,,,,,,,,,,,,,,,,0.95,0.85,0.85,0.85,0.85,0.92,0.94
Arunachal Pradesh,Pakke Kessang,,,,,,,,,,,,,,,,,,,,0.85,0.85,0.85,0.91
Arunachal Pradesh,Papum Pare,,,,,,,,,,,,,,,,,1.04,0.87,0.87,0.89,0.89,0.94,0.98
Arunachal Pradesh,Shi Yomi,,,,,,,,,,,,,,,,,,,,1.2,1.2,1.05,1
Arunachal Pradesh,Siang,,,,,,,,,,,,,,,,,0.92,1.06,1.06,1.06,1.06,1.08,1.07
Arunachal Pradesh,Tirap,,,,,,,,,,,,,,,,,0.87,1.52,1.52,1.52,1.52,1.21,1.06
Arunachal Pradesh,Upper Siang,,,,,,,,,,,,,,,,,0.85,0.93,0.93,0.93,0.93,1.04,1.07
Arunachal Pradesh,Upper Subansiri,,,,,,,,,,,,,,,,,1.03,1.19,1.42,1.43,1.43,1.43,1.47
Arunachal Pradesh,West Siang,,,,,,,,,,,,,,,,,0.88,0.79,1.21,1.23,1.23,1.19,1
Assam,Baksa,,,,,,0.55,0.51,0.47,0.58,0.59,0.51,0.54,0.52,0.57,0.63,0.69,0.66,0.63,0.63,0.53,0.66,0.93,0.81
Assam,Barpeta,,0.51,0.51,0.53,0.59,0.55,0.54,0.8,0.57,0.6,0.58,0.41,0.62,0.51,0.73,0.76,0.62,0.66,0.71,0.72,0.73,0.72,0.59
Assam,Biswanath,,,,,,,,,,,,,,,,,,,,,0.76,0.61,0.74
Assam,Bongaigaon,,0.49,0.53,0.45,0.73,0.45,0.49,0.53,0.7,0.56,0.54,0.77,0.41,0.48,0.6,0.68,0.69,0.66,0.59,0.95,0.89,0.8,0.68
Assam,Cachar,,0.56,0.5,0.52,0.58,0.49,0.51,0.53,0.58,0.57,0.56,0.56,0.55,0.58,0.65,0.66,0.68,0.65,0.67,0.6,0.65,0.66,0.67
Assam,Charaideo,,,,,,,,,,,,,,,,,,,,,0.66,0.67,0.67
Assam,Chirang,,,,,,0.34,0.51,0.74,0.59,0.27,0.47,0.48,0.35,0.49,0.42,0.5,0.6,0.49,0.59,0.36,0.38,0.54,1.06
Assam,Darrang,,0.57,0.5,0.56,0.86,0.3,0.3,0.34,0.4,0.43,0.34,0.34,0.39,0.55,0.53,0.67,0.64,0.69,0.79,0.81,0.75,0.86,0.69
Assam,Dhemaji,,0.54,0.46,0.43,0.58,0.49,0.51,0.42,1.02,0.57,0.56,0.56,0.55,0.58,0.65,0.66,0.68,0.65,0.67,0.6,0.65,0.66,0.67
Assam,Dhubri,,0.61,0.46,0.52,0.45,0.47,0.49,0.46,0.58,0.63,0.63,0.64,0.64,0.8,0.8,0.66,0.74,0.82,0.82,0.82,0.81,0.72,0.81
Assam,Dibrugarh,,0.44,0.45,1.05,0.62,0.49,0.51,0.53,0.58,0.57,0.56,0.56,0.55,0.58,0.65,0.66,0.68,0.65,0.66,0.6,0.65,0.66,0.67
Assam,Dima Hasao,,0.55,0.5,0.52,0.58,0.49,0.51,0.53,0.58,0.57,0.56,0.56,0.55,0.58,0.65,0.66,0.68,0.65,0.67,0.6,0.65,0.66,0.67
Assam,Goalpara,,0.53,0.47,0.59,0.62,0.53,0.47,0.54,0.59,0.57,0.63,0.73,0.51,0.66,0.4,0.64,0.59,0.57,0.45,0.47,0.68,0.76,0.43
Assam,Golaghat,,0.59,0.47,0.52,0.37,0.53,0.65,0.47,0.56,0.37,0.58,0.56,0.53,0.58,0.6,0.65,0.65,0.61,0.66,0.5,0.45,0.6,0.76
Assam,Hailakandi,,0.56,0.5,0.52,0.57,0.49,0.51,0.53,0.58,0.57,0.56,0.56,0.55,0.58,0.65,0.66,0.68,0.65,0.67,0.6,0.65,0.66,0.67
Assam,Hojai,,,,,,,,,,,,,,,,,,,,,0.91,0.7,0.77
Assam,Jorhat,,0.4,0.4,0.27,0.34,0.35,0.35,0.36,0.46,0.43,0.3,0.41,0.35,0.35,0.35,0.36,0.42,0.42,0.4,0.37,0.41,0.74,0.53
Assam,Kamrup,,0.67,0.58,0.58,0.67,0.66,0.55,0.6,0.61,0.7,0.72,0.51,0.56,0.54,0.49,0.69,0.69,0.67,0.62,0.66,0.5,0.66,0.44
Assam,Kamrup Metro,,,,,,0.65,0.59,0.53,0.58,0.56,0.56,0.56,0.55,0.58,0.65,0.66,0.67,0.65,0.66,0.6,0.65,0.66,0.67
Assam,Karbi Anglong,,0.55,0.5,0.52,0.58,0.49,0.51,0.53,0.58,0.57,0.56,0.56,0.55,0.58,0.65,0.66,0.68,0.65,0.67,0.6,0.65,0.66,0.67
Assam,Karimganj,,0.55,0.5,0.53,0.58,0.49,0.51,0.53,0.59,0.57,0.57,0.55,0.56,0.58,0.64,0.67,0.68,0.65,0.67,0.6,0.65,0.66,0.67
Assam,Kokrajhar,,0.56,0.5,0.52,0.57,0.49,0.51,0.53,0.48,0.51,0.48,0.57,0.49,0.58,0.7,0.76,0.81,0.64,0.67,0.6,0.65,0.66,0.51
Assam,Lakhimpur,,0.42,0.49,0.44,0.73,0.4,0.45,0.42,0.71,0.49,0.52,0.53,0.68,0.61,0.76,0.76,0.73,0.62,0.67,0.39,0.64,0.55,0.72
Assam,Majuli,,,,,,,,,,,,,,,,,,,,,0.35,0.56,0.62
Assam,Marigaon,,0.54,0.4,0.39,0.32,0.35,0.35,0.71,0.54,0.62,0.48,0.56,0.62,0.61,0.63,0.61,0.54,0.73,0.81,0.73,0.48,0.53,0.63
Assam,Nagaon,,0.73,0.54,0.48,0.46,0.55,0.55,0.5,0.66,0.7,0.69,0.63,0.63,0.7,0.57,0.76,0.81,0.69,0.82,0.67,0.53,0.59,0.65
Assam,Nalbari,,0.53,0.52,0.45,0.53,0.47,0.53,0.47,0.55,0.59,0.71,0.66,0.65,0.66,0.67,0.83,0.72,0.71,0.76,0.66,0.67,0.65,1.14
Assam,Sivasagar,,0.56,0.5,0.52,0.57,0.49,0.51,0.53,0.58,0.56,0.56,0.56,0.55,0.58,0.65,0.66,0.68,0.65,0.67,0.6,0.65,0.66,0.67
Assam,Sonitpur,,0.67,0.67,0.58,0.58,0.79,0.8,0.6,0.83,0.72,0.82,0.76,0.74,0.6,0.81,0.73,0.82,0.72,0.69,0.67,0.81,0.64,0.78
Assam,South Salmara Mancachar,,,,,,,,,,,,,,,,,,,,,0.79,0.84,0.6
Assam,Tinsukia,,0.56,0.52,0.45,0.44,0.38,0.47,0.53,0.73,0.88,1.1,0.56,0.55,0.58,0.65,0.66,1.06,0.83,0.67,0.67,0.64,0.61,0.29
Assam,Udalguri,,,,,,0.47,0.52,0.61,0.41,0.51,0.43,0.58,0.56,0.46,0.95,0.67,0.66,0.56,0.69,0.73,0.62,0.66,0.43
Assam,West Karbi Anglong,,,,,,,,,,,,,,,,,,,,,0.65,0.66,0.67
Bihar,Araria,0.49,0.56,0.75,0.75,0.75,0.62,0.78,0.8,0.86,0.99,0.87,0.85,0.85,0.91,0.91,0.91,0.92,,,,,,
Bihar,Arwal,,,,0.76,0.8,0.77,,0.8,0.61,1,0.86,0.9,,0.89,0.89,0.88,0.88,0.76,0.88,0.89,0.86,0.83,0.69
Bihar,Aurangabad,0.48,,0.69,0.8,0.8,0.77,0.67,1,,1,,,0.85,0.92,,1,1,1,1,0.8,,,
Bihar,Banka,0.64,0.61,0.83,0.75,0.75,0.86,0.81,,0.86,1,,,,0.89,,,0.91,0.89,0.89,,,,
Bihar,Begusarai,0.62,0.74,0.7,0.74,0.74,0.74,0.73,0.67,0.77,0.99,0.87,0.88,0.88,0.91,0.91,0.85,0.85,0.89,0.89,0.87,0.89,1.1,1.18
Bihar,Bhagalpur,0.63,0.68,0.75,0.75,0.75,0.86,0.73,0.78,0.86,0.99,0.87,0.86,0.85,0.91,0.91,0.91,0.91,0.89,0.91,0.9,0.9,0.91,0.91
Bihar,Bhojpur,0.67,,,0.76,0.94,0.86,0.78,0.85,0.83,0.99,0.87,0.89,0.92,0.91,0.91,0.86,0.88,0.83,,,,,
Bihar,Buxar,,,,,0.74,1.03,0.78,0.89,0.82,0.99,0.83,,,,,,0.8,,,,,,
Bihar,Darbhanga,0.67,0.7,0.74,,0.71,0.65,0.78,0.79,0.75,1,0.88,0.88,0.88,0.94,0.91,0.89,0.88,0.9,0.89,0.89,0.9,0.92,0.95
Bihar,Gaya,0.52,0.64,0.69,0.74,0.73,0.76,0.78,0.78,0.4,0.99,0.88,0.91,0.87,0.91,0.91,0.89,0.89,0.85,0.87,0.83,0.81,0.96,0.88
Bihar,Gopalganj,0.72,0.54,0.74,0.74,0.73,0.76,0.78,0.8,0.74,0.98,0.87,0.92,0.92,0.92,0.91,0.91,0.91,0.89,0.9,0.9,0.9,,
Bihar,Jamui,0.61,0.79,0.69,,,1,1,1,1,1,1,1,1,1,,,,,,,,,
Bihar,Jehanabad,0.57,0.66,0.74,0.74,0.74,0.8,0.78,0.79,0.29,1,,0.92,0.91,0.92,1,1,1,0.75,0.75,0.84,0.75,1,0.86
Bihar,Kaimur (Bhabua),0.64,0.68,0.87,0.71,0.77,1,0.77,0.89,0.83,1,0.85,0.92,1,0.83,0.83,,,,,0.89,0.89,0.93,0.9
Bihar,Katihar,0.64,0.64,0.75,0.74,0.76,0.69,0.78,0.79,0.85,0.99,0.87,0.85,0.85,0.91,0.92,0.91,0.91,0.89,0.91,0.9,0.9,0.9,0.9
Bihar,Khagaria,0.6,0.78,0.73,0.74,0.75,0.73,0.78,0.79,0.86,0.99,0.87,0.86,0.85,0.91,0.91,0.82,0.82,0.89,0.89,0.87,0.88,1.05,1.19
Bihar,Kishanganj,0.64,0.8,0.75,0.75,0.75,0.87,0.76,0.8,0.86,0.99,0.87,0.89,0.88,0.91,0.91,0.91,0.92,0.89,0.91,0.9,0.91,0.9,0.91
Bihar,Lakhisarai,,,,0.76,,,,,,,0.86,,,0.91,0.91,0.91,0.92,,,,,,
Bihar,Madhepura,0.59,0.57,0.75,0.74,0.75,0.77,0.78,0.78,0.84,0.99,0.87,0.85,0.85,0.91,0.92,0.88,0.88,0.89,0.91,0.89,0.9,0.88,0.86
Bihar,Madhubani,0.62,0.66,0.74,0.71,0.74,0.72,0.78,0.78,0.84,0.99,0.87,0.87,0.86,0.91,0.91,0.88,0.88,0.89,0.88,0.88,0.89,0.88,0.88
Bihar,Munger,0.6,0.77,0.71,0.74,0.75,0.73,0.73,0.79,0.85,0.99,0.87,,1,1,,,,,,,,,
Bihar,Muzaffarpur,0.63,0.63,0.64,0.76,0.72,0.76,0.78,0.73,0.82,1,0.89,,,1,0.91,0.9,,,,,,,
Bihar,Nalanda,,,,0.73,0.93,,,,,1,0.87,0.86,0.89,0.88,1,0.88,0.87,0.91,0.85,,,,
Bihar,Nawada,0.5,0.65,0.68,0.74,0.74,0.76,0.78,0.79,0.5,0.99,0.88,0.91,0.89,0.91,0.91,0.9,0.9,0.76,0.86,0.83,0.84,0.95,0.88
