State,District,Year,Arecanut,,,,,,,,
,,,Kharif,,,Whole Year,,,Rabi,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Andaman and Nicobar Islands,1. Nicobars,2000 - 2001,"1,254.00","2,000.00",1.59,,,,,,
,,2001 - 2002,"1,254.00","2,061.00",1.64,,,,,,
,,2002 - 2003,,,,"1,258.00","2,083.00",1.66,,,
,,2003 - 2004,,,,"1,261.00","1,525.00",1.21,,,
,,2004 - 2005,,,,"1,264.70",805.85,0.64,,,
,,2005 - 2006,,,,795.67,,0,,,
,,2006 - 2007,,,,896,477.6,0.53,,,
,,2010 - 2011,,,,,,,944,"1,610.00",1.71
,,2011 - 2012,,,,,,,957,"1,090.00",1.14
,,2012 - 2013,,,,,,,959,"1,361.80",1.42
,,2013 - 2014,,,,,,,890.5,846,0.95
,,2014 - 2015,,,,,,,876.5,638.5,0.73
,,2015 - 2016,,,,,,,888.5,82.5,0.09
,,2016 - 2017,,,,,,,888.5,99,0.11
,,2017 - 2018,,,,,,,534.1,125.23,0.23
,,2018 - 2019,,,,,,,558,84.6,0.15
,,2019 - 2020,,,,,,,612.5,175.4,0.29
,,2020 - 2021,,,,,,,221.5,72.8,0.33
,,2021 - 2022,,,,,,,206.5,95.6,0.46
,,2022 - 2023,,,,,,,200.5,64.5,0.32
,2. North and middle andaman,2000 - 2001,"3,100.00","5,200.00",1.68,,,,,,
,,2001 - 2002,"3,100.00","5,239.00",1.69,,,,,,
,,2006 - 2007,,,,"1,160.00","3,011.70",2.6,,,
,,2010 - 2011,,,,,,,"1,296.00","2,290.00",1.77
,,2011 - 2012,,,,,,,"1,338.00","2,410.00",1.8
,,2012 - 2013,,,,,,,"1,340.00","1,890.70",1.41
,,2013 - 2014,,,,,,,"1,165.40","3,509.90",3.01
,,2014 - 2015,,,,,,,"1,603.00","3,830.00",2.39
,,2015 - 2016,,,,,,,"1,545.00","5,300.00",3.43
,,2016 - 2017,,,,,,,"1,540.00","4,788.00",3.11
,,2017 - 2018,,,,,,,"1,744.00","4,639.44",2.66
,,2018 - 2019,,,,,,,"2,297.49","6,476.00",2.82
,,2019 - 2020,,,,,,,"2,351.11","5,343.05",2.27
,,2020 - 2021,,,,,,,"2,424.25","6,288.38",2.59
,,2021 - 2022,,,,,,,"2,527.20","5,386.13",2.13
,,2022 - 2023,,,,,,,"2,607.30","6,153.68",2.36
,3. South andamans,2002 - 2003,,,,"3,105.00","5,267.00",1.7,,,
,,2003 - 2004,,,,"3,118.00","5,182.00",1.66,,,
,,2004 - 2005,,,,"3,160.67","3,975.20",1.26,,,
,,2005 - 2006,,,,"3,250.78","3,058.46",0.94,,,
,,2006 - 2007,,,,"2,000.00","2,350.00",1.18,,,
,,2010 - 2011,,,,,,,"1,912.00","1,900.00",0.99
,,2011 - 2012,,,,,,,"1,925.00","2,450.00",1.27
,,2012 - 2013,,,,,,,"1,926.00","2,722.50",1.41
,,2013 - 2014,,,,,,,"2,235.00","5,610.50",2.51
,,2014 - 2015,,,,,,,"2,190.00","4,879.50",2.23
,,2015 - 2016,,,,,,,"2,190.00","4,945.00",2.26
,,2016 - 2017,,,,,,,"2,191.00","5,721.00",2.61
,,2017 - 2018,,,,,,,"1,220.20","10,518.70",8.62
,,2018 - 2019,,,,,,,"1,220.20","5,828.69",4.78
,,2019 - 2020,,,,,,,"1,372.19","5,070.75",3.7
,,2020 - 2021,,,,,,,"1,372.20","7,370.17",5.37
,,2021 - 2022,,,,,,,"1,372.20","9,904.45",7.22
,,2022 - 2023,,,,,,,"1,372.20","9,652.00",7.03
2. Andhra Pradesh,1. Anakapalli,2022 - 2023,18,166,9.22,,,,,,
,2. Anantapur,2000 - 2001,,,,252,696,2.76,,,
,,2001 - 2002,,,,257,430,1.67,,,
,,2002 - 2003,,,,263,379,1.44,,,
,,2003 - 2004,,,,266,189,0.71,,,
,,2005 - 2006,,,,268,214,0.8,,,
,,2006 - 2007,,,,217,150,0.69,,,
,,2008 - 2009,,,,325,232,0.71,,,
,,2009 - 2010,,,,356,169,0.47,,,
,,2010 - 2011,,,,409,182,0.44,,,
,,2011 - 2012,,,,541,267,0.49,,,
,,2012 - 2013,558,302,0.54,,,,,,
,,2013 - 2014,453,186,0.41,,,,,,
,,2014 - 2015,463,279,0.6,,,,,,
,,2015 - 2016,496,"1,732.00",3.49,,,,,,
,,2016 - 2017,519,"2,218.00",4.27,,,,,,
,,2017 - 2018,571,"3,960.00",6.94,,,,,,
,,2018 - 2019,839,"5,042.00",6.01,,,,,,
,,2019 - 2020,900,"9,490.00",10.54,,,,,,
,,2020 - 2021,"1,094.00","11,496.00",10.51,,,,,,
,,2021 - 2022,"1,214.00","9,685.00",7.98,,,,,,
,,2022 - 2023,210,"1,931.00",9.2,,,,,,
,3. East godavari,2000 - 2001,,,,6,17,2.83,,,
,,2001 - 2002,,,,7,12,1.71,,,
,,2002 - 2003,,,,7,10,1.43,,,
,,2003 - 2004,,,,6,4,0.67,,,
,,2005 - 2006,,,,6,5,0.83,,,
,,2006 - 2007,,,,19,13,0.68,,,
,,2008 - 2009,,,,20,19,0.95,,,
,,2009 - 2010,,,,20,19,0.95,,,
,,2011 - 2012,,,,20,8,0.4,,,
,,2012 - 2013,22,62,2.82,,,,,,
,,2013 - 2014,23,69,3,,,,,,
,,2014 - 2015,20,59,2.95,,,,,,
,,2015 - 2016,20,63,3.15,,,,,,
,,2016 - 2017,39,124,3.18,,,,,,
,,2017 - 2018,109,302,2.77,,,,,,
,,2018 - 2019,106,106,1,,,,,,
,,2019 - 2020,120,206,1.72,,,,,,
,,2020 - 2021,158,243,1.54,,,,,,
,,2021 - 2022,165,366,2.22,,,,,,
,,2022 - 2023,56,515,9.2,,,,,,
,4. Eluru,2022 - 2023,196,"1,803.00",9.2,,,,,,
,5. Konaseema,2022 - 2023,203,227,1.12,,,,,,
,6. Krishna,2000 - 2001,,,,4,11,2.75,,,
,,2001 - 2002,,,,4,7,1.75,,,
,,2002 - 2003,,,,18,26,1.44,,,
,,2003 - 2004,,,,18,13,0.72,,,
,,2010 - 2011,,,,9,4,0.44,,,
,,2021 - 2022,4,28,7,,,,,,
,7. Ntr,2022 - 2023,5,46,9.2,,,,,,
,8. Prakasam,2020 - 2021,14,0,0,,,,,,
,9. Sri sathya sai,2022 - 2023,"2,366.00","23,400.00",9.89,,,,,,
,10. Visakhapatanam,2021 - 2022,8,57,7.13,,,,,,
,11. Vizianagaram,2002 - 2003,,,,8,12,1.5,,,
,,2003 - 2004,,,,12,9,0.75,,,
,,2005 - 2006,,,,10,8,0.8,,,
,,2006 - 2007,,,,10,7,0.7,,,
,,2008 - 2009,,,,5,5,1,,,
,,2009 - 2010,,,,1,1,1,,,
,,2011 - 2012,,,,1,,0,,,
,,2012 - 2013,1,1,1,,,,,,
,,2016 - 2017,5,21,4.2,,,,,,
,,2017 - 2018,3,19,6.33,,,,,,
,,2021 - 2022,8,57,7.13,,,,,,
,12. West godavari,2003 - 2004,,,,9,6,0.67,,,
,,2005 - 2006,,,,9,7,0.78,,,
,,2006 - 2007,,,,9,6,0.67,,,
,,2008 - 2009,,,,9,9,1,,,
,,2009 - 2010,,,,9,9,1,,,
,,2010 - 2011,,,,20,9,0.45,,,
,,2016 - 2017,1,4,4,,,,,,
,,2017 - 2018,14,88,6.29,,,,,,
,,2018 - 2019,31,169,5.45,,,,,,
,,2019 - 2020,76,722,9.5,,,,,,
,,2020 - 2021,52,148,2.85,,,,,,
,,2021 - 2022,98,381,3.89,,,,,,
3. Assam,1. Baksa,2006 - 2007,,,,"4,136.00","3,174.00",0.77,,,
,,2007 - 2008,,,,"2,768.00","2,338.00",0.84,,,
,,2008 - 2009,,,,"2,781.00","3,015.00",1.08,,,
,,2009 - 2010,,,,"2,500.00","2,411.00",0.96,,,
,,2010 - 2011,,,,,,,"2,500.00","2,411.00",0.96
,,2011 - 2012,,,,,,,"2,600.00","2,361.00",0.91
,,2012 - 2013,,,,,,,"2,500.00","2,036.00",0.81
,,2013 - 2014,,,,,,,"2,650.00","1,798.00",0.68
,,2014 - 2015,,,,,,,"2,570.00","2,394.00",0.93
,,2015 - 2016,,,,,,,"2,560.00","1,932.00",0.75
,,2016 - 2017,,,,,,,"2,687.00","2,173.00",0.81
,,2017 - 2018,,,,,,,"3,100.00","2,503.00",0.81
,,2018 - 2019,,,,,,,"2,950.00","2,331.00",0.79
,,2019 - 2020,,,,,,,"2,900.00","2,325.00",0.8
,,2020 - 2021,,,,,,,"2,915.00","2,332.00",0.8
,,2021 - 2022,,,,,,,"2,915.00","2,332.00",0.8
,,2022 - 2023,,,,,,,"3,200.00","2,561.00",0.8
,2. Barpeta,2000 - 2001,,,,"7,160.00","5,895.00",0.82,,,
,,2001 - 2002,,,,"6,582.00","5,326.00",0.81,,,
,,2002 - 2003,,,,"6,577.00","4,671.00",0.71,,,
,,2003 - 2004,,,,"6,610.00","7,728.00",1.17,,,
,,2005 - 2006,,,,"6,610.00","7,577.00",1.15,,,
,,2006 - 2007,,,,"3,740.00","2,420.00",0.65,,,
,,2007 - 2008,,,,"3,756.00","2,862.00",0.76,,,
,,2008 - 2009,,,,"3,015.00","2,210.00",0.73,,,
,,2009 - 2010,,,,"3,373.00","2,307.00",0.68,,,
,,2010 - 2011,,,,,,,"3,373.00","2,307.00",0.68
,,2011 - 2012,,,,,,,"3,351.00","3,502.00",1.05
,,2012 - 2013,,,,,,,"3,365.00","3,781.00",1.12
,,2013 - 2014,,,,,,,"3,321.00","2,036.00",0.61
,,2014 - 2015,,,,,,,"2,931.00","2,447.00",0.83
,,2015 - 2016,,,,,,,"2,920.00","2,021.00",0.69
,,2016 - 2017,,,,,,,"2,897.00","2,828.00",0.98
,,2017 - 2018,,,,,,,"2,897.00","2,183.00",0.75
,,2018 - 2019,,,,,,,"2,905.00","1,401.00",0.48
,,2019 - 2020,,,,,,,"2,907.00","1,905.00",0.66
,,2020 - 2021,,,,,,,"2,916.00","2,456.00",0.84
,,2021 - 2022,,,,,,,"2,916.00","2,456.00",0.84
,,2022 - 2023,,,,,,,"2,928.00","2,466.00",0.84
,3. Biswanath,2019 - 2020,,,,,,,"2,360.00","1,828.00",0.77
,,2020 - 2021,,,,,,,"2,384.00","1,902.00",0.8
,,2021 - 2022,,,,,,,"2,384.00","1,902.00",0.8
,,2022 - 2023,,,,,,,"2,814.00","2,245.00",0.8
,4. Bongaigaon,2000 - 2001,,,,"3,020.00","5,016.00",1.66,,,
,,2001 - 2002,,,,"3,034.00","4,024.00",1.33,,,
,,2002 - 2003,,,,"3,012.00","2,785.00",0.92,,,
,,2003 - 2004,,,,"3,385.00","4,934.00",1.46,,,
,,2005 - 2006,,,,"3,394.00","5,552.00",1.64,,,
,,2006 - 2007,,,,"1,738.00","1,588.00",0.91,,,
,,2007 - 2008,,,,"1,557.00","1,583.00",1.02,,,
