State,District,Year,Cardamom,,,,,
,,,Whole Year,,,Kharif,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Karnataka,1. Bagalkot,2019 - 2020,3,,0,,,
,2. Bangalore rural,2005 - 2006,1,,0,,,
,,2008 - 2009,1,,0,,,
,,2010 - 2011,1,,0,,,
,,2018 - 2019,2,0.2,0.1,,,
,,2019 - 2020,2,,0,,,
,,2020 - 2021,1,0.17,0.17,,,
,,2022 - 2023,1,2,2,,,
,3. Belgaum,2019 - 2020,7,1,0.14,,,
,,2022 - 2023,1,0.21,0.21,,,
,4. Bengaluru urban,2019 - 2020,1,,0,,,
,,2021 - 2022,1,0.19,0.19,,,
,5. Bidar,2019 - 2020,3,,0,,,
,6. Chamarajanagar,2000 - 2001,14,1,0.07,,,
,,2002 - 2003,13,1,0.08,,,
,,2003 - 2004,14,1,0.07,,,
,,2004 - 2005,10,1,0.1,,,
,,2005 - 2006,9,1,0.11,,,
,,2006 - 2007,9,1,0.11,,,
,,2007 - 2008,1,,0,,,
,,2008 - 2009,1,,0,,,
,,2010 - 2011,1,,0,,,
,,2013 - 2014,15,1,0.07,,,
,,2014 - 2015,15,1,0.07,,,
,,2015 - 2016,15,1,0.07,,,
,,2016 - 2017,27,3,0.11,,,
,,2017 - 2018,27,3,0.11,,,
,,2018 - 2019,3,0.3,0.1,,,
,,2019 - 2020,1,,0,,,
,,2020 - 2021,2,0.35,0.17,,,
,,2021 - 2022,6,1,0.17,,,
,,2022 - 2023,3,0.18,0.06,,,
,7. Chikballapur,2020 - 2021,1,0.17,0.17,,,
,,2021 - 2022,3,1,0.33,,,
,8. Chikmagalur,2000 - 2001,"2,620.00",161,0.06,,,
,,2002 - 2003,"2,872.00",176,0.06,,,
,,2003 - 2004,"2,917.00",179,0.06,,,
,,2004 - 2005,"2,724.00",167,0.06,,,
,,2005 - 2006,"2,524.00",155,0.06,,,
,,2006 - 2007,"2,639.00",162,0.06,,,
,,2007 - 2008,"2,294.00",143,0.06,,,
,,2008 - 2009,"2,304.00",162,0.07,,,
,,2009 - 2010,"2,221.00",158,0.07,,,
,,2010 - 2011,"2,240.00",197,0.09,,,
,,2011 - 2012,"2,290.00",324,0.14,,,
,,2012 - 2013,"2,127.00",301,0.14,,,
,,2013 - 2014,"1,989.00",122,0.06,,,
,,2014 - 2015,"2,037.00",129,0.06,,,
,,2015 - 2016,"1,812.00",160,0.09,,,
,,2016 - 2017,"1,906.00",162,0.08,,,
,,2017 - 2018,"1,955.00",213,0.11,,,
,,2018 - 2019,189,38,0.2,,,
,,2019 - 2020,212,36,0.17,,,
,,2020 - 2021,521,95,0.18,,,
,,2021 - 2022,592,147,0.25,,,
,,2022 - 2023,442,75,0.17,,,
,9. Chitradurga,2018 - 2019,2,0.2,0.1,,,
,,2019 - 2020,7,1,0.14,,,
,,2020 - 2021,5,1,0.2,,,
,,2021 - 2022,7,1,0.14,,,
,,2022 - 2023,10,2,0.2,,,
,10. Dakshin kannad,2000 - 2001,258,12,0.05,,,
,,2002 - 2003,172,8,0.05,,,
,,2003 - 2004,173,8,0.05,,,
,,2004 - 2005,171,8,0.05,,,
,,2005 - 2006,164,8,0.05,,,
,,2006 - 2007,139,6,0.04,,,
,,2007 - 2008,137,13,0.09,,,
,,2008 - 2009,124,12,0.1,,,
,,2009 - 2010,127,8,0.06,,,
,,2010 - 2011,130,11,0.08,,,
,,2011 - 2012,130,11,0.08,,,
,,2012 - 2013,122,10,0.08,,,
,,2013 - 2014,122,10,0.08,,,
,,2014 - 2015,116,9,0.08,,,
,,2015 - 2016,106,9,0.08,,,
,,2016 - 2017,45,5,0.11,,,
,,2017 - 2018,45,5,0.11,,,
,,2018 - 2019,3,0.3,0.1,,,
,,2019 - 2020,4,1,0.25,,,
,,2020 - 2021,8,1,0.13,,,
,,2021 - 2022,7,1,0.14,,,
,,2022 - 2023,2,0.14,0.07,,,
,11. Davangere,2004 - 2005,2,,0,,,
,,2006 - 2007,1,,0,,,
,,2007 - 2008,1,,0,,,
,,2008 - 2009,1,,0,,,
,,2018 - 2019,8,1,0.13,,,
,,2019 - 2020,5,1,0.2,,,
,,2020 - 2021,5,1,0.2,,,
,,2021 - 2022,15,3,0.2,,,
,,2022 - 2023,11,0.32,0.03,,,
,12. Gulbarga,2020 - 2021,1,0.17,0.17,,,
,13. Hassan,2000 - 2001,"7,403.00",359,0.05,,,
,,2002 - 2003,"7,443.00",361,0.05,,,
,,2003 - 2004,"7,489.00",363,0.05,,,
,,2004 - 2005,"7,555.00",366,0.05,,,
,,2005 - 2006,"7,555.00",366,0.05,,,
,,2006 - 2007,"7,560.00",367,0.05,,,
,,2007 - 2008,"7,554.00",411,0.05,,,
,,2008 - 2009,"7,554.00",561,0.07,,,
,,2009 - 2010,"7,670.00",547,0.07,,,
,,2010 - 2011,"7,687.00",594,0.08,,,
,,2011 - 2012,"7,707.00",679,0.09,,,
,,2012 - 2013,"7,608.00",670,0.09,,,
,,2013 - 2014,"7,463.00",621,0.08,,,
,,2014 - 2015,"7,405.00",601,0.08,,,
,,2015 - 2016,"7,112.00",718,0.1,,,
,,2016 - 2017,"6,119.00",842,0.14,,,
,,2017 - 2018,"4,820.00",596,0.12,,,
,,2018 - 2019,605,68,0.11,,,
,,2019 - 2020,668,55,0.08,,,
,,2020 - 2021,"1,148.00",93,0.08,,,
,,2021 - 2022,"1,953.00",162,0.08,,,
,,2022 - 2023,832,125,0.15,,,
,14. Haveri,2018 - 2019,2,0.2,0.1,,,
,,2019 - 2020,1,,0,,,
,,2020 - 2021,2,0.35,0.17,,,
,,2021 - 2022,1,0.19,0.19,,,
,,2022 - 2023,2,0.2,0.1,,,
,15. Kodagu,2000 - 2001,"8,943.00",558,0.06,,,
,,2002 - 2003,"8,170.00",510,0.06,,,
,,2003 - 2004,"8,165.00",509,0.06,,,
,,2004 - 2005,"8,267.00",516,0.06,,,
,,2005 - 2006,"8,811.00",550,0.06,,,
,,2006 - 2007,"12,682.00",791,0.06,,,
,,2007 - 2008,"10,411.00","1,340.00",0.13,,,
,,2008 - 2009,"9,043.00","1,164.00",0.13,,,
,,2009 - 2010,"8,289.00",443,0.05,,,
,,2010 - 2011,"8,073.00",615,0.08,,,
,,2011 - 2012,"8,376.00",481,0.06,,,
,,2012 - 2013,"8,326.00",478,0.06,,,
,,2013 - 2014,"8,330.00",635,0.08,,,
,,2014 - 2015,"7,748.00",568,0.07,,,
,,2015 - 2016,"7,647.00",568,0.07,,,
,,2016 - 2017,"7,647.00",643,0.08,,,
,,2017 - 2018,"7,065.00",881,0.12,,,
,,2018 - 2019,618,37,0.06,,,
,,2019 - 2020,680,145,0.21,,,
,,2020 - 2021,966,254,0.26,,,
,,2021 - 2022,"1,762.00",478,0.27,,,
,,2022 - 2023,"1,372.00",370,0.27,,,
,16. Kolar,2018 - 2019,1,0.1,0.1,,,
,,2019 - 2020,1,,0,,,
,,2020 - 2021,1,0.17,0.17,,,
,17. Koppal,2020 - 2021,2,0.35,0.17,,,
,18. Mandya,2018 - 2019,57,7,0.12,,,
,,2019 - 2020,27,4,0.15,,,
,,2020 - 2021,16,3,0.19,,,
,,2021 - 2022,9,2,0.22,,,
,,2022 - 2023,3,1,0.33,,,
,19. Mysore,2014 - 2015,5,,0,,,
,,2018 - 2019,7,1,0.14,,,
,,2019 - 2020,5,1,0.2,,,
,,2020 - 2021,4,1,0.25,,,
,,2021 - 2022,4,1,0.25,,,
,,2022 - 2023,5,1,0.2,,,
,20. Ramanagara,2018 - 2019,10,1,0.1,,,
,,2019 - 2020,3,,0,,,
,,2020 - 2021,3,1,0.33,,,
,,2021 - 2022,5,1,0.2,,,
,,2022 - 2023,7,3,0.43,,,
,21. Shimoga,2000 - 2001,274,21,0.08,,,
,,2002 - 2003,284,22,0.08,,,
,,2003 - 2004,272,21,0.08,,,
,,2004 - 2005,289,22,0.08,,,
,,2005 - 2006,279,21,0.08,,,
,,2006 - 2007,280,21,0.08,,,
,,2007 - 2008,284,24,0.08,,,
,,2008 - 2009,278,40,0.14,,,
,,2009 - 2010,292,40,0.14,,,
,,2010 - 2011,412,69,0.17,,,
,,2011 - 2012,327,22,0.07,,,
,,2012 - 2013,314,21,0.07,,,
,,2013 - 2014,258,42,0.16,,,
,,2014 - 2015,400,54,0.14,,,
,,2015 - 2016,376,25,0.07,,,
,,2016 - 2017,343,37,0.11,,,
,,2017 - 2018,310,31,0.1,,,
,,2018 - 2019,108,12,0.11,,,
,,2019 - 2020,81,10,0.12,,,
,,2020 - 2021,176,23,0.13,,,
,,2021 - 2022,188,35,0.19,,,
,,2022 - 2023,113,33,0.29,,,
,22. Tumkur,2010 - 2011,1,,0,,,
,,2018 - 2019,27,3,0.11,,,
,,2019 - 2020,31,5,0.16,,,
,,2020 - 2021,66,11,0.17,,,
,,2021 - 2022,27,5,0.19,,,
,,2022 - 2023,42,14,0.33,,,
,23. Udupi,2018 - 2019,2,0.2,0.1,,,
,,2019 - 2020,11,2,0.18,,,
,,2020 - 2021,84,15,0.18,,,
,,2021 - 2022,81,20,0.25,,,
,,2022 - 2023,1,0.21,0.21,,,
,24. Uttar kannad,2000 - 2001,369,20,0.05,,,
,,2002 - 2003,451,25,0.06,,,
,,2003 - 2004,450,25,0.06,,,
,,2004 - 2005,443,25,0.06,,,
,,2005 - 2006,471,26,0.06,,,
