State,District,Year,Castor seed,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Andhra Pradesh,1. Anantapur,2000 - 2001,"9,315.00","2,831.00",0.3,,,,,,
,,2001 - 2002,"3,191.00",900,0.28,,,,,,
,,2002 - 2003,"2,050.00",416,0.2,,,,,,
,,2003 - 2004,"1,927.00",805,0.42,,,,,,
,,2004 - 2005,"1,578.00",923,0.58,,,,,,
,,2005 - 2006,"2,081.00","1,521.00",0.73,,,,,,
,,2006 - 2007,899,451,0.5,,,,,,
,,2007 - 2008,"2,000.00","1,000.00",0.5,,,,,,
,,2008 - 2009,886,668,0.75,,,,,,
,,2009 - 2010,"1,332.00",663,0.5,,,,,,
,,2010 - 2011,"4,328.00","3,795.00",0.88,,,,,,
,,2011 - 2012,"30,203.00","1,843.00",0.06,,,,,,
,,2012 - 2013,"25,000.00","9,000.00",0.36,,,,,,
,,2013 - 2014,"11,416.00","5,366.00",0.47,31,15,0.48,,,
,,2014 - 2015,"10,320.00","5,903.00",0.57,229,131,0.57,,,
,,2015 - 2016,"10,808.00","10,170.00",0.94,118,111,0.94,,,
,,2016 - 2017,"9,763.00","2,997.00",0.31,35,11,0.31,,,
,,2017 - 2018,"15,120.00","8,649.00",0.57,42,24,0.57,,,
,,2018 - 2019,"11,977.00","6,156.00",0.51,79,41,0.52,,,
,,2019 - 2020,"17,022.00","7,217.00",0.42,70,30,0.43,,,
,,2020 - 2021,"10,420.00","4,001.00",0.38,64,25,0.39,,,
,,2021 - 2022,"9,233.00","1,514.00",0.16,97,16,0.16,,,
,,2022 - 2023,"20,429.00","4,576.00",0.22,321,99,0.31,,,
,2. Annamayya,2022 - 2023,135,42,0.31,4,1,0.25,,,
,3. Bapatla,2022 - 2023,2,1,0.5,4,1,0.25,,,
,4. Chittoor,2000 - 2001,546,166,0.3,,,,,,
,,2001 - 2002,313,88,0.28,,,,,,
,,2002 - 2003,234,48,0.21,,,,,,
,,2003 - 2004,372,155,0.42,,,,,,
,,2004 - 2005,351,205,0.58,,,,,,
,,2005 - 2006,368,269,0.73,,,,,,
,,2006 - 2007,297,149,0.5,,,,,,
,,2008 - 2009,499,376,0.75,,,,,,
,,2009 - 2010,278,138,0.5,,,,,,
,,2010 - 2011,180,158,0.88,,,,,,
,,2011 - 2012,175,11,0.06,,,,,,
,,2013 - 2014,228,107,0.47,,,,,,
,,2014 - 2015,137,78,0.57,,,,,,
,,2015 - 2016,139,76,0.55,,,,,,
,,2016 - 2017,94,44,0.47,,,,,,
,,2017 - 2018,88,56,0.64,,,,,,
,,2018 - 2019,262,112,0.43,,,,,,
,,2019 - 2020,118,82,0.69,,,,,,
,,2020 - 2021,33,14,0.42,,,,,,
,,2021 - 2022,21,3,0.14,,,,,,
,5. East godavari,2000 - 2001,9,3,0.33,,,,,,
,,2001 - 2002,9,1,0.11,,,,,,
,,2002 - 2003,13,3,0.23,,,,,,
,,2005 - 2006,62,22,0.35,,,,,,
,,2008 - 2009,15,10,0.67,,,,,,
,,2009 - 2010,50,28,0.56,,,,,,
,,2010 - 2011,46,20,0.43,,,,,,
,,2011 - 2012,46,24,0.52,,,,,,
,,2013 - 2014,45,36,0.8,,,,,,
,,2014 - 2015,38,25,0.66,,,,,,
,,2015 - 2016,40,32,0.8,,,,,,
,,2016 - 2017,17,9,0.53,,,,,,
,,2021 - 2022,3,1,0.33,6,2,0.33,,,
,6. Guntur,2000 - 2001,"3,720.00","1,038.00",0.28,,,,,,
,,2001 - 2002,"3,400.00","1,469.00",0.43,,,,,,
,,2002 - 2003,"2,684.00",827,0.31,,,,,,
,,2003 - 2004,"4,263.00","3,338.00",0.78,,,,,,
,,2004 - 2005,"4,765.00","3,135.00",0.66,,,,,,
,,2005 - 2006,"6,886.00","3,759.00",0.55,,,,,,
,,2006 - 2007,"1,709.00",680,0.4,,,,,,
,,2007 - 2008,"2,000.00","1,000.00",0.5,,,,,,
,,2008 - 2009,"2,106.00","1,497.00",0.71,,,,,,
,,2009 - 2010,762,895,1.17,,,,,,
,,2010 - 2011,"1,780.00",603,0.34,,,,,,
,,2011 - 2012,"1,789.00","2,596.00",1.45,,,,,,
,,2012 - 2013,"3,000.00","5,000.00",1.67,,,,,,
,,2013 - 2014,869,"1,223.00",1.41,64,90,1.41,,,
,,2014 - 2015,723,"1,035.00",1.43,11,16,1.45,,,
,,2015 - 2016,"1,096.00","1,418.00",1.29,288,373,1.3,,,
,,2016 - 2017,23,13,0.57,20,11,0.55,,,
,,2017 - 2018,578,"1,119.00",1.94,217,420,1.94,,,
,,2018 - 2019,305,163,0.53,175,94,0.54,,,
,,2019 - 2020,156,117,0.75,67,50,0.75,,,
,,2020 - 2021,59,49,0.83,18,15,0.83,,,
,,2021 - 2022,199,157,0.79,8,6,0.75,,,
,7. Kadapa,2000 - 2001,"7,167.00","2,178.00",0.3,,,,,,
,,2001 - 2002,"3,474.00",978,0.28,,,,,,
,,2002 - 2003,"1,013.00",206,0.2,,,,,,
,,2003 - 2004,"3,387.00","1,416.00",0.42,,,,,,
,,2004 - 2005,"2,253.00","1,318.00",0.58,,,,,,
,,2005 - 2006,"2,240.00","1,637.00",0.73,,,,,,
,,2006 - 2007,945,474,0.5,,,,,,
,,2007 - 2008,"1,000.00","1,000.00",1,,,,,,
,,2008 - 2009,"1,069.00",805,0.75,,,,,,
,,2009 - 2010,"1,162.00",579,0.5,,,,,,
,,2010 - 2011,"1,034.00",906,0.88,,,,,,
,,2011 - 2012,"2,015.00",123,0.06,,,,,,
,,2012 - 2013,"2,000.00","1,000.00",0.5,,,,,,
,,2013 - 2014,"1,093.00",514,0.47,24,11,0.46,,,
,,2014 - 2015,686,392,0.57,25,14,0.56,,,
,,2015 - 2016,998,951,0.95,2,2,1,,,
,,2016 - 2017,696,451,0.65,9,6,0.67,,,
,,2017 - 2018,680,482,0.71,3,2,0.67,,,
,,2018 - 2019,412,202,0.49,75,37,0.49,,,
,,2019 - 2020,698,545,0.78,65,51,0.78,,,
,,2020 - 2021,671,295,0.44,21,9,0.43,,,
,,2021 - 2022,506,204,0.4,19,8,0.42,,,
,,2022 - 2023,"1,037.00",196,0.19,120,37,0.31,,,
,8. Krishna,2000 - 2001,14,4,0.29,,,,,,
,,2002 - 2003,17,4,0.24,,,,,,
,,2003 - 2004,18,8,0.44,,,,,,
,,2013 - 2014,,,,20,16,0.8,,,
,,2014 - 2015,,,,20,,0,,,
,,2020 - 2021,8,2,0.25,,,,,,
,,2021 - 2022,,,,2,2,1,,,
,9. Kurnool,2000 - 2001,"19,382.00","5,891.00",0.3,,,,,,
,,2001 - 2002,"7,013.00","1,977.00",0.28,,,,,,
,,2002 - 2003,"4,756.00",966,0.2,,,,,,
,,2003 - 2004,"11,557.00","4,831.00",0.42,,,,,,
,,2004 - 2005,"10,144.00","5,931.00",0.58,,,,,,
,,2005 - 2006,"21,372.00","15,623.00",0.73,,,,,,
,,2006 - 2007,"10,468.00","5,255.00",0.5,,,,,,
,,2007 - 2008,"14,000.00","10,000.00",0.71,,,,,,
,,2008 - 2009,"15,055.00","11,337.00",0.75,,,,,,
,,2009 - 2010,"36,210.00","18,032.00",0.5,,,,,,
,,2010 - 2011,"71,168.00","62,414.00",0.88,,,,,,
,,2011 - 2012,"1,15,092.00","7,021.00",0.06,,,,,,
,,2012 - 2013,"67,000.00","25,000.00",0.37,,,,,,
,,2013 - 2014,"27,505.00","12,927.00",0.47,42,20,0.48,,,
,,2014 - 2015,"31,651.00","18,104.00",0.57,366,209,0.57,,,
,,2015 - 2016,"33,571.00","13,697.00",0.41,72,29,0.4,,,
,,2016 - 2017,"19,915.00","10,734.00",0.54,50,27,0.54,,,
,,2017 - 2018,"12,764.00","9,177.00",0.72,97,70,0.72,,,
,,2018 - 2019,"19,610.00","7,295.00",0.37,370,138,0.37,,,
,,2019 - 2020,"16,864.00","16,341.00",0.97,183,177,0.97,,,
,,2020 - 2021,"3,204.00","1,631.00",0.51,78,40,0.51,,,
,,2021 - 2022,"2,303.00",760,0.33,114,38,0.33,,,
,,2022 - 2023,"9,385.00","4,974.00",0.53,509,157,0.31,,,
,10. Nandyal,2022 - 2023,"4,257.00","1,281.00",0.3,360,111,0.31,,,
,11. Palnadu,2022 - 2023,616,198,0.32,32,10,0.31,,,
,12. Prakasam,2000 - 2001,"25,057.00","7,717.00",0.31,,,,,,
,,2001 - 2002,"16,484.00","4,088.00",0.25,,,,,,
,,2002 - 2003,"11,040.00","1,910.00",0.17,,,,,,
,,2003 - 2004,"13,736.00","4,107.00",0.3,,,,,,
,,2004 - 2005,"14,679.00","4,389.00",0.3,,,,,,
,,2005 - 2006,"15,008.00","3,767.00",0.25,,,,,,
,,2006 - 2007,"5,999.00","2,526.00",0.42,,,,,,
,,2007 - 2008,"11,000.00","7,000.00",0.64,,,,,,
,,2008 - 2009,"9,071.00","6,268.00",0.69,,,,,,
,,2009 - 2010,"8,387.00","4,261.00",0.51,,,,,,
,,2010 - 2011,"5,421.00","2,569.00",0.47,,,,,,
,,2011 - 2012,"12,329.00","5,105.00",0.41,,,,,,
,,2012 - 2013,"13,000.00","12,000.00",0.92,,,,,,
,,2013 - 2014,"6,429.00","4,648.00",0.72,"1,098.00",794,0.72,,,
,,2014 - 2015,"2,563.00","1,128.00",0.44,"1,064.00",468,0.44,,,
,,2015 - 2016,"2,286.00","1,246.00",0.55,"1,305.00",711,0.54,,,
,,2016 - 2017,"1,780.00",945,0.53,413,219,0.53,,,
,,2017 - 2018,"1,650.00",624,0.38,547,207,0.38,,,
,,2018 - 2019,"2,115.00",607,0.29,"1,132.00",325,0.29,,,
,,2019 - 2020,"1,967.00",966,0.49,671,329,0.49,,,
,,2020 - 2021,731,159,0.22,235,51,0.22,,,
,,2021 - 2022,"2,114.00",651,0.31,606,187,0.31,,,
,,2022 - 2023,"2,519.00",809,0.32,"1,033.00",332,0.32,,,
,13. Spsr nellore,2000 - 2001,316,96,0.3,,,,,,
,,2001 - 2002,17,5,0.29,,,,,,
,,2002 - 2003,11,2,0.18,,,,,,
,,2003 - 2004,1,,0,,,,,,
,,2004 - 2005,8,3,0.38,,,,,,
,,2008 - 2009,19,13,0.68,,,,,,
,,2011 - 2012,103,55,0.53,,,,,,
,,2013 - 2014,6,5,0.83,12,10,0.83,,,
,,2017 - 2018,23,18,0.78,,,,,,
,,2018 - 2019,,,,8,2,0.25,,,
,,2021 - 2022,9,3,0.33,21,7,0.33,,,
,,2022 - 2023,4,1,0.25,22,7,0.32,,,
,14. Sri sathya sai,2022 - 2023,"5,020.00","1,325.00",0.26,22,7,0.32,,,
,15. Srikakulam,2019 - 2020,1,1,1,,,,,,
,16. Visakhapatanam,2000 - 2001,8,2,0.25,,,,,,
,,2001 - 2002,6,2,0.33,,,,,,
,,2002 - 2003,6,1,0.17,,,,,,
,,2003 - 2004,4,2,0.5,,,,,,
,,2004 - 2005,4,2,0.5,,,,,,
