State,District,Year,Garlic,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Andhra Pradesh,1. Kadapa,2010 - 2011,10,21,2.1,,,,,,
,2. Srikakulam,2011 - 2012,1,2,2,,,,,,
2. Bihar,1. Araria,2000 - 2001,201,248,1.23,,,,,,
,,2001 - 2002,191,280,1.47,,,,,,
,,2002 - 2003,246,363,1.48,,,,,,
,,2003 - 2004,222,334,1.5,,,,,,
,,2004 - 2005,186,280,1.51,,,,,,
,,2005 - 2006,311,459,1.48,,,,,,
,,2007 - 2008,416,601,1.44,,,,,,
,,2008 - 2009,416,575,1.38,,,,,,
,,2016 - 2017,76,120,1.58,,,,,,
,,2017 - 2018,52,82,1.58,,,,,,
,,2018 - 2019,52,82,1.58,,,,,,
,,2022 - 2023,38,60,1.58,,,,,,
,2. Arwal,2004 - 2005,10,15,1.5,,,,,,
,,2005 - 2006,21,31,1.48,,,,,,
,,2007 - 2008,20,29,1.45,,,,,,
,,2008 - 2009,18,29,1.61,,,,,,
,,2016 - 2017,31,49,1.58,,,,,,
,,2017 - 2018,27,43,1.59,,,,,,
,,2018 - 2019,109,172,1.58,,,,,,
,,2019 - 2020,54,85,1.57,,,,,,
,,2020 - 2021,62,155,2.5,,,,,,
,,2021 - 2022,56,88,1.57,,,,,,
,,2022 - 2023,41,77,1.88,,,,,,
,3. Aurangabad,2000 - 2001,3,4,1.33,,,,,,
,,2001 - 2002,3,4,1.33,,,,,,
,,2002 - 2003,3,4,1.33,,,,,,
,,2003 - 2004,4,6,1.5,,,,,,
,,2005 - 2006,6,9,1.5,,,,,,
,,2007 - 2008,13,19,1.46,,,,,,
,,2008 - 2009,13,21,1.62,,,,,,
,,2016 - 2017,23,36,1.57,,,,,,
,,2017 - 2018,22,35,1.59,,,,,,
,4. Banka,2000 - 2001,2,3,1.5,,,,,,
,,2001 - 2002,2,3,1.5,,,,,,
,,2007 - 2008,3,4,1.33,,,,,,
,,2008 - 2009,3,5,1.67,,,,,,
,,2016 - 2017,7,10,1.43,,,,,,
,,2017 - 2018,6,9,1.5,,,,,,
,,2018 - 2019,5,7,1.4,,,,,,
,,2019 - 2020,5,7,1.4,,,,,,
,,2020 - 2021,5,8,1.6,,,,,,
,,2021 - 2022,13,20,1.54,,,,,,
,,2022 - 2023,11,17,1.55,,,,,,
,5. Begusarai,2000 - 2001,2,3,1.5,,,,,,
,,2001 - 2002,7,10,1.43,,,,,,
,,2002 - 2003,1,1,1,,,,,,
,,2003 - 2004,8,12,1.5,,,,,,
,,2004 - 2005,10,15,1.5,,,,,,
,,2005 - 2006,15,22,1.47,,,,,,
,,2016 - 2017,2,3,1.5,,,,,,
,,2017 - 2018,10,13,1.3,,,,,,
,,2018 - 2019,12,15,1.25,,,,,,
,,2019 - 2020,21,31,1.48,,,,,,
,,2020 - 2021,17,38,2.24,,,,,,
,,2021 - 2022,36,53,1.47,,,,,,
,,2022 - 2023,33,58,1.76,,,,,,
,6. Bhagalpur,2000 - 2001,35,49,1.4,,,,,,
,,2001 - 2002,38,56,1.47,,,,,,
,,2002 - 2003,21,31,1.48,,,,,,
,,2003 - 2004,29,43,1.48,,,,,,
,,2004 - 2005,53,80,1.51,,,,,,
,,2005 - 2006,39,58,1.49,,,,,,
,,2007 - 2008,29,42,1.45,,,,,,
,,2008 - 2009,29,47,1.62,,,,,,
,,2016 - 2017,19,27,1.42,,,,,,
,,2017 - 2018,20,30,1.5,,,,,,
,,2018 - 2019,20,30,1.5,,,,,,
,,2019 - 2020,15,19,1.27,,,,,,
,,2020 - 2021,21,35,1.67,,,,,,
,,2021 - 2022,20,31,1.55,,,,,,
,,2022 - 2023,20,31,1.55,,,,,,
,7. Bhojpur,2001 - 2002,2,3,1.5,,,,,,
,,2002 - 2003,2,3,1.5,,,,,,
,,2003 - 2004,5,7,1.4,,,,,,
,,2004 - 2005,2,3,1.5,,,,,,
,,2005 - 2006,5,7,1.4,,,,,,
,,2008 - 2009,6,9,1.5,,,,,,
,,2016 - 2017,18,28,1.56,,,,,,
,,2017 - 2018,9,14,1.56,,,,,,
,,2022 - 2023,4,6,1.5,,,,,,
,8. Buxar,2000 - 2001,2,3,1.5,,,,,,
,,2001 - 2002,3,4,1.33,,,,,,
,,2002 - 2003,2,3,1.5,,,,,,
,,2003 - 2004,1,2,2,,,,,,
,,2007 - 2008,5,7,1.4,,,,,,
,,2008 - 2009,1,2,2,,,,,,
,,2016 - 2017,56,111,1.98,,,,,,
,,2017 - 2018,78,154,1.97,,,,,,
,,2018 - 2019,68,134,1.97,,,,,,
,9. Darbhanga,2000 - 2001,11,16,1.45,,,,,,
,,2001 - 2002,13,19,1.46,,,,,,
,,2002 - 2003,39,58,1.49,,,,,,
,,2003 - 2004,30,45,1.5,,,,,,
,,2004 - 2005,25,38,1.52,,,,,,
,,2005 - 2006,26,38,1.46,,,,,,
,,2007 - 2008,8,12,1.5,,,,,,
,10. Gaya,2000 - 2001,33,48,1.45,,,,,,
,,2001 - 2002,5,7,1.4,,,,,,
,,2002 - 2003,42,61,1.45,,,,,,
,,2003 - 2004,54,78,1.44,,,,,,
,,2004 - 2005,47,68,1.45,,,,,,
