State,District,Year,Gram,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Andhra Pradesh,1. Anakapalli,2022 - 2023,1,2,2,,,,,,,,,
,2. Anantapur,2000 - 2001,"33,858.00","22,685.00",0.67,21,14,0.67,,,,,,
,,2001 - 2002,"47,894.00","50,145.00",1.05,16,17,1.06,,,,,,
,,2002 - 2003,"54,264.00","20,186.00",0.37,,,,,,,,,
,,2003 - 2004,"51,461.00","15,438.00",0.3,,,,,,,,,
,,2004 - 2005,"42,106.00","9,516.00",0.23,,,,,,,,,
,,2005 - 2006,"49,105.00","48,172.00",0.98,,,,,,,,,
,,2006 - 2007,"83,533.00","30,739.00",0.37,,,,,,,,,
,,2007 - 2008,"75,000.00","78,000.00",1.04,,,,,,,,,
,,2008 - 2009,"73,055.00","68,379.00",0.94,,,,,,,,,
,,2009 - 2010,"92,936.00","1,07,248.00",1.15,,,,,,,,,
,,2010 - 2011,"94,240.00","73,601.00",0.78,,,,,,,,,
,,2011 - 2012,"68,483.00","38,008.00",0.55,,,,,,,,,
,,2012 - 2013,"90,000.00","77,000.00",0.86,,,,,,,,,
,,2013 - 2014,"85,768.00","68,614.00",0.8,,,,,,,,,
,,2014 - 2015,"68,092.00","38,676.00",0.57,,,,,,,,,
,,2015 - 2016,"75,799.00","34,185.00",0.45,,,,,,,,,
,,2016 - 2017,"22,874.00","5,924.00",0.26,,,,,,,,,
,,2017 - 2018,"74,397.00","50,590.00",0.68,,,,,,,,,
,,2018 - 2019,"78,340.00","19,428.00",0.25,,,,,,,,,
,,2019 - 2020,"92,409.00","70,878.00",0.77,,,,,,,,,
,,2020 - 2021,"87,490.00","37,883.00",0.43,,,,,,,,,
,,2021 - 2022,"82,642.00","19,751.00",0.24,8,2,0.25,,,,,,
,,2022 - 2023,"60,631.00","69,968.00",1.15,1,1,1,,,,,,
,3. Annamayya,2022 - 2023,2,3,1.5,,,,,,,,,
,4. Bapatla,2022 - 2023,"26,090.00","62,929.00",2.41,,,,,,,,,
,5. Chittoor,2000 - 2001,,,,6,5,0.83,,,,,,
,,2001 - 2002,,,,5,6,1.2,,,,,,
,,2002 - 2003,20,16,0.8,,,,,,,,,
,,2004 - 2005,2,2,1,9,8,0.89,,,,,,
,,2008 - 2009,19,74,3.89,,,,,,,,,
,,2009 - 2010,2,2,1,,,,,,,,,
,,2011 - 2012,2,1,0.5,,,,,,,,,
,,2013 - 2014,8,10,1.25,,,,,,,,,
,,2014 - 2015,7,7,1,,,,,,,,,
,,2015 - 2016,2,2,1,2,2,1,,,,,,
,,2016 - 2017,4,3,0.75,,,,,,,,,
,,2017 - 2018,,,,1,,0,,,,,,
,,2018 - 2019,,,,26,,0,,,,,,
,,2021 - 2022,4,3,0.75,,,,,,,,,
,,2022 - 2023,3,4,1.33,,,,,,,,,
,6. East godavari,2000 - 2001,7,17,2.43,,,,,,,,,
,,2001 - 2002,26,49,1.88,,,,,,,,,
,,2002 - 2003,31,41,1.32,,,,,,,,,
,,2003 - 2004,5,9,1.8,,,,,,,,,
,,2004 - 2005,9,14,1.56,,,,,,,,,
,,2005 - 2006,13,25,1.92,,,,,,,,,
,,2006 - 2007,170,324,1.91,,,,,,,,,
,,2007 - 2008,"1,000.00","1,000.00",1,,,,,,,,,
,,2008 - 2009,728,"1,267.00",1.74,,,,,,,,,
,,2009 - 2010,498,818,1.64,,,,,,,,,
,,2010 - 2011,316,526,1.66,,,,,,,,,
,,2011 - 2012,92,139,1.51,,,,,,,,,
,,2013 - 2014,134,258,1.93,,,,,,,,,
,,2014 - 2015,97,187,1.93,,,,,,,,,
,,2015 - 2016,220,408,1.85,,,,,,,,,
,,2016 - 2017,"1,503.00","2,262.00",1.5,,,,,,,,,
,,2017 - 2018,"1,813.00","2,594.00",1.43,,,,,,,,,
,,2018 - 2019,"2,383.00","2,569.00",1.08,,,,,,,,,
,,2019 - 2020,"1,964.00","3,364.00",1.71,,,,,,,,,
,,2020 - 2021,"1,675.00","3,224.00",1.92,,,,,,,,,
,,2021 - 2022,"1,586.00","3,094.00",1.95,,,,,,,,,
,,2022 - 2023,828,"1,456.00",1.76,,,,,,,,,
,7. Guntur,2000 - 2001,"1,452.00","3,453.00",2.38,,,,,,,,,
,,2001 - 2002,"2,820.00","5,285.00",1.87,,,,,,,,,
,,2002 - 2003,"9,847.00","12,909.00",1.31,,,,,,,,,
,,2003 - 2004,"17,127.00","30,656.00",1.79,44,79,1.8,,,,,,
,,2004 - 2005,"3,719.00","5,679.00",1.53,,,,,,,,,
,,2005 - 2006,"6,350.00","9,970.00",1.57,,,,,,,,,
,,2006 - 2007,"11,684.00","18,099.00",1.55,,,,,,,,,
,,2007 - 2008,"15,000.00","25,000.00",1.67,,,,,,,,,
,,2008 - 2009,"12,603.00","26,025.00",2.06,,,,,,,,,
,,2009 - 2010,"9,439.00","12,280.00",1.3,,,,,,,,,
,,2010 - 2011,"9,334.00","16,521.00",1.77,,,,,,,,,
,,2011 - 2012,"11,693.00","23,854.00",2.04,,,,,,,,,
,,2012 - 2013,"23,000.00","43,000.00",1.87,,,,,,,,,
,,2013 - 2014,"9,507.00","21,676.00",2.28,,,,,,,,,
,,2014 - 2015,"5,945.00","13,691.00",2.3,,,,,,,,,
,,2015 - 2016,"16,080.00","26,210.00",1.63,,,,,,,,,
,,2016 - 2017,"21,997.00","43,158.00",1.96,,,,,,,,,
,,2017 - 2018,"32,007.00","60,845.00",1.9,,,,,,,,,
,,2018 - 2019,"24,815.00","51,466.00",2.07,,,,,,,,,
,,2019 - 2020,"16,735.00","28,182.00",1.68,,,,,,,,,
,,2020 - 2021,"17,458.00","33,240.00",1.9,,,,,,,,,
,,2021 - 2022,"19,613.00","35,480.00",1.81,14,25,1.79,,,,,,
,,2022 - 2023,"6,555.00","15,699.00",2.39,,,,,,,,,
,8. Kadapa,2000 - 2001,"30,637.00","38,541.00",1.26,,,,,,,,,
,,2001 - 2002,"42,871.00","54,060.00",1.26,1,1,1,,,,,,
,,2002 - 2003,"54,056.00","28,109.00",0.52,2,1,0.5,,,,,,
,,2003 - 2004,"44,584.00","49,221.00",1.1,,,,,,,,,
,,2004 - 2005,"35,568.00","28,988.00",0.82,,,,,,,,,
,,2005 - 2006,"33,462.00","55,513.00",1.66,,,,,,,,,
,,2006 - 2007,"71,786.00","32,663.00",0.46,,,,,,,,,
,,2007 - 2008,"67,000.00","87,000.00",1.3,,,,,,,,,
,,2008 - 2009,"71,451.00","67,450.00",0.94,,,,,,,,,
,,2009 - 2010,"77,338.00","38,128.00",0.49,,,,,,,,,
,,2010 - 2011,"69,518.00","76,817.00",1.1,,,,,,,,,
,,2011 - 2012,"90,366.00","74,913.00",0.83,,,,,,,,,
