State,District,Year,Groundnut,,,,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Whole Year,,,Autumn,,,Winter,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Andaman and Nicobar Islands,1. North and middle andaman,2010 - 2011,4.75,6.8,1.43,,,,,,,,,,,,,,,
,,2011 - 2012,8.1,11.7,1.44,,,,,,,,,,,,,,,
,,2012 - 2013,14.6,3.4,0.23,,,,,,,,,,,,,,,
,,2013 - 2014,0.5,0.5,1,,,,,,,,,,,,,,,
,,2014 - 2015,3.1,2.1,0.68,,,,,,,,,,,,,,,
,,2016 - 2017,0.5,0.75,1.5,,,,,,,,,,,,,,,
,,2018 - 2019,2,1.2,0.6,,,,,,,,,,,,,,,
,,2019 - 2020,3,1.7,0.57,,,,,,,,,,,,,,,
,,2020 - 2021,5.5,3,0.55,,,,,,,,,,,,,,,
,,2021 - 2022,5.5,3.1,0.56,,,,,,,,,,,,,,,
,,2022 - 2023,4.5,2.7,0.6,,,,,,,,,,,,,,,
,2. South andamans,2010 - 2011,15.5,7.6,0.49,,,,,,,,,,,,,,,
,,2011 - 2012,12.2,4.3,0.35,,,,,,,,,,,,,,,
,,2012 - 2013,15.4,23.6,1.53,,,,,,,,,,,,,,,
,,2013 - 2014,1.2,0.9,0.75,,,,,,,,,,,,,,,
,,2014 - 2015,1.4,0.9,0.64,,,,,,,,,,,,,,,
,,2015 - 2016,1.2,0.6,0.5,,,,,,,,,,,,,,,
2. Andhra Pradesh,1. Alluri sitharama raju,2022 - 2023,22,83,3.77,"2,819.00","5,260.00",1.87,,,,,,,,,,,,
,2. Anakapalli,2022 - 2023,438,662,1.51,75,232,3.09,,,,,,,,,,,,
,3. Anantapur,2000 - 2001,"23,048.00","23,832.00",1.03,"7,91,559.00","8,84,963.00",1.12,,,,,,,,,,,,
,,2001 - 2002,"18,773.00","29,192.00",1.55,"7,58,700.00","3,33,828.00",0.44,,,,,,,,,,,,
,,2002 - 2003,"17,529.00","18,651.00",1.06,"7,32,262.00","2,59,953.00",0.35,,,,,,,,,,,,
,,2003 - 2004,"15,060.00","19,819.00",1.32,"6,70,935.00","1,87,862.00",0.28,,,,,,,,,,,,
,,2004 - 2005,"14,500.00","21,736.00",1.5,"8,57,823.00","6,84,543.00",0.8,,,,,,,,,,,,
,,2005 - 2006,"22,006.00","29,752.00",1.35,"8,77,029.00","3,62,213.00",0.41,,,,,,,,,,,,
,,2006 - 2007,"18,104.00","18,991.00",1.05,"6,44,007.00","43,148.00",0.07,,,,,,,,,,,,
,,2007 - 2008,"21,000.00","28,000.00",1.33,"8,76,000.00","11,02,000.00",1.26,,,,,,,,,,,,
,,2008 - 2009,"16,879.00","24,897.00",1.48,"8,53,577.00","75,115.00",0.09,,,,,,,,,,,,
,,2009 - 2010,"19,507.00","28,051.00",1.44,"5,10,874.00","1,13,925.00",0.22,,,,,,,,,,,,
,,2010 - 2011,"19,993.00","34,068.00",1.7,"8,14,077.00","4,46,928.00",0.55,,,,,,,,,,,,
,,2011 - 2012,"19,876.00","32,696.00",1.64,"7,33,960.00","1,74,682.00",0.24,,,,,,,,,,,,
,,2012 - 2013,"21,000.00","34,000.00",1.62,"7,09,000.00","2,96,000.00",0.42,,,,,,,,,,,,
,,2013 - 2014,"17,303.00","26,335.00",1.52,"7,11,145.00","2,86,591.00",0.4,,,,,,,,,,,,
,,2014 - 2015,"14,957.00","24,679.00",1.65,"5,50,794.00","1,48,714.00",0.27,,,,,,,,,,,,
,,2015 - 2016,"23,526.00","32,395.00",1.38,"4,44,657.00","3,19,708.00",0.72,,,,,,,,,,,,
,,2016 - 2017,"15,570.00","24,025.00",1.54,"6,08,162.00","1,40,485.00",0.23,,,,,,,,,,,,
,,2017 - 2018,"20,689.00","42,847.00",2.07,"4,02,435.00","4,12,093.00",1.02,,,,,,,,,,,,
,,2018 - 2019,"16,184.00","25,749.00",1.59,"4,74,392.00","1,50,857.00",0.32,,,,,,,,,,,,
,,2019 - 2020,"37,601.00","65,990.00",1.76,"3,71,029.00","2,77,530.00",0.75,,,,,,,,,,,,
,,2020 - 2021,"54,209.00","69,550.00",1.28,"4,81,154.00","2,27,586.00",0.47,,,,,,,,,,,,
,,2021 - 2022,"42,599.00","48,222.00",1.13,"4,97,162.00","77,557.00",0.16,,,,,,,,,,,,
,,2022 - 2023,"19,324.00","53,527.00",2.77,"1,76,634.00","80,192.00",0.45,,,,,,,,,,,,
,4. Annamayya,2022 - 2023,"11,384.00","32,251.00",2.83,"27,507.00","36,007.00",1.31,,,,,,,,,,,,
,5. Bapatla,2022 - 2023,"4,376.00","20,545.00",4.69,899,"3,051.00",3.39,,,,,,,,,,,,
,6. Chittoor,2000 - 2001,"22,396.00","60,156.00",2.69,"1,92,106.00","2,18,617.00",1.14,,,,,,,,,,,,
,,2001 - 2002,"21,443.00","59,311.00",2.77,"1,71,365.00","1,25,096.00",0.73,,,,,,,,,,,,
,,2002 - 2003,"18,706.00","52,714.00",2.82,"1,01,638.00","50,108.00",0.49,,,,,,,,,,,,
,,2003 - 2004,"22,411.00","51,164.00",2.28,"1,37,201.00","92,611.00",0.68,,,,,,,,,,,,
,,2004 - 2005,"23,819.00","60,381.00",2.53,"1,94,943.00","1,38,410.00",0.71,,,,,,,,,,,,
,,2005 - 2006,"17,796.00","44,223.00",2.48,"1,77,541.00","1,30,670.00",0.74,,,,,,,,,,,,
,,2006 - 2007,"18,109.00","52,842.00",2.92,"87,185.00","46,470.00",0.53,,,,,,,,,,,,
,,2007 - 2008,"21,000.00","57,000.00",2.71,"1,46,000.00","2,46,000.00",1.68,,,,,,,,,,,,
,,2008 - 2009,"17,250.00","46,506.00",2.7,"1,71,653.00","84,110.00",0.49,,,,,,,,,,,,
,,2009 - 2010,"16,334.00","58,966.00",3.61,"1,23,097.00","71,889.00",0.58,,,,,,,,,,,,
,,2010 - 2011,"13,361.00","31,332.00",2.35,"1,48,596.00","1,59,741.00",1.08,,,,,,,,,,,,
,,2011 - 2012,"14,103.00","45,637.00",3.24,"1,32,056.00","82,799.00",0.63,,,,,,,,,,,,
,,2012 - 2013,"15,000.00","40,000.00",2.67,"1,35,000.00","87,000.00",0.64,,,,,,,,,,,,
,,2013 - 2014,"12,051.00","32,863.00",2.73,"1,43,027.00","1,42,455.00",1,,,,,,,,,,,,
,,2014 - 2015,"8,830.00","23,002.00",2.6,"1,22,578.00","72,811.00",0.59,,,,,,,,,,,,
,,2015 - 2016,"12,180.00","33,227.00",2.73,"1,14,394.00","1,30,867.00",1.14,,,,,,,,,,,,
,,2016 - 2017,"14,374.00","48,081.00",3.34,"1,33,124.00","71,887.00",0.54,,,,,,,,,,,,
,,2017 - 2018,"14,484.00","48,927.00",3.38,"1,15,048.00","2,14,449.00",1.86,,,,,,,,,,,,
,,2018 - 2019,"10,478.00","32,618.00",3.11,"99,275.00","89,645.00",0.9,,,,,,,,,,,,
,,2019 - 2020,"12,523.00","38,195.00",3.05,"95,746.00","1,65,832.00",1.73,,,,,,,,,,,,
,,2020 - 2021,"10,087.00","26,922.00",2.67,"1,22,977.00","1,27,404.00",1.04,,,,,,,,,,,,
,,2021 - 2022,"9,490.00","28,593.00",3.01,"93,394.00","1,07,870.00",1.15,,,,,,,,,,,,
,,2022 - 2023,"2,946.00","5,574.00",1.89,"34,308.00","53,418.00",1.56,,,,,,,,,,,,
,7. East godavari,2000 - 2001,766,"1,206.00",1.57,344,354,1.03,,,,,,,,,,,,
,,2001 - 2002,494,979,1.98,140,72,0.51,,,,,,,,,,,,
,,2002 - 2003,526,920,1.75,50,48,0.96,,,,,,,,,,,,
,,2003 - 2004,580,977,1.68,125,120,0.96,,,,,,,,,,,,
,,2004 - 2005,434,897,2.07,60,58,0.97,,,,,,,,,,,,
,,2005 - 2006,546,"1,289.00",2.36,85,95,1.12,,,,,,,,,,,,
,,2006 - 2007,407,963,2.37,122,118,0.97,,,,,,,,,,,,
,,2008 - 2009,451,"1,011.00",2.24,35,42,1.2,,,,,,,,,,,,
,,2009 - 2010,479,"1,197.00",2.5,89,99,1.11,,,,,,,,,,,,
,,2010 - 2011,290,635,2.19,66,82,1.24,,,,,,,,,,,,
,,2011 - 2012,227,544,2.4,47,66,1.4,,,,,,,,,,,,
,,2013 - 2014,127,328,2.58,61,114,1.87,,,,,,,,,,,,
,,2014 - 2015,338,"1,099.00",3.25,27,44,1.63,,,,,,,,,,,,
