State,District,Year,Guar seed,,,,,,,,
,,,Rabi,,,Kharif,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Andhra Pradesh,1. Prakasam,2019 - 2020,6,,0,,,,,,
,2. Spsr nellore,2016 - 2017,42,80,1.9,,,,,,
,3. West godavari,2019 - 2020,,,,1,,0,,,
2. Chhattisgarh,1. Balrampur,2013 - 2014,,,,26,21,0.81,,,
3. Gujarat,1. Ahmadabad,2000 - 2001,,,,,,,"3,300.00",700,0.21
,,2001 - 2002,,,,,,,"3,500.00","1,500.00",0.43
,,2002 - 2003,,,,,,,"2,600.00",800,0.31
,,2003 - 2004,,,,,,,400,300,0.75
,,2004 - 2005,,,,,,,400,300,0.75
,,2005 - 2006,,,,,,,200,100,0.5
,,2006 - 2007,,,,,,,"1,000.00",400,0.4
,,2007 - 2008,,,,,,,100,100,1
,,2008 - 2009,,,,,,,"1,200.00",400,0.33
,,2009 - 2010,,,,,,,200,100,0.5
,,2010 - 2011,,,,,,,300,200,0.67
,,2011 - 2012,,,,,,,600,400,0.67
,,2012 - 2013,,,,,,,"10,600.00","6,400.00",0.6
,,2013 - 2014,,,,,,,"13,468.00","11,933.00",0.89
,,2014 - 2015,,,,,,,"6,227.00","4,817.00",0.77
,,2015 - 2016,,,,,,,"5,415.00","3,348.00",0.62
,,2016 - 2017,,,,,,,"5,248.00","3,499.00",0.67
,,2017 - 2018,,,,,,,"5,154.00","3,428.00",0.67
,,2018 - 2019,,,,,,,"3,288.00","2,466.00",0.75
,,2019 - 2020,,,,400,440,1.1,,,
,,2020 - 2021,,,,353,292,0.83,,,
,,2021 - 2022,,,,533,461,0.86,,,
,,2022 - 2023,,,,432,308,0.71,,,
,2. Amreli,2000 - 2001,,,,,,,"1,000.00",200,0.2
,,2004 - 2005,,,,,,,100,100,1
,,2005 - 2006,,,,,,,200,100,0.5
,,2013 - 2014,,,,,,,285,253,0.89
,,2014 - 2015,,,,,,,168,130,0.77
,,2015 - 2016,,,,,,,62,38,0.61
,,2016 - 2017,,,,,,,59,39,0.66
,,2017 - 2018,,,,,,,42,28,0.67
,,2018 - 2019,,,,,,,522,292,0.56
,,2020 - 2021,,,,12,8,0.67,,,
,3. Anand,2008 - 2009,,,,,,,100,100,1
,,2009 - 2010,,,,,,,100,100,1
,,2010 - 2011,,,,,,,100,100,1
,,2011 - 2012,,,,,,,300,200,0.67
,,2013 - 2014,,,,,,,"2,306.00","2,043.00",0.89
,,2014 - 2015,,,,,,,364,282,0.77
,,2015 - 2016,,,,,,,216,134,0.62
,,2016 - 2017,,,,,,,573,382,0.67
,,2017 - 2018,,,,,,,105,70,0.67
,,2020 - 2021,,,,54,35,0.65,,,
,,2021 - 2022,,,,45,29,0.64,,,
,4. Aravalli,2014 - 2015,,,,,,,"13,675.00","10,578.00",0.77
,,2015 - 2016,,,,,,,"13,239.00","8,186.00",0.62
,,2016 - 2017,,,,,,,"6,285.00","4,191.00",0.67
,,2017 - 2018,,,,,,,"3,241.00","2,156.00",0.67
,,2018 - 2019,,,,,,,"3,131.00","2,348.00",0.75
,,2019 - 2020,,,,"1,805.00","2,882.00",1.6,,,
,,2020 - 2021,,,,829,"1,017.00",1.23,,,
,,2021 - 2022,,,,827,955,1.15,,,
,,2022 - 2023,,,,391,279,0.71,,,
,5. Banas kantha,2000 - 2001,,,,,,,"1,14,000.00","25,100.00",0.22
,,2001 - 2002,,,,,,,"1,14,300.00","55,800.00",0.49
,,2002 - 2003,,,,,,,"1,06,700.00","34,700.00",0.33
,,2003 - 2004,,,,,,,"1,23,400.00","1,12,900.00",0.91
,,2004 - 2005,,,,,,,"92,300.00","85,600.00",0.93
,,2005 - 2006,,,,,,,"87,900.00","44,000.00",0.5
,,2006 - 2007,,,,,,,"71,800.00","16,900.00",0.24
,,2007 - 2008,,,,,,,"80,900.00","56,100.00",0.69
,,2008 - 2009,,,,,,,"61,600.00","15,300.00",0.25
,,2009 - 2010,,,,,,,"43,300.00","6,900.00",0.16
,,2010 - 2011,,,,,,,"43,100.00","30,600.00",0.71
,,2011 - 2012,,,,,,,"53,100.00","33,600.00",0.63
,,2012 - 2013,,,,,,,"62,000.00","44,000.00",0.71
,,2013 - 2014,,,,,,,"1,31,660.00","1,02,589.00",0.78
,,2014 - 2015,,,,,,,"75,896.00","81,398.00",1.07
,,2015 - 2016,,,,,,,"74,175.00","50,424.00",0.68
,,2016 - 2017,,,,,,,"46,555.00","44,642.00",0.96
,,2017 - 2018,,,,,,,"32,904.00","11,897.00",0.36
,,2018 - 2019,,,,,,,"28,033.00","13,512.00",0.48
,,2019 - 2020,,,,"19,088.00","24,766.00",1.3,,,
,,2020 - 2021,,,,"14,057.00","18,307.00",1.3,,,
,,2021 - 2022,,,,"11,728.00","13,161.00",1.12,,,
,,2022 - 2023,,,,"4,729.00","5,098.00",1.08,,,
,6. Bharuch,2000 - 2001,,,,,,,500,100,0.2
,,2001 - 2002,,,,,,,200,100,0.5
,,2002 - 2003,,,,,,,200,100,0.5
,,2012 - 2013,,,,,,,800,500,0.63
,,2013 - 2014,,,,,,,500,443,0.89
,7. Bhavnagar,2000 - 2001,,,,,,,200,,0
,,2006 - 2007,,,,,,,400,200,0.5
,,2012 - 2013,,,,,,,300,200,0.67
,,2013 - 2014,,,,,,,"2,506.00","2,220.00",0.89
,,2014 - 2015,,,,,,,432,334,0.77
,,2015 - 2016,,,,,,,415,257,0.62
,,2016 - 2017,,,,,,,75,50,0.67
,,2017 - 2018,,,,,,,70,47,0.67
,,2018 - 2019,,,,,,,5,8,1.6
,,2019 - 2020,,,,72,53,0.74,,,
,,2021 - 2022,,,,5,3,0.6,,,
,,2022 - 2023,,,,3,2,0.67,,,
,8. Botad,2014 - 2015,,,,,,,"6,279.00","4,857.00",0.77
,,2015 - 2016,,,,,,,"5,163.00","3,192.00",0.62
,,2016 - 2017,,,,,,,"1,304.00",869,0.67
,,2017 - 2018,,,,,,,520,346,0.67
,,2018 - 2019,,,,,,,124,32,0.26
,,2019 - 2020,,,,176,79,0.45,,,
,,2020 - 2021,,,,650,423,0.65,,,
,,2021 - 2022,,,,3,2,0.67,,,
,9. Chhotaudepur,2014 - 2015,,,,,,,105,81,0.77
,,2016 - 2017,,,,,,,225,150,0.67
,,2017 - 2018,,,,,,,202,134,0.66
,,2020 - 2021,,,,25,16,0.64,,,
,10. Devbhumi dwarka,2014 - 2015,,,,,,,735,569,0.77
,11. Dohad,2016 - 2017,,,,,,,12,8,0.67
,,2017 - 2018,,,,,,,30,20,0.67
,,2018 - 2019,,,,,,,13,,0
,,2019 - 2020,,,,51,37,0.73,,,
,,2020 - 2021,,,,262,170,0.65,,,
,12. Gandhinagar,2000 - 2001,,,,,,,"2,200.00",500,0.23
,,2001 - 2002,,,,,,,"2,600.00","1,100.00",0.42
,,2002 - 2003,,,,,,,900,300,0.33
,,2003 - 2004,,,,,,,"5,700.00","4,300.00",0.75
,,2004 - 2005,,,,,,,"3,700.00","2,700.00",0.73
,,2005 - 2006,,,,,,,"4,200.00","2,400.00",0.57
