State,District,Year,Jowar,,,,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Andhra Pradesh,1. Alluri sitharama raju,2022 - 2023,42,48,1.14,225,146,0.65,,,,,,,,,
,2. Anakapalli,2022 - 2023,,,,1,7,7,,,,,,,,,
,3. Anantapur,2000 - 2001,"5,071.00","14,351.00",2.83,"15,242.00","16,980.00",1.11,,,,,,,,,
,,2001 - 2002,"3,900.00","6,720.00",1.72,"15,170.00","17,446.00",1.15,,,,,,,,,
,,2002 - 2003,"2,906.00","4,545.00",1.56,"12,676.00","11,497.00",0.91,,,,,,,,,
,,2003 - 2004,"12,487.00","30,830.00",2.47,"21,391.00","19,444.00",0.91,,,,,,,,,
,,2004 - 2005,"4,300.00","5,693.00",1.32,"11,871.00","14,269.00",1.2,,,,,,,,,
,,2005 - 2006,"3,759.00","3,879.00",1.03,"12,931.00","9,970.00",0.77,,,,,,,,,
,,2006 - 2007,"18,043.00","7,813.00",0.43,"24,944.00","15,440.00",0.62,,,,,,,,,
,,2007 - 2008,"4,000.00","3,000.00",0.75,"12,000.00","8,000.00",0.67,,,,,,,,,
,,2008 - 2009,"1,782.00","2,204.00",1.24,"12,501.00","6,951.00",0.56,,,,,,,,,
,,2009 - 2010,"41,409.00","25,881.00",0.63,"17,721.00","14,283.00",0.81,,,,,,,,,
,,2010 - 2011,"2,606.00","2,069.00",0.79,"13,274.00","8,296.00",0.62,,,,,,,,,
,,2011 - 2012,"7,190.00","7,535.00",1.05,"7,907.00","3,882.00",0.49,,,,,,,,,
,,2012 - 2013,"8,000.00","7,000.00",0.88,"5,000.00","3,000.00",0.6,,,,,,,,,
,,2013 - 2014,"14,486.00","9,749.00",0.67,"6,605.00","3,137.00",0.47,,,,,,,,,
,,2014 - 2015,"13,189.00","4,234.00",0.32,"5,263.00","1,368.00",0.26,,,,,,,,,
,,2015 - 2016,"23,047.00","13,114.00",0.57,"7,790.00","1,877.00",0.24,,,,,,,,,
,,2016 - 2017,"4,477.00",900,0.2,"2,613.00",295,0.11,,,,,,,,,
,,2017 - 2018,"18,362.00","9,787.00",0.53,"4,549.00","1,997.00",0.44,,,,,,,,,
,,2018 - 2019,"12,986.00","1,091.00",0.08,"3,263.00",434,0.13,,,,,,,,,
,,2019 - 2020,"23,744.00","13,866.00",0.58,"5,513.00","4,912.00",0.89,,,,,,,,,
,,2020 - 2021,"1,449.00",922,0.64,"7,198.00","2,922.00",0.41,,,,,,,,,
,,2021 - 2022,"1,059.00",455,0.43,"2,097.00","1,361.00",0.65,,,,,,,,,
