State,District,Year,Linseed,,,,,,,,
,,,Rabi,,,Kharif,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Andhra Pradesh,1. Anantapur,2000 - 2001,8,2,0.25,,,,,,
,,2001 - 2002,5,1,0.2,,,,,,
,,2002 - 2003,8,2,0.25,,,,,,
,,2003 - 2004,7,2,0.29,,,,,,
,,2004 - 2005,34,4,0.12,,,,,,
,,2005 - 2006,29,11,0.38,,,,,,
,,2006 - 2007,15,4,0.27,,,,,,
,,2008 - 2009,14,5,0.36,,,,,,
,,2012 - 2013,,,,7,3,0.43,,,
,,2013 - 2014,,,,7,3,0.43,,,
,,2015 - 2016,,,,1,1,1,,,
,,2020 - 2021,,,,77,0,0,,,
,,2021 - 2022,,,,11,0,0,,,
,2. Chittoor,2000 - 2001,30,6,0.2,,,,,,
,,2001 - 2002,21,5,0.24,,,,,,
,,2002 - 2003,14,4,0.29,,,,,,
,,2003 - 2004,19,5,0.26,,,,,,
,,2004 - 2005,11,1,0.09,,,,,,
,,2005 - 2006,5,2,0.4,,,,,,
,,2006 - 2007,4,1,0.25,,,,,,
,,2010 - 2011,18,,0,,,,,,
,,2011 - 2012,11,2,0.18,,,,,,
,,2015 - 2016,,,,9,4,0.44,,,
,,2017 - 2018,,,,8,4,0.5,,,
,,2018 - 2019,,,,9,,0,,,
,,2019 - 2020,,,,9,,0,,,
,3. East godavari,2000 - 2001,14,3,0.21,,,,,,
,4. Guntur,2010 - 2011,137,32,0.23,,,,,,
,5. Kadapa,2008 - 2009,528,197,0.37,,,,,,
,,2010 - 2011,289,67,0.23,,,,,,
,,2011 - 2012,350,74,0.21,,,,,,
,,2012 - 2013,,,,415,200,0.48,,,
,,2013 - 2014,,,,466,225,0.48,,,
,,2014 - 2015,,,,361,174,0.48,,,
,,2015 - 2016,,,,249,120,0.48,,,
,,2016 - 2017,,,,219,106,0.48,,,
,,2017 - 2018,,,,216,104,0.48,,,
,,2018 - 2019,,,,142,,0,,,
,,2019 - 2020,,,,124,,0,,,
,,2020 - 2021,,,,162,0,0,,,
,,2021 - 2022,,,,178,0,0,,,
,6. Krishna,2008 - 2009,7,3,0.43,,,,,,
,,2010 - 2011,5,1,0.2,,,,,,
,7. Kurnool,2000 - 2001,6,1,0.17,,,,,,
,,2002 - 2003,2,1,0.5,,,,,,
,,2003 - 2004,1,0,0,,,,,,
,,2004 - 2005,6,1,0.17,,,,,,
,,2005 - 2006,6,2,0.33,,,,,,
2. Assam,1. Baksa,2005 - 2006,728,422,0.58,,,,,,
,,2006 - 2007,768,445,0.58,,,,,,
,,2007 - 2008,735,426,0.58,,,,,,
,,2008 - 2009,516,316,0.61,,,,,,
,,2009 - 2010,673,398,0.59,,,,,,
,,2010 - 2011,680,402,0.59,,,,,,
,,2011 - 2012,623,401,0.64,,,,,,
,,2012 - 2013,480,306,0.64,,,,,,
,,2013 - 2014,478,210,0.44,,,,,,
,,2014 - 2015,455,339,0.75,,,,,,
,,2015 - 2016,370,283,0.76,,,,,,
,,2016 - 2017,370,241,0.65,,,,,,
,,2017 - 2018,356,269,0.76,,,,,,
,,2018 - 2019,350,266,0.76,,,,,,
,,2019 - 2020,355,263,0.74,,,,,,
,,2020 - 2021,323,241,0.75,,,,,,
,,2021 - 2022,312,232,0.74,,,,,,
,,2022 - 2023,250,187,0.75,,,,,,
,2. Barpeta,2000 - 2001,"2,605.00","1,433.00",0.55,,,,,,
,,2001 - 2002,"2,600.00","1,431.00",0.55,,,,,,
,,2002 - 2003,"2,655.00","1,461.00",0.55,,,,,,
,,2003 - 2004,"2,832.00","1,558.00",0.55,,,,,,
,,2004 - 2005,"2,780.00","1,530.00",0.55,,,,,,
,,2005 - 2006,"2,034.00","1,119.00",0.55,,,,,,
,,2006 - 2007,"2,033.00","1,118.00",0.55,,,,,,
,,2007 - 2008,"2,034.00","1,118.00",0.55,,,,,,
,,2008 - 2009,"1,921.00","1,057.00",0.55,,,,,,
,,2009 - 2010,"1,924.00","1,058.00",0.55,,,,,,
,,2010 - 2011,"1,872.00","1,029.00",0.55,,,,,,
,,2011 - 2012,"1,888.00","1,149.00",0.61,,,,,,
,,2012 - 2013,"1,827.00","1,199.00",0.66,,,,,,
,,2013 - 2014,"1,688.00","1,007.00",0.6,,,,,,
,,2014 - 2015,"1,665.00","1,278.00",0.77,,,,,,
,,2015 - 2016,"1,630.00","1,108.00",0.68,,,,,,
,,2016 - 2017,"1,593.00",945,0.59,,,,,,
,,2017 - 2018,"1,551.00",972,0.63,,,,,,
,,2018 - 2019,"1,524.00",943,0.62,,,,,,
,,2019 - 2020,"1,457.00",901,0.62,,,,,,
,,2020 - 2021,"1,399.00",870,0.62,,,,,,
,,2021 - 2022,"1,342.00",875,0.65,,,,,,
,,2022 - 2023,"1,317.00",860,0.65,,,,,,
,3. Biswanath,2020 - 2021,58,45,0.78,,,,,,
,,2021 - 2022,51,39,0.76,,,,,,
,,2022 - 2023,60,46,0.77,,,,,,
,4. Bongaigaon,2000 - 2001,534,276,0.52,,,,,,
,,2001 - 2002,580,293,0.51,,,,,,
,,2002 - 2003,502,276,0.55,,,,,,
,,2003 - 2004,603,305,0.51,,,,,,
,,2004 - 2005,529,258,0.49,,,,,,
,,2005 - 2006,363,152,0.42,,,,,,
,,2006 - 2007,359,150,0.42,,,,,,
,,2007 - 2008,376,161,0.43,,,,,,
,,2008 - 2009,373,159,0.43,,,,,,
,,2009 - 2010,360,154,0.43,,,,,,
,,2010 - 2011,270,121,0.45,,,,,,
,,2011 - 2012,280,128,0.46,,,,,,
,,2012 - 2013,243,117,0.48,,,,,,
,,2013 - 2014,252,131,0.52,,,,,,
,,2014 - 2015,221,118,0.53,,,,,,
,,2015 - 2016,214,126,0.59,,,,,,
,,2016 - 2017,236,148,0.63,,,,,,
,,2017 - 2018,236,85,0.36,,,,,,
,,2018 - 2019,228,82,0.36,,,,,,
,,2019 - 2020,224,81,0.36,,,,,,
,,2020 - 2021,219,110,0.5,,,,,,
,,2021 - 2022,242,122,0.5,,,,,,
,,2022 - 2023,246,148,0.6,,,,,,
,5. Cachar,2000 - 2001,38,16,0.42,,,,,,
,,2001 - 2002,38,16,0.42,,,,,,
,,2002 - 2003,39,17,0.44,,,,,,
,,2003 - 2004,40,17,0.43,,,,,,
,,2004 - 2005,43,20,0.47,,,,,,
,,2005 - 2006,44,20,0.45,,,,,,
,,2006 - 2007,46,20,0.43,,,,,,
,,2007 - 2008,30,13,0.43,,,,,,
,,2008 - 2009,30,14,0.47,,,,,,
,,2009 - 2010,31,14,0.45,,,,,,
,,2010 - 2011,25,11,0.44,,,,,,
,,2011 - 2012,25,14,0.56,,,,,,
,,2012 - 2013,26,14,0.54,,,,,,
,,2013 - 2014,26,13,0.5,,,,,,
,,2014 - 2015,27,17,0.63,,,,,,
,,2015 - 2016,25,10,0.4,,,,,,
,,2016 - 2017,23,10,0.43,,,,,,
,,2017 - 2018,21,8,0.38,,,,,,
,,2018 - 2019,23,10,0.43,,,,,,
,,2019 - 2020,24,13,0.54,,,,,,
