State,District,Year,Maize,,,,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Autumn,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Andaman and Nicobar Islands,1. Nicobars,2010 - 2011,3.84,18.22,4.74,,,,,,,,,,,,,,,
,,2011 - 2012,4,2.7,0.68,,,,,,,,,,,,,,,
,,2013 - 2014,9.7,5.1,0.53,,,,,,,,,,,,,,,
,,2014 - 2015,0.6,5.5,9.17,,,,,,,,,,,,,,,
,,2015 - 2016,0.5,0.5,1,,,,,,,,,,,,,,,
,,2021 - 2022,1.5,1.7,1.13,,,,,,,,,,,,,,,
,2. North and middle andaman,2010 - 2011,86.7,96.4,1.11,,,,,,,,,,,,,,,
,,2011 - 2012,91,136.5,1.5,,,,,,,,,,,,,,,
,,2012 - 2013,73.5,103.2,1.4,,,,,,,,,,,,,,,
,,2013 - 2014,75.4,176.1,2.34,,,,,,,,,,,,,,,
,,2014 - 2015,96.5,456,4.73,,,,,,,,,,,,,,,
,,2015 - 2016,65,240,3.69,,,,,,,,,,,,,,,
,,2016 - 2017,49.5,116.8,2.36,,,,,,,,,,,,,,,
,,2017 - 2018,30.62,17.58,0.57,,,,,,,,,,,,,,,
,,2018 - 2019,12.23,26.46,2.16,,,,,,,,,,,,,,,
,,2019 - 2020,15.37,44.05,2.87,,,,,,,,,,,,,,,
,,2020 - 2021,35.55,103.97,2.92,,,,,,,,,,,,,,,
,,2021 - 2022,11.71,35.14,3,,,,,,,,,,,,,,,
,,2022 - 2023,15.14,34.22,2.26,,,,,,,,,,,,,,,
,3. South andamans,2010 - 2011,73,253,3.47,,,,,,,,,,,,,,,
,,2011 - 2012,67.5,201,2.98,,,,,,,,,,,,,,,
