State,District,Year,Masoor,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Arunachal Pradesh,1. Anjaw,2016 - 2017,59,14,0.24,,,,,,,,,
,,2017 - 2018,51,16,0.31,,,,,,,,,
,,2018 - 2019,51,16,0.31,,,,,,,,,
,,2019 - 2020,51,16,0.31,,,,,,,,,
,,2021 - 2022,51,16,0.31,,,,,,,,,
,,2022 - 2023,51,27,0.53,,,,,,,,,
,2. Dibang valley,2016 - 2017,32,17,0.53,,,,,,,,,
,,2017 - 2018,26,17,0.65,,,,,,,,,
,,2018 - 2019,26,17,0.65,,,,,,,,,
,,2019 - 2020,26,17,0.65,,,,,,,,,
,,2021 - 2022,26,17,0.65,,,,,,,,,
,,2022 - 2023,26,17,0.65,,,,,,,,,
,3. East siang,2016 - 2017,41,21,0.51,,,,,,,,,
,,2017 - 2018,47,24,0.51,,,,,,,,,
,,2018 - 2019,38,30,0.79,,,,,,,,,
,,2019 - 2020,38,31,0.82,,,,,,,,,
,,2021 - 2022,43,35,0.81,,,,,,,,,
,,2022 - 2023,44,36,0.82,,,,,,,,,
,4. Kamle,2018 - 2019,28,56,2,,,,,,,,,
,,2019 - 2020,28,56,2,,,,,,,,,
,,2021 - 2022,28,49,1.75,,,,,,,,,
,,2022 - 2023,28,39,1.39,,,,,,,,,
,5. Leparada,2019 - 2020,8,12,1.5,,,,,,,,,
,,2021 - 2022,8,11,1.38,,,,,,,,,
,,2022 - 2023,9,11,1.22,,,,,,,,,
,6. Lower dibang valley,2016 - 2017,44,24,0.55,,,,,,,,,
,,2017 - 2018,61,36,0.59,,,,,,,,,
,,2018 - 2019,61,36,0.59,,,,,,,,,
,,2019 - 2020,61,37,0.61,,,,,,,,,
,,2021 - 2022,61,49,0.8,,,,,,,,,
,,2022 - 2023,62,49,0.79,,,,,,,,,
,7. Lower siang,2018 - 2019,30,70,2.33,,,,,,,,,
,,2019 - 2020,27,63,2.33,,,,,,,,,
,,2021 - 2022,27,45,1.67,,,,,,,,,
,,2022 - 2023,28,35,1.25,,,,,,,,,
,8. Lower subansiri,2016 - 2017,33,27,0.82,,,,,,,,,
,,2017 - 2018,47,25,0.53,,,,,,,,,
,,2018 - 2019,47,15,0.32,,,,,,,,,
,,2019 - 2020,47,16,0.34,,,,,,,,,
,,2021 - 2022,47,24,0.51,,,,,,,,,
,,2022 - 2023,47,24,0.51,,,,,,,,,
,9. Papum pare,2016 - 2017,36,19,0.53,,,,,,,,,
,,2017 - 2018,50,26,0.52,,,,,,,,,
,,2018 - 2019,50,26,0.52,,,,,,,,,
,,2019 - 2020,50,26,0.52,,,,,,,,,
,,2021 - 2022,55,38,0.69,,,,,,,,,
,,2022 - 2023,55,38,0.69,,,,,,,,,
,10. Siang,2016 - 2017,36,19,0.53,,,,,,,,,
,,2017 - 2018,28,18,0.64,,,,,,,,,
,,2018 - 2019,28,18,0.64,,,,,,,,,
,,2019 - 2020,29,18,0.62,,,,,,,,,
,,2021 - 2022,29,23,0.79,,,,,,,,,
,,2022 - 2023,30,26,0.87,,,,,,,,,
,11. Tirap,2016 - 2017,45,16,0.36,,,,,,,,,
,,2017 - 2018,35,17,0.49,,,,,,,,,
,,2018 - 2019,35,17,0.49,,,,,,,,,
,,2019 - 2020,35,17,0.49,,,,,,,,,
,,2021 - 2022,35,17,0.49,,,,,,,,,
,,2022 - 2023,35,32,0.91,,,,,,,,,
,12. Upper subansiri,2016 - 2017,47,24,0.51,,,,,,,,,
,,2017 - 2018,47,41,0.87,,,,,,,,,
,,2018 - 2019,39,31,0.79,,,,,,,,,
,,2019 - 2020,39,32,0.82,,,,,,,,,
,,2021 - 2022,39,32,0.82,,,,,,,,,
,,2022 - 2023,39,32,0.82,,,,,,,,,
,13. West siang,2016 - 2017,40,21,0.53,,,,,,,,,
,,2017 - 2018,46,32,0.7,,,,,,,,,
,,2018 - 2019,20,20,1,,,,,,,,,
,,2019 - 2020,15,15,1,,,,,,,,,
,,2021 - 2022,15,13,0.87,,,,,,,,,
,,2022 - 2023,15,13,0.87,,,,,,,,,
2. Assam,1. Baksa,2005 - 2006,"1,973.00","1,026.00",0.52,,,,,,,,,
,,2006 - 2007,"1,890.00",983,0.52,,,,,,,,,
,,2007 - 2008,"1,912.00",205,0.11,,,,,,,,,
,,2008 - 2009,"1,579.00",576,0.36,,,,,,,,,
,,2009 - 2010,"1,794.00",594,0.33,,,,,,,,,
,,2010 - 2011,"2,045.00",532,0.26,,,,,,,,,
,,2011 - 2012,"2,229.00",858,0.38,,,,,,,,,
,,2012 - 2013,"2,267.00",973,0.43,,,,,,,,,
,,2013 - 2014,"2,267.00","1,904.00",0.84,,,,,,,,,
,,2014 - 2015,"1,996.00","1,134.00",0.57,,,,,,,,,
,,2015 - 2016,"3,020.00","2,658.00",0.88,,,,,,,,,
,,2016 - 2017,"2,210.00","1,266.00",0.57,,,,,,,,,
,,2017 - 2018,"3,080.00","2,717.00",0.88,,,,,,,,,
,,2018 - 2019,"3,062.00","1,990.00",0.65,,,,,,,,,
,,2019 - 2020,"3,060.00","2,962.00",0.97,,,,,,,,,
,,2020 - 2021,"2,890.00","2,818.00",0.98,,,,,,,,,
,,2021 - 2022,"2,590.00","2,533.00",0.98,,,,,,,,,
,,2022 - 2023,"2,530.00","2,467.00",0.98,,,,,,,,,
,2. Barpeta,2001 - 2002,"3,015.00","1,508.00",0.5,,,,,,,,,
,,2002 - 2003,"3,005.00","1,503.00",0.5,,,,,,,,,
,,2003 - 2004,"3,070.00","1,535.00",0.5,,,,,,,,,
,,2004 - 2005,"3,015.00","1,508.00",0.5,,,,,,,,,
,,2005 - 2006,"2,479.00","1,240.00",0.5,,,,,,,,,
,,2006 - 2007,"2,613.00","1,307.00",0.5,,,,,,,,,
,,2007 - 2008,"2,798.00","1,400.00",0.5,,,,,,,,,
,,2008 - 2009,"3,981.00","1,991.00",0.5,,,,,,,,,
,,2009 - 2010,"4,308.00","2,155.00",0.5,,,,,,,,,
,,2010 - 2011,"4,646.00","2,328.00",0.5,,,,,,,,,
,,2011 - 2012,"4,970.00","2,494.00",0.5,,,,,,,,,
,,2012 - 2013,"4,905.00","2,697.00",0.55,,,,,,,,,
,,2013 - 2014,"4,963.00","2,461.00",0.5,,,,,,,,,
,,2014 - 2015,"4,965.00","3,615.00",0.73,,,,,,,,,
,,2015 - 2016,"4,716.00","3,759.00",0.8,,,,,,,,,
,,2016 - 2017,"4,684.00","2,549.00",0.54,,,,,,,,,
,,2017 - 2018,"6,211.00","3,282.00",0.53,,,,,,,,,
,,2018 - 2019,"5,320.00","2,866.00",0.54,,,,,,,,,
,,2019 - 2020,"4,313.00","2,316.00",0.54,,,,,,,,,
,,2020 - 2021,"4,267.00","2,302.00",0.54,,,,,,,,,
,,2021 - 2022,"4,104.00","2,489.00",0.61,,,,,,,,,
,,2022 - 2023,"4,035.00","2,469.00",0.61,,,,,,,,,
,3. Biswanath,2020 - 2021,683,737,1.08,,,,,,,,,
,,2021 - 2022,709,759,1.07,,,,,,,,,
,,2022 - 2023,"1,202.00","1,296.00",1.08,,,,,,,,,
,4. Bongaigaon,2001 - 2002,"1,142.00",672,0.59,,,,,,,,,
,,2002 - 2003,"1,991.00","1,339.00",0.67,,,,,,,,,
,,2003 - 2004,"2,130.00","1,371.00",0.64,,,,,,,,,
,,2004 - 2005,"2,473.00","1,519.00",0.61,,,,,,,,,
,,2005 - 2006,"1,458.00",805,0.55,,,,,,,,,
,,2006 - 2007,"1,605.00",910,0.57,,,,,,,,,
,,2007 - 2008,"1,338.00",721,0.54,,,,,,,,,
,,2008 - 2009,"1,288.00",686,0.53,,,,,,,,,
,,2009 - 2010,"1,390.00",759,0.55,,,,,,,,,
,,2010 - 2011,"1,413.00",769,0.54,,,,,,,,,
,,2011 - 2012,"1,348.00",821,0.61,,,,,,,,,
,,2012 - 2013,"1,331.00",899,0.68,,,,,,,,,
,,2013 - 2014,"1,514.00","1,009.00",0.67,,,,,,,,,
,,2014 - 2015,"1,535.00","1,385.00",0.9,,,,,,,,,
,,2015 - 2016,"1,621.00",992,0.61,,,,,,,,,
,,2016 - 2017,"1,727.00","1,314.00",0.76,,,,,,,,,
