State,District,Year,Moth,,,,,
,,,Kharif,,,Rabi,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Gujarat,1. Ahmadabad,2000 - 2001,900,100,0.11,,,
,,2001 - 2002,800,300,0.38,,,
,,2002 - 2003,700,500,0.71,,,
,,2003 - 2004,800,400,0.5,,,
,,2005 - 2006,500,300,0.6,,,
,,2006 - 2007,500,100,0.2,,,
,,2007 - 2008,"1,400.00",800,0.57,,,
,,2008 - 2009,"2,100.00",500,0.24,,,
,,2009 - 2010,"2,300.00",700,0.3,,,
,,2010 - 2011,"2,800.00","1,700.00",0.61,,,
,,2011 - 2012,"4,600.00","2,900.00",0.63,,,
,,2012 - 2013,"1,500.00",800,0.53,,,
,,2013 - 2014,"3,405.00","2,268.00",0.67,,,
,,2014 - 2015,970,713,0.74,,,
,,2015 - 2016,"1,660.00","1,559.00",0.94,,,
,,2016 - 2017,"6,194.00","2,535.00",0.41,,,
,,2017 - 2018,"7,038.00","5,103.00",0.73,,,
,,2018 - 2019,"3,260.00",590,0.18,,,
,,2019 - 2020,"1,090.00",482,0.44,,,
,,2020 - 2021,"4,002.00","2,405.00",0.6,,,
,,2021 - 2022,"4,768.00","2,094.00",0.44,,,
,,2022 - 2023,"8,865.00","4,233.00",0.48,,,
,2. Amreli,2000 - 2001,500,,0,,,
,,2001 - 2002,600,200,0.33,,,
,,2002 - 2003,300,200,0.67,,,
,,2003 - 2004,800,400,0.5,,,
,,2004 - 2005,"1,000.00",400,0.4,,,
,,2005 - 2006,"1,300.00",700,0.54,,,
,,2006 - 2007,600,200,0.33,,,
,,2007 - 2008,300,200,0.67,,,
,,2008 - 2009,100,100,1,,,
,,2013 - 2014,226,109,0.48,,,
,,2014 - 2015,140,60,0.43,,,
,,2015 - 2016,130,62,0.48,,,
,,2016 - 2017,493,231,0.47,,,
,,2017 - 2018,100,65,0.65,,,
,,2018 - 2019,75,6,0.08,,,
,,2019 - 2020,26,12,0.46,,,
,,2020 - 2021,16,8,0.5,,,
,,2021 - 2022,82,36,0.44,,,
,,2022 - 2023,257,129,0.5,,,
,3. Anand,2003 - 2004,100,,0,,,
,,2007 - 2008,100,100,1,,,
,,2009 - 2010,100,100,1,,,
,,2012 - 2013,100,100,1,,,
,,2014 - 2015,6,3,0.5,,,
,,2017 - 2018,1,1,1,,,
,4. Aravalli,2016 - 2017,7,3,0.43,,,
,,2018 - 2019,14,1,0.07,,,
,,2019 - 2020,1,0.46,0.46,,,
,5. Banas kantha,2000 - 2001,"11,800.00","1,700.00",0.14,,,
,,2001 - 2002,"12,800.00","6,000.00",0.47,,,
,,2002 - 2003,"15,100.00","2,700.00",0.18,,,
,,2003 - 2004,"11,900.00","7,500.00",0.63,,,
,,2004 - 2005,"13,200.00","4,900.00",0.37,,,
,,2005 - 2006,"14,900.00","7,900.00",0.53,,,
,,2006 - 2007,"13,200.00","2,400.00",0.18,,,
,,2007 - 2008,"12,500.00","9,100.00",0.73,,,
,,2008 - 2009,"5,900.00","1,000.00",0.17,,,
,,2009 - 2010,"6,200.00",900,0.15,,,
,,2010 - 2011,"5,100.00","3,200.00",0.63,,,
,,2011 - 2012,"6,000.00","3,700.00",0.62,,,
,,2012 - 2013,"1,100.00",400,0.36,,,
,,2013 - 2014,"2,277.00","1,756.00",0.77,,,
,,2014 - 2015,620,508,0.82,,,
,,2016 - 2017,50,23,0.46,,,
,,2017 - 2018,292,190,0.65,,,
,,2018 - 2019,163,13,0.08,,,
,,2019 - 2020,304,140,0.46,,,
,,2020 - 2021,93,48,0.52,,,
,6. Bharuch,2000 - 2001,400,,0,,,
,,2001 - 2002,400,100,0.25,,,
,,2002 - 2003,300,200,0.67,,,
,,2003 - 2004,600,400,0.67,,,
,,2004 - 2005,500,200,0.4,,,
,,2005 - 2006,"1,100.00",500,0.45,,,
,,2006 - 2007,500,100,0.2,,,
,,2007 - 2008,900,500,0.56,,,
,,2008 - 2009,700,100,0.14,,,
,,2009 - 2010,400,100,0.25,,,
,,2010 - 2011,500,300,0.6,,,
,,2011 - 2012,200,100,0.5,,,
,,2012 - 2013,"1,500.00",500,0.33,,,
,,2013 - 2014,785,380,0.48,,,
,,2014 - 2015,250,108,0.43,,,
,,2015 - 2016,650,310,0.48,,,
,,2016 - 2017,"1,000.00",469,0.47,,,
,,2017 - 2018,730,476,0.65,,,
,,2018 - 2019,325,27,0.08,,,
,,2020 - 2021,57,30,0.53,,,
,7. Bhavnagar,2000 - 2001,"2,000.00",200,0.1,,,
,,2001 - 2002,"1,400.00",500,0.36,,,
,,2002 - 2003,"1,800.00",900,0.5,,,
,,2003 - 2004,600,300,0.5,,,
,,2004 - 2005,500,200,0.4,,,
,,2005 - 2006,300,200,0.67,,,
,,2006 - 2007,400,100,0.25,,,
,,2007 - 2008,600,300,0.5,,,
,,2008 - 2009,"1,200.00",300,0.25,,,
,,2009 - 2010,800,300,0.38,,,
,,2010 - 2011,500,300,0.6,,,
,,2011 - 2012,"1,000.00",600,0.6,,,
,,2012 - 2013,400,100,0.25,,,
,,2013 - 2014,327,158,0.48,,,
,,2014 - 2015,996,430,0.43,,,
,,2015 - 2016,351,167,0.48,,,
,,2016 - 2017,"1,190.00",558,0.47,,,
,,2017 - 2018,"1,080.00",704,0.65,,,
,,2018 - 2019,889,73,0.08,,,
,,2019 - 2020,644,297,0.46,,,
,,2020 - 2021,269,140,0.52,,,
,,2021 - 2022,231,102,0.44,,,
,,2022 - 2023,138,69,0.5,,,
,8. Botad,2014 - 2015,426,184,0.43,,,
,,2015 - 2016,200,95,0.48,,,
,,2016 - 2017,700,328,0.47,,,
,,2018 - 2019,162,13,0.08,,,
,,2019 - 2020,79,36,0.46,,,
,,2020 - 2021,11,6,0.55,,,
,,2021 - 2022,3,1,0.33,,,
,,2022 - 2023,9,5,0.56,,,
,9. Devbhumi dwarka,2014 - 2015,5,2,0.4,,,
,,2016 - 2017,2,1,0.5,,,
,,2017 - 2018,115,75,0.65,,,
,,2018 - 2019,55,5,0.09,,,
,10. Gandhinagar,2003 - 2004,200,100,0.5,,,
,,2005 - 2006,100,,0,,,
,,2006 - 2007,200,100,0.5,,,
,,2007 - 2008,400,200,0.5,,,
,,2008 - 2009,200,100,0.5,,,
,,2009 - 2010,400,100,0.25,,,
,,2010 - 2011,500,300,0.6,,,
