State,District,Year,Onion,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Andhra Pradesh,1. Anantapur,2000 - 2001,"1,103.00","15,470.00",14.03,482,"11,514.00",23.89,,,,,,
,,2001 - 2002,"1,165.00","19,232.00",16.51,380,"8,465.00",22.28,,,,,,
,,2002 - 2003,776,"8,432.00",10.87,401,"7,192.00",17.94,,,,,,
,,2003 - 2004,846,"13,250.00",15.66,535,"11,180.00",20.9,,,,,,
,,2004 - 2005,"1,324.00","24,824.00",18.75,234,"4,830.00",20.64,,,,,,
,,2005 - 2006,985,"17,025.00",17.28,381,"9,063.00",23.79,,,,,,
,,2006 - 2007,869,"9,423.00",10.84,167,"4,075.00",24.4,,,,,,
,,2007 - 2008,"2,000.00","38,000.00",19,,,,,,,,,
,,2008 - 2009,"1,376.00","23,531.00",17.1,173,"4,129.00",23.87,,,,,,
,,2009 - 2010,"1,663.00","29,811.00",17.93,230,"5,665.00",24.63,,,,,,
,,2010 - 2011,"1,620.00","26,924.00",16.62,306,"8,233.00",26.91,,,,,,
,,2011 - 2012,"2,757.00","39,563.00",14.35,208,"4,259.00",20.48,,,,,,
,,2012 - 2013,"2,000.00","25,000.00",12.5,,,,,,,,,
,,2013 - 2014,"1,414.00","31,097.00",21.99,611,"14,317.00",23.43,,,,,,
,,2014 - 2015,"1,969.00","35,214.00",17.88,297,"6,767.00",22.78,,,,,,
,,2015 - 2016,"2,286.00","48,603.00",21.26,836,"14,144.00",16.92,,,,,,
,,2016 - 2017,"2,545.00","58,637.00",23.04,254,"6,853.00",26.98,,,,,,
,,2017 - 2018,"1,207.00","48,708.00",40.35,545,"64,992.00",119.25,,,,,,
,,2018 - 2019,"1,407.00","50,908.00",36.18,410,"53,064.00",129.42,,,,,,
,,2019 - 2020,"2,168.00","47,696.00",22,"1,684.00","35,287.00",20.95,,,,,,
,2. Chittoor,2000 - 2001,286,"3,991.00",13.95,230,"5,494.00",23.89,,,,,,
,,2001 - 2002,248,"3,441.00",13.88,304,"6,772.00",22.28,,,,,,
,,2002 - 2003,205,"2,451.00",11.96,266,"4,753.00",17.87,,,,,,
