State,District,Year,Peas & beans (Pulses),,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Arunachal Pradesh,1. Anjaw,2016 - 2017,29,13,0.45,75,105,1.4,,,,,,
,,2017 - 2018,22,15,0.68,66,106,1.61,,,,,,
,,2018 - 2019,22,15,0.68,66,106,1.61,,,,,,
,,2019 - 2020,22,15,0.68,67,107,1.6,,,,,,
,,2020 - 2021,22,15,0.68,67,109,1.63,,,,,,
,,2021 - 2022,22,15,0.68,67,110,1.64,,,,,,
,,2022 - 2023,22,15,0.68,67,110,1.64,,,,,,
,2. Changlang,2016 - 2017,27,24,0.89,204,268,1.31,,,,,,
,,2017 - 2018,30,27,0.9,209,272,1.3,,,,,,
,,2018 - 2019,30,27,0.9,209,672,3.22,,,,,,
,,2019 - 2020,30,27,0.9,210,279,1.33,,,,,,
,,2020 - 2021,30,27,0.9,210,281,1.34,,,,,,
,,2021 - 2022,32,29,0.91,211,283,1.34,,,,,,
,,2022 - 2023,32,29,0.91,211,283,1.34,,,,,,
,3. Dibang valley,2016 - 2017,28,28,1,173,136,0.79,,,,,,
,,2017 - 2018,24,28,1.17,166,133,0.8,,,,,,
,,2018 - 2019,24,28,1.17,166,133,0.8,,,,,,
,,2019 - 2020,23,28,1.22,167,133,0.8,,,,,,
,,2020 - 2021,23,28,1.22,167,133,0.8,,,,,,
,,2021 - 2022,23,28,1.22,168,134,0.8,,,,,,
,,2022 - 2023,23,28,1.22,168,134,0.8,,,,,,
,4. East kameng,2016 - 2017,36,39,1.08,291,336,1.15,,,,,,
,,2017 - 2018,44,49,1.11,307,356,1.16,,,,,,
,,2018 - 2019,44,49,1.11,307,356,1.16,,,,,,
,,2019 - 2020,32,34,1.06,215,255,1.19,,,,,,
,,2020 - 2021,32,34,1.06,215,257,1.2,,,,,,
,,2021 - 2022,33,35,1.06,216,258,1.19,,,,,,
,,2022 - 2023,38,41,1.08,216,288,1.33,,,,,,
,5. East siang,2016 - 2017,41,45,1.1,395,463,1.17,,,,,,
,,2017 - 2018,46,47,1.02,401,464,1.16,,,,,,
,,2018 - 2019,40,37,0.93,206,277,1.34,,,,,,
