State,District,Year,Rapeseed &Mustard,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Andaman and Nicobar Islands,1. North and middle andaman,2011 - 2012,20,5.2,0.26,,,,,,,,,
,,2012 - 2013,18.3,5,0.27,,,,,,,,,
,,2013 - 2014,9.2,6.5,0.71,,,,,,,,,
,,2014 - 2015,8.3,4.4,0.53,,,,,,,,,
,,2015 - 2016,4.5,0.7,0.16,,,,,,,,,
,,2016 - 2017,3.5,0.4,0.11,,,,,,,,,
,,2017 - 2018,0.11,0.26,2.36,,,,,,,,,
,,2018 - 2019,0.3,1.2,4,,,,,,,,,
,,2020 - 2021,0.5,0.1,0.2,,,,,,,,,
,,2021 - 2022,0.55,0.13,0.24,,,,,,,,,
,,2022 - 2023,0.5,0.46,0.92,,,,,,,,,
,2. South andamans,2011 - 2012,1.3,0.3,0.23,,,,,,,,,
,,2014 - 2015,0.2,0.3,1.5,,,,,,,,,
,,2015 - 2016,0.8,0.7,0.88,,,,,,,,,
,,2016 - 2017,1,0.76,0.76,,,,,,,,,
2. Andhra Pradesh,1. Anantapur,2009 - 2010,8,,0,,,,,,,,,
,,2021 - 2022,1,1,1,,,,,,,,,
,,2022 - 2023,,,,1,1,1,,,,,,
,2. Bapatla,2022 - 2023,4,3,0.75,,,,,,,,,
,3. Chittoor,2000 - 2001,2,1,0.5,,,,,,,,,
,,2010 - 2011,16,39,2.44,,,,,,,,,
,,2020 - 2021,,,,2,1,0.5,,,,,,
,4. Eluru,2022 - 2023,3,1,0.33,,,,,,,,,
,5. Guntur,2000 - 2001,"1,331.00",98,0.07,,,,,,,,,
,,2001 - 2002,"1,242.00",324,0.26,,,,,,,,,
,,2002 - 2003,"1,279.00",118,0.09,,,,,,,,,
,,2003 - 2004,"1,135.00",280,0.25,,,,,,,,,
,,2004 - 2005,"1,356.00",92,0.07,,,,,,,,,
,,2005 - 2006,"1,083.00",73,0.07,,,,,,,,,
,,2006 - 2007,743,46,0.06,,,,,,,,,
,,2008 - 2009,707,16,0.02,,,,,,,,,
,,2009 - 2010,595,15,0.03,,,,,,,,,
,,2010 - 2011,761,"1,845.00",2.42,,,,,,,,,
,,2011 - 2012,666,"1,572.00",2.36,,,,,,,,,
,,2012 - 2013,486,231,0.48,,,,,,,,,
,,2013 - 2014,207,138,0.67,,,,,,,,,
,,2014 - 2015,330,8,0.02,,,,,,,,,
,,2015 - 2016,33,1,0.03,,,,,,,,,
,,2016 - 2017,103,42,0.41,,,,,,,,,
,,2017 - 2018,91,42,0.46,,,,,,,,,
,,2018 - 2019,98,5,0.05,,,,,,,,,
,,2019 - 2020,64,2,0.03,,,,,,,,,
,,2020 - 2021,52,2,0.04,,,,,,,,,
,6. Kadapa,2009 - 2010,2,1,0.5,,,,,,,,,
,,2012 - 2013,10,5,0.5,,,,,,,,,
,,2016 - 2017,,,,6,3,0.5,,,,,,
,,2021 - 2022,1,1,1,,,,,,,,,
,,2022 - 2023,1,1,1,,,,,,,,,
,7. Krishna,2000 - 2001,263,19,0.07,,,,,,,,,
,,2001 - 2002,89,23,0.26,,,,,,,,,
,,2002 - 2003,965,89,0.09,,,,,,,,,
,,2003 - 2004,347,86,0.25,,,,,,,,,
,,2004 - 2005,624,42,0.07,,,,,,,,,
,,2005 - 2006,71,5,0.07,,,,,,,,,
,,2006 - 2007,2,,0,,,,,,,,,
,,2008 - 2009,2,,0,,,,,,,,,
,,2010 - 2011,487,"1,180.00",2.42,,,,,,,,,
,,2011 - 2012,"2,699.00","6,602.00",2.45,,,,,,,,,
,,2012 - 2013,"1,378.00",313,0.23,,,,,,,,,
,,2013 - 2014,622,200,0.32,,,,,,,,,
,,2014 - 2015,890,281,0.32,,,,,,,,,
,,2015 - 2016,533,172,0.32,,,,,,,,,
,,2016 - 2017,783,294,0.38,,,,,,,,,
,,2017 - 2018,657,146,0.22,,,,,,,,,
,,2018 - 2019,263,68,0.26,,,,,,,,,
,,2019 - 2020,178,67,0.38,,,,,,,,,
,,2020 - 2021,17,4,0.24,,,,,,,,,
,,2021 - 2022,55,10,0.18,,,,,,,,,
,,2022 - 2023,10,7,0.7,,,,,,,,,
,8. Kurnool,2000 - 2001,"2,610.00",903,0.35,,,,,,,,,
,,2001 - 2002,"1,071.00",427,0.4,,,,,,,,,
,,2002 - 2003,"1,085.00",525,0.48,,,,,,,,,
,,2003 - 2004,145,48,0.33,,,,,,,,,
,,2004 - 2005,"1,557.00",750,0.48,,,,,,,,,
,,2005 - 2006,"4,488.00","2,482.00",0.55,,,,,,,,,
,,2006 - 2007,"4,622.00","2,727.00",0.59,,,,,,,,,
,,2008 - 2009,"4,591.00","3,012.00",0.66,,,,,,,,,
,,2009 - 2010,"2,661.00","1,974.00",0.74,,,,,,,,,
,,2010 - 2011,"4,909.00","12,582.00",2.56,,,,,,,,,
,,2011 - 2012,"3,040.00","7,478.00",2.46,,,,,,,,,
,,2012 - 2013,"1,648.00",981,0.6,,,,,,,,,
,,2013 - 2014,"2,466.00","1,783.00",0.72,,,,,,,,,
,,2014 - 2015,"4,477.00","2,906.00",0.65,,,,,,,,,
,,2015 - 2016,773,544,0.7,10,7,0.7,,,,,,
,,2016 - 2017,"4,040.00","1,709.00",0.42,,,,,,,,,
,,2017 - 2018,"2,223.00","1,172.00",0.53,,,,,,,,,
,,2018 - 2019,"4,115.00","1,469.00",0.36,,,,,,,,,
,,2019 - 2020,"1,616.00",832,0.51,,,,,,,,,
,,2020 - 2021,644,451,0.7,,,,,,,,,
,,2021 - 2022,"2,670.00","1,746.00",0.65,1,1,1,,,,,,
,9. Nandyal,2022 - 2023,"1,782.00","1,324.00",0.74,,,,,,,,,
,10. Prakasam,2000 - 2001,3,,0,,,,,,,,,
,,2001 - 2002,11,3,0.27,,,,,,,,,
,,2002 - 2003,22,2,0.09,,,,,,,,,
,,2003 - 2004,3,1,0.33,,,,,,,,,
,,2004 - 2005,10,1,0.1,,,,,,,,,
,,2006 - 2007,7,,0,,,,,,,,,
,,2009 - 2010,2,,0,,,,,,,,,
,,2010 - 2011,155,376,2.43,,,,,,,,,
,,2011 - 2012,5,12,2.4,,,,,,,,,
,,2014 - 2015,10,6,0.6,,,,,,,,,
,,2015 - 2016,87,47,0.54,,,,,,,,,
,,2016 - 2017,40,2,0.05,,,,,,,,,
,,2017 - 2018,5,2,0.4,,,,,,,,,
,,2018 - 2019,9,3,0.33,,,,,,,,,
,,2019 - 2020,5,2,0.4,,,,,,,,,
,,2020 - 2021,3,2,0.67,,,,,,,,,
,,2021 - 2022,5,3,0.6,2,1,0.5,,,,,,
,,2022 - 2023,1,1,1,,,,,,,,,
,11. Spsr nellore,2014 - 2015,4,2,0.5,,,,,,,,,
