State,District,Year,Rice,,,,,,,,,,,,,,,,,
,,,Kharif,,,Autumn,,,Rabi,,,Summer,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Andaman and Nicobar Islands,1. Nicobars,2000 - 2001,102,321,3.15,,,,,,,,,,,,,,,
,,2001 - 2002,83,300,3.61,,,,,,,,,,,,,,,
,,2002 - 2003,189.2,510.84,2.7,,,,,,,,,,,,,,,
,,2003 - 2004,52,90.17,1.73,,,,,,,,,,,,,,,
,,2004 - 2005,52.94,72.57,1.37,,,,,,,,,,,,,,,
,,2005 - 2006,2.09,12.06,5.77,,,,,,,,,,,,,,,
,,2010 - 2011,,,,3.5,10,2.86,,,,,,,,,,,,
,,2011 - 2012,,,,1.5,2.5,1.67,,,,,,,,,,,,
,,2012 - 2013,,,,0.35,0.4,1.14,,,,,,,,,,,,
,,2013 - 2014,,,,2.65,6.3,2.38,,,,,,,,,,,,
,,2014 - 2015,,,,4.6,10.8,2.35,,,,,,,,,,,,
,,2015 - 2016,,,,5,11.2,2.24,,,,,,,,,,,,
,,2016 - 2017,,,,6.67,9.54,1.43,,,,,,,,,,,,
,,2017 - 2018,,,,1,0.53,0.53,,,,,,,,,,,,
,,2018 - 2019,,,,4.1,6.01,1.47,,,,,,,,,,,,
,,2019 - 2020,,,,3.1,4.3,1.39,,,,,,,,,,,,
,,2022 - 2023,,,,1,1.26,1.26,,,,,,,,,,,,
,2. North and middle andaman,2000 - 2001,"10,779.00","31,863.00",2.96,,,,,,,,,,,,,,,
,,2001 - 2002,"9,718.00","27,033.00",2.78,,,,,,,,,,,,,,,
,,2006 - 2007,"6,854.30","18,995.62",2.77,,,,,,,,,,,,,,,
,,2010 - 2011,,,,"6,791.00","20,118.00",2.96,,,,,,,,,,,,
,,2011 - 2012,,,,"7,314.05","14,168.20",1.94,,,,,,,,,,,,
,,2012 - 2013,,,,"7,529.65","13,942.70",1.85,,,,,,,,,,,,
,,2013 - 2014,,,,"7,685.25","15,447.20",2.01,,,,,,,,,,,,
