State,District,Year,Sesamum,,,,,,,,,,,,,,,,,
,,,Summer,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Andaman and Nicobar Islands,1. North and middle andaman,2011 - 2012,43.5,21.6,0.5,,,,,,,,,,,,,,,
,,2012 - 2013,60.5,19.9,0.33,,,,,,,,,,,,,,,
,,2013 - 2014,29.5,6.3,0.21,,,,,,,,,,,,,,,
,,2014 - 2015,23,7.3,0.32,,,,,,,,,,,,,,,
,,2015 - 2016,35,6.7,0.19,,,,,,,,,,,,,,,
,,2016 - 2017,,,,4,1.05,0.26,,,,,,,,,,,,
,,2017 - 2018,,,,0.23,0.27,1.17,,,,,,,,,,,,
,,2018 - 2019,,,,1.2,0.3,0.25,,,,,,,,,,,,
,,2019 - 2020,,,,0.5,0.3,0.6,,,,,,,,,,,,
,,2020 - 2021,,,,1.5,0.9,0.6,,,,,,,,,,,,
,,2021 - 2022,,,,1.65,1,0.61,,,,,,,,,,,,
,,2022 - 2023,,,,1,0.45,0.45,,,,,,,,,,,,
,2. South andamans,2011 - 2012,6.5,3.4,0.52,,,,,,,,,,,,,,,
2. Andhra Pradesh,1. Alluri sitharama raju,2022 - 2023,,,,367,101,0.28,18,3,0.17,,,,,,,,,
,2. Anakapalli,2022 - 2023,,,,"2,179.00",649,0.3,474,30,0.06,,,,,,,,,
,3. Anantapur,2000 - 2001,,,,,,,5,1,0.2,,,,,,,,,
,,2001 - 2002,,,,2,1,0.5,,,,,,,,,,,,
,,2017 - 2018,,,,,,,9,2,0.22,,,,,,,,,
,,2018 - 2019,,,,10,6,0.6,1,,0,,,,,,,,,
,,2019 - 2020,,,,9,5,0.56,,,,,,,,,,,,
,,2020 - 2021,,,,14,6,0.43,4,1,0.25,,,,,,,,,
,,2021 - 2022,,,,11,4,0.36,1,0.17,0.17,,,,,,,,,
,,2022 - 2023,,,,48,19,0.4,22,8,0.36,,,,,,,,,
,4. Annamayya,2022 - 2023,,,,264,163,0.62,1,0.35,0.35,,,,,,,,,
,5. Bapatla,2022 - 2023,,,,248,74,0.3,472,24,0.05,,,,,,,,,
