State,District,Year,Small millets,,,,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Andhra Pradesh,1. Alluri sitharama raju,2022 - 2023,"2,181.00","1,093.00",0.5,,,,,,,,,,,,
,2. Anantapur,2000 - 2001,"1,647.00","1,148.00",0.7,96,67,0.7,,,,,,,,,
,,2001 - 2002,"1,434.00",627,0.44,,,,,,,,,,,,
,,2002 - 2003,919,180,0.2,10,2,0.2,,,,,,,,,
,,2003 - 2004,"1,420.00",299,0.21,70,13,0.19,,,,,,,,,
,,2004 - 2005,661,307,0.46,36,17,0.47,,,,,,,,,
,,2005 - 2006,854,455,0.53,,,,,,,,,,,,
,,2006 - 2007,450,48,0.11,,,,,,,,,,,,
,,2008 - 2009,112,88,0.79,,,,,,,,,,,,
,,2009 - 2010,"1,045.00",63,0.06,,,,,,,,,,,,
,,2010 - 2011,371,345,0.93,,,,,,,,,,,,
,,2011 - 2012,"1,092.00",714,0.65,10,7,0.7,,,,,,,,,
,,2012 - 2013,"1,000.00","2,000.00",2,,,,,,,,,,,,
,,2013 - 2014,935,856,0.92,11,10,0.91,,,,,,,,,
,,2014 - 2015,691,606,0.88,47,41,0.87,,,,,,,,,
,,2015 - 2016,"10,327.00","7,312.00",0.71,53,38,0.72,,,,,,,,,
,,2016 - 2017,"2,791.00","1,764.00",0.63,18,12,0.67,,,,,,,,,
,,2017 - 2018,"3,126.00","3,756.00",1.2,3,4,1.33,,,,,,,,,
,,2018 - 2019,640,140,0.22,41,6,0.15,,,,,,,,,
,,2019 - 2020,"3,064.00","1,380.00",0.45,55,20,0.36,,,,,,,,,
,,2020 - 2021,"1,853.00","1,035.00",0.56,255,181,0.71,,,,,,,,,
,,2021 - 2022,"2,822.00",507,0.18,717,599,0.84,,,,,,,,,
,,2022 - 2023,"2,328.00","1,180.00",0.51,540,839,1.55,,,,,,,,,
,3. Annamayya,2022 - 2023,17,9,0.53,1,2,2,,,,,,,,,
,4. Bapatla,2022 - 2023,,,,4,7,1.75,,,,,,,,,
,5. Chittoor,2000 - 2001,"2,361.00",596,0.25,,,,,,,,,,,,
,,2001 - 2002,"1,989.00",532,0.27,,,,,,,,,,,,
,,2002 - 2003,"1,687.00",364,0.22,,,,,,,,,,,,
,,2003 - 2004,"2,074.00",710,0.34,,,,,,,,,,,,
,,2004 - 2005,"1,922.00",652,0.34,,,,,,,,,,,,
,,2005 - 2006,"1,834.00",588,0.32,,,,,,,,,,,,
,,2006 - 2007,"1,189.00",292,0.25,,,,,,,,,,,,
,,2007 - 2008,"1,000.00",,0,,,,,,,,,,,,
,,2008 - 2009,848,241,0.28,,,,,,,,,,,,
,,2009 - 2010,908,289,0.32,,,,,,,,,,,,
,,2010 - 2011,572,165,0.29,,,,,,,,,,,,
,,2011 - 2012,379,128,0.34,,,,,,,,,,,,
,,2013 - 2014,427,131,0.31,,,,,,,,,,,,
,,2014 - 2015,245,97,0.4,,,,,,,,,,,,
,,2015 - 2016,285,120,0.42,,,,,,,,,,,,
,,2016 - 2017,154,59,0.38,,,,,,,,,,,,
,,2017 - 2018,311,165,0.53,,,,,,,,,,,,
,,2018 - 2019,120,60,0.5,3,1,0.33,,,,,,,,,
,,2019 - 2020,639,480,0.75,5,6,1.2,,,,,,,,,
,,2020 - 2021,354,185,0.52,12,9,0.75,,,,,,,,,
,,2021 - 2022,195,86,0.44,1,1,1,,,,,,,,,
,,2022 - 2023,228,99,0.43,,,,,,,,,,,,
,6. East godavari,2000 - 2001,"2,367.00","1,264.00",0.53,,,,,,,,,,,,
,,2001 - 2002,"2,094.00","1,008.00",0.48,17,9,0.53,,,,,,,,,
,,2002 - 2003,"1,127.00",429,0.38,,,,,,,,,,,,
,,2003 - 2004,"1,504.00",877,0.58,,,,,,,,,,,,
,,2004 - 2005,"1,190.00",529,0.44,,,,,,,,,,,,
,,2005 - 2006,"1,194.00",654,0.55,,,,,,,,,,,,
,,2006 - 2007,"1,224.00",639,0.52,,,,,,,,,,,,
,,2007 - 2008,"1,000.00","1,000.00",1,,,,,,,,,,,,
,,2008 - 2009,856,338,0.39,,,,,,,,,,,,
,,2009 - 2010,221,105,0.48,,,,,,,,,,,,
,,2010 - 2011,83,82,0.99,,,,,,,,,,,,
,,2011 - 2012,255,157,0.62,,,,,,,,,,,,
,,2013 - 2014,305,155,0.51,,,,,,,,,,,,
,,2014 - 2015,469,260,0.55,,,,,,,,,,,,
,,2015 - 2016,251,101,0.4,,,,,,,,,,,,
,,2016 - 2017,257,105,0.41,,,,,,,,,,,,
,,2017 - 2018,313,176,0.56,,,,,,,,,,,,
,,2018 - 2019,214,87,0.41,,,,,,,,,,,,
,,2019 - 2020,137,49,0.36,,,,,,,,,,,,
,,2020 - 2021,311,159,0.51,,,,,,,,,,,,
,,2021 - 2022,379,252,0.66,,,,,,,,,,,,
,7. Guntur,2000 - 2001,,,,89,67,0.75,,,,,,,,,
,,2001 - 2002,,,,15,12,0.8,,,,,,,,,
,,2002 - 2003,,,,182,66,0.36,,,,,,,,,
,,2003 - 2004,,,,46,25,0.54,,,,,,,,,
,,2004 - 2005,,,,5,3,0.6,,,,,,,,,
,,2009 - 2010,,,,84,79,0.94,,,,,,,,,
,,2013 - 2014,4,5,1.25,,,,,,,,,,,,
,,2015 - 2016,16,14,0.88,,,,,,,,,,,,
,,2017 - 2018,,,,116,37,0.32,,,,,,,,,
,,2018 - 2019,,,,124,107,0.86,,,,,,,,,
,,2019 - 2020,66,54,0.82,95,73,0.77,,,,,,,,,
,,2020 - 2021,72,86,1.19,"1,002.00","1,545.00",1.54,,,,,,,,,
,,2021 - 2022,2,2,1,462,743,1.61,,,,,,,,,
