State,District,Year,Soyabean,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Andhra Pradesh,1. Anantapur,2002 - 2003,51,0,0,,,,,,,,,
,,2003 - 2004,16,18,1.13,,,,,,,,,
,,2004 - 2005,"1,131.00",691,0.61,,,,,,,,,
,,2005 - 2006,421,232,0.55,,,,,,,,,
,,2008 - 2009,182,248,1.36,,,,,,,,,
,,2009 - 2010,24,20,0.83,,,,,,,,,
,,2010 - 2011,"1,682.00","2,866.00",1.7,,,,,,,,,
,,2011 - 2012,"1,656.00","2,676.00",1.62,,,,,,,,,
,,2012 - 2013,919,"1,671.00",1.82,,,,,,,,,
,,2013 - 2014,"2,401.00","3,866.00",1.61,,,,,,,,,
,,2014 - 2015,44,50,1.14,,,,,,,,,
,,2015 - 2016,150,161,1.07,,,,,,,,,
,,2016 - 2017,654,235,0.36,,,,,,,,,
,,2017 - 2018,27,27,1,,,,,,,,,
,,2018 - 2019,51,56,1.1,,,,,,,,,
,,2019 - 2020,14,7,0.5,1,1,1,,,,,,
,,2020 - 2021,80,52,0.65,,,,,,,,,
,,2021 - 2022,319,88,0.28,18,5,0.28,,,,,,
,,2022 - 2023,"2,006.00","3,687.00",1.84,145,267,1.84,,,,,,
,2. Annamayya,2022 - 2023,3,6,2,1,2,2,,,,,,
,3. Bapatla,2022 - 2023,223,410,1.84,108,199,1.84,,,,,,
,4. Chittoor,2012 - 2013,11,20,1.82,,,,,,,,,
,,2013 - 2014,11,18,1.64,,,,,,,,,
,5. East godavari,2005 - 2006,156,86,0.55,,,,,,,,,
,,2006 - 2007,174,177,1.02,,,,,,,,,
,,2008 - 2009,155,212,1.37,,,,,,,,,
,,2009 - 2010,28,23,0.82,,,,,,,,,
,,2011 - 2012,50,81,1.62,,,,,,,,,
,,2014 - 2015,11,25,2.27,,,,,,,,,
,6. Guntur,2002 - 2003,"2,376.00",0,0,,,,,,,,,
,,2003 - 2004,"1,631.00","1,796.00",1.1,,,,,,,,,
,,2004 - 2005,"1,066.00",651,0.61,,,,,,,,,
,,2005 - 2006,"1,533.00",845,0.55,,,,,,,,,
