State,District,Year,Sugarcane,,,,,,,,,,,,,,,,,
,,,Whole Year,,,Autumn,,,Kharif,,,Winter,,,Rabi,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Andaman and Nicobar Islands,1. Nicobars,2000 - 2001,1,2,2,,,,,,,,,,,,,,,
,,2001 - 2002,1,1,1,,,,,,,,,,,,,,,
,,2002 - 2003,5,40,8,,,,,,,,,,,,,,,
,,2006 - 2007,0.2,0.5,2.5,,,,,,,,,,,,,,,
,,2010 - 2011,,,,13.4,41.75,3.12,,,,,,,,,,,,
,,2011 - 2012,,,,4.5,10.5,2.33,,,,,,,,,,,,
,,2012 - 2013,,,,6.6,3.7,0.56,,,,,,,,,,,,
,,2013 - 2014,,,,11,373.4,33.95,,,,,,,,,,,,
,,2014 - 2015,,,,22.2,254,11.44,,,,,,,,,,,,
,,2015 - 2016,,,,6,12,2,,,,,,,,,,,,
,,2016 - 2017,,,,18.43,27,1.47,,,,,,,,,,,,
,,2017 - 2018,,,,17,13.2,0.78,,,,,,,,,,,,
,,2018 - 2019,,,,3,10,3.33,,,,,,,,,,,,
,,2019 - 2020,,,,3.7,15,4.05,,,,,,,,,,,,
,,2020 - 2021,,,,3.3,13.5,4.09,,,,,,,,,,,,
,,2021 - 2022,,,,5.5,30.1,5.47,,,,,,,,,,,,
,2. North and middle andaman,2000 - 2001,141,"3,736.00",26.5,,,,,,,,,,,,,,,
,,2001 - 2002,81,"2,379.00",29.37,,,,,,,,,,,,,,,
,,2006 - 2007,71.3,"1,500.00",21.04,,,,,,,,,,,,,,,
,,2010 - 2011,,,,73.33,889.2,12.13,,,,,,,,,,,,
,,2011 - 2012,,,,105,"1,892.00",18.02,,,,,,,,,,,,
,,2012 - 2013,,,,205.4,"4,627.70",22.53,,,,,,,,,,,,
,,2013 - 2014,,,,201,"4,704.60",23.41,,,,,,,,,,,,
,,2014 - 2015,,,,108,"1,543.00",14.29,,,,,,,,,,,,
,,2015 - 2016,,,,48.5,830,17.11,,,,,,,,,,,,
,,2016 - 2017,,,,44.7,495.64,11.09,,,,,,,,,,,,
,,2017 - 2018,,,,54.05,153.73,2.84,,,,,,,,,,,,
,,2018 - 2019,,,,94.83,385.43,4.06,,,,,,,,,,,,
,,2019 - 2020,,,,61.31,440.82,7.19,,,,,,,,,,,,
,,2020 - 2021,,,,88.8,393.93,4.44,,,,,,,,,,,,
,,2021 - 2022,,,,47.1,205.26,4.36,,,,,,,,,,,,
,,2022 - 2023,,,,33,238,7.21,,,,,,,,,,,,
,3. South andamans,2002 - 2003,455,"13,760.00",30.24,,,,,,,,,,,,,,,
,,2003 - 2004,268,"2,879.52",10.74,,,,,,,,,,,,,,,
,,2004 - 2005,145.26,"1,560.00",10.74,,,,,,,,,,,,,,,
,,2005 - 2006,128.02,"2,448.20",19.12,,,,,,,,,,,,,,,
,,2006 - 2007,53.5,999.5,18.68,,,,,,,,,,,,,,,
,,2010 - 2011,,,,67.5,402,5.96,,,,,,,,,,,,
,,2011 - 2012,,,,61.8,562,9.09,,,,,,,,,,,,
,,2012 - 2013,,,,62.5,"1,252.00",20.03,,,,,,,,,,,,
,,2013 - 2014,,,,57.5,"2,058.00",35.79,,,,,,,,,,,,
,,2014 - 2015,,,,59.8,"2,158.00",36.09,,,,,,,,,,,,
,,2015 - 2016,,,,54.8,"1,508.00",27.52,,,,,,,,,,,,
,,2016 - 2017,,,,58.2,"1,021.00",17.54,,,,,,,,,,,,
,,2017 - 2018,,,,39.47,221.77,5.62,,,,,,,,,,,,
,,2018 - 2019,,,,18.55,261.25,14.08,,,,,,,,,,,,
,,2019 - 2020,,,,23.45,373.82,15.94,,,,,,,,,,,,
,,2020 - 2021,,,,52.84,"2,497.37",47.26,,,,,,,,,,,,
,,2021 - 2022,,,,92.65,"2,751.00",29.69,,,,,,,,,,,,
,,2022 - 2023,,,,92.75,"2,748.78",29.64,,,,,,,,,,,,
2. Andhra Pradesh,1. Alluri sitharama raju,2022 - 2023,,,,,,,47,"3,338.00",71.02,,,,,,,,,
,2. Anakapalli,2022 - 2023,,,,,,,"15,913.00","9,36,029.00",58.82,,,,,,,,,
,3. Anantapur,2000 - 2001,284,"25,395.00",89.42,,,,,,,,,,,,,,,
,,2001 - 2002,490,"42,470.00",86.67,,,,,,,,,,,,,,,
,,2002 - 2003,329,"22,481.00",68.33,,,,,,,,,,,,,,,
,,2003 - 2004,454,"32,386.00",71.33,,,,,,,,,,,,,,,
,,2004 - 2005,400,"34,072.00",85.18,,,,,,,,,,,,,,,
,,2005 - 2006,227,"20,612.00",90.8,,,,,,,,,,,,,,,
,,2006 - 2007,339,"30,937.00",91.26,,,,,,,,,,,,,,,
,,2008 - 2009,131,"12,305.00",93.93,,,,,,,,,,,,,,,
,,2009 - 2010,112,"9,968.00",89,,,,,,,,,,,,,,,
,,2010 - 2011,235,"20,981.00",89.28,,,,,,,,,,,,,,,
,,2011 - 2012,410,"39,186.00",95.58,,,,,,,,,,,,,,,
,,2013 - 2014,281,"26,505.00",94.32,,,,,,,,,,,,,,,
,,2014 - 2015,30,"2,456.00",81.87,,,,,,,,,,,,,,,
,,2015 - 2016,77,"6,359.00",82.58,,,,,,,,,,,,,,,
,,2016 - 2017,95,"9,500.00",100,,,,,,,,,,,,,,,
,,2017 - 2018,86,"8,981.00",104.43,,,,,,,,,,,,,,,
,,2018 - 2019,,,,,,,173,"16,435.00",95,,,,,,,,,
,,2019 - 2020,,,,,,,172,"17,151.00",99.72,,,,,,,,,
,,2020 - 2021,,,,,,,62,"6,074.00",97.97,,,,,,,,,
,,2021 - 2022,,,,,,,26,"2,238.00",86.08,,,,,,,,,
,,2022 - 2023,,,,,,,32,"3,178.00",99.31,,,,,,,,,
,4. Annamayya,2022 - 2023,,,,,,,115,"11,368.00",98.85,,,,,,,,,
,5. Bapatla,2022 - 2023,,,,,,,119,"9,401.00",79,,,,,,,,,
,6. Chittoor,2000 - 2001,"40,539.00","36,97,441.00",91.21,,,,,,,,,,,,,,,
,,2001 - 2002,"38,789.00","33,37,250.00",86.04,,,,,,,,,,,,,,,
,,2002 - 2003,"39,436.00","26,84,685.00",68.08,,,,,,,,,,,,,,,
,,2003 - 2004,"26,845.00","18,81,888.00",70.1,,,,,,,,,,,,,,,
,,2004 - 2005,"21,928.00","18,65,393.00",85.07,,,,,,,,,,,,,,,
,,2005 - 2006,"22,453.00","19,72,429.00",87.85,,,,,,,,,,,,,,,
,,2006 - 2007,"37,965.00","34,96,956.00",92.11,,,,,,,,,,,,,,,
,,2007 - 2008,"30,000.00","28,19,000.00",93.97,,,,,,,,,,,,,,,
,,2008 - 2009,"26,916.00","22,63,880.00",84.11,,,,,,,,,,,,,,,
,,2009 - 2010,"27,193.00","22,61,081.00",83.15,,,,,,,,,,,,,,,
,,2010 - 2011,"27,719.00","23,11,342.00",83.38,,,,,,,,,,,,,,,
,,2011 - 2012,"28,405.00","25,77,106.00",90.73,,,,,,,,,,,,,,,
,,2012 - 2013,"28,000.00","24,92,000.00",89,,,,,,,,,,,,,,,
,,2013 - 2014,"28,152.00","25,62,925.00",91.04,,,,,,,,,,,,,,,
,,2014 - 2015,"26,147.00","20,66,986.00",79.05,,,,,,,,,,,,,,,
,,2015 - 2016,"20,831.00","16,82,300.00",80.76,,,,,,,,,,,,,,,
,,2016 - 2017,"18,214.00","15,99,699.00",87.83,,,,,,,,,,,,,,,
,,2017 - 2018,"18,177.00","17,37,420.00",95.58,,,,,,,,,,,,,,,
,,2018 - 2019,,,,,,,"17,169.00","14,96,011.00",87.13,,,,,,,,,
,,2019 - 2020,,,,,,,"14,615.00","13,61,660.00",93.17,,,,,,,,,
,,2020 - 2021,,,,,,,"11,464.00","10,44,989.00",91.15,,,,,,,,,
,,2021 - 2022,,,,,,,"10,547.00","10,19,661.00",96.68,,,,,,,,,
,,2022 - 2023,,,,,,,"7,822.00","7,34,222.00",93.87,,,,,,,,,
,7. East godavari,2000 - 2001,"14,772.00","13,13,615.00",88.93,,,,,,,,,,,,,,,
