State,District,Year,Wheat,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Andhra Pradesh,1. Anantapur,2000 - 2001,520,297,0.57,,,,,,,,,,,,
,,2001 - 2002,307,213,0.69,,,,,,,,,,,,
,,2002 - 2003,362,333,0.92,,,,,,,,,,,,
,,2003 - 2004,414,123,0.3,,,,,,,,,,,,
,,2004 - 2005,393,88,0.22,,,,,,,,,,,,
,,2005 - 2006,297,175,0.59,,,,,,,,,,,,
,,2006 - 2007,190,50,0.26,,,,,,,,,,,,
,,2008 - 2009,164,217,1.32,,,,,,,,,,,,
,,2009 - 2010,179,97,0.54,,,,,,,,,,,,
,,2010 - 2011,131,171,1.31,,,,,,,,,,,,
,,2011 - 2012,75,100,1.33,,,,,,,,,,,,
,,2013 - 2014,62,39,0.63,,,,,,,,,,,,
,,2015 - 2016,19,12,0.63,,,,,,,,,,,,
,,2017 - 2018,8,6,0.75,,,,,,,,,,,,
,,2019 - 2020,10,3,0.3,,,,,,,,,,,,
,,2020 - 2021,21,32,1.52,,,,,,,,,,,,
,,2021 - 2022,14,13,0.93,,,,,,,,,,,,
,,2022 - 2023,10,10,1,,,,,,,,,,,,
,2. Chittoor,2000 - 2001,5,3,0.6,,,,,,,,,,,,
,,2001 - 2002,4,,0,,,,,,,,,,,,
,,2002 - 2003,5,7,1.4,,,,,,,,,,,,
,,2003 - 2004,7,2,0.29,,,,,,,,,,,,
,,2004 - 2005,2,,0,,,,,,,,,,,,
,,2006 - 2007,4,1,0.25,,,,,,,,,,,,
,3. Guntur,2010 - 2011,43,56,1.3,,,,,,,,,,,,
,,2019 - 2020,1,,0,,,,,,,,,,,,
,,2020 - 2021,3,5,1.67,,,,,,,,,,,,
,,2021 - 2022,2,2,1,,,,,,,,,,,,
,4. Kadapa,2000 - 2001,117,67,0.57,,,,,,,,,,,,
,,2001 - 2002,39,27,0.69,,,,,,,,,,,,
,,2002 - 2003,30,28,0.93,,,,,,,,,,,,
,,2003 - 2004,39,12,0.31,,,,,,,,,,,,
,,2004 - 2005,1,,0,,,,,,,,,,,,
,,2005 - 2006,81,48,0.59,,,,,,,,,,,,
,,2006 - 2007,32,8,0.25,,,,,,,,,,,,
,,2008 - 2009,122,83,0.68,,,,,,,,,,,,
,,2009 - 2010,61,79,1.3,,,,,,,,,,,,
,,2010 - 2011,20,26,1.3,,,,,,,,,,,,
,,2011 - 2012,17,22,1.29,,,,,,,,,,,,
,,2013 - 2014,12,8,0.67,,,,,,,,,,,,
,,2014 - 2015,274,195,0.71,,,,,,,,,,,,
,,2015 - 2016,4,3,0.75,,,,,,,,,,,,
,,2016 - 2017,1,2,2,,,,,,,,,,,,
,,2017 - 2018,14,10,0.71,,,,,,,,,,,,
,,2019 - 2020,1,,0,,,,,,,,,,,,
,,2020 - 2021,6,9,1.5,,,,,,,,,,,,
,,2021 - 2022,2,2,1,,,,,,,,,,,,
,,2022 - 2023,24,29,1.21,,,,,,,,,,,,
,5. Kurnool,2000 - 2001,850,484,0.57,,,,,,,,,,,,
,,2001 - 2002,"1,264.00",876,0.69,,,,,,,,,,,,
,,2002 - 2003,941,867,0.92,,,,,,,,,,,,
,,2003 - 2004,694,206,0.3,,,,,,,,,,,,
,,2004 - 2005,393,88,0.22,,,,,,,,,,,,
,,2005 - 2006,711,418,0.59,,,,,,,,,,,,
,,2006 - 2007,670,176,0.26,,,,,,,,,,,,
,,2008 - 2009,747,405,0.54,,,,,,,,,,,,
,,2009 - 2010,550,251,0.46,,,,,,,,,,,,
