state,district,year,arecanut_kharif_area_hectare,arecanut_kharif_production_tonne,arecanut_kharif_yield_tonne_per_hectare,arecanut_whole_year_area_hectare,arecanut_whole_year_production_tonne,arecanut_whole_year_yield_tonne_per_hectare,arecanut_rabi_area_hectare,arecanut_rabi_production_tonne,arecanut_rabi_yield_tonne_per_hectare
Andaman and Nicobar Islands,Nicobars,2000 - 2001,,,1.59,,,,,,
,,2001 - 2002,,,1.64,,,,,,
,,2002 - 2003,,,,,,1.66,,,
,,2003 - 2004,,,,,,1.21,,,
,,2004 - 2005,,,,,805.85,0.64,,,
,,2005 - 2006,,,,795.67,,0.0,,,
,,2006 - 2007,,,,896.0,477.6,0.53,,,
,,2010 - 2011,,,,,,,944.0,,1.71
,,2011 - 2012,,,,,,,957.0,,1.14
,,2012 - 2013,,,,,,,959.0,,1.42
,,2013 - 2014,,,,,,,890.5,846.0,0.95
,,2014 - 2015,,,,,,,876.5,638.5,0.73
,,2015 - 2016,,,,,,,888.5,82.5,0.09
,,2016 - 2017,,,,,,,888.5,99.0,0.11
,,2017 - 2018,,,,,,,534.1,125.23,0.23
,,2018 - 2019,,,,,,,558.0,84.6,0.15
,,2019 - 2020,,,,,,,612.5,175.4,0.29
,,2020 - 2021,,,,,,,221.5,72.8,0.33
,,2021 - 2022,,,,,,,206.5,95.6,0.46
,,2022 - 2023,,,,,,,200.5,64.5,0.32
,North and middle andaman,2000 - 2001,,,1.68,,,,,,
,,2001 - 2002,,,1.69,,,,,,
,,2006 - 2007,,,,,,2.6,,,
,,2010 - 2011,,,,,,,,,1.77
,,2011 - 2012,,,,,,,,,1.8
,,2012 - 2013,,,,,,,,,1.41
,,2013 - 2014,,,,,,,,,3.01
,,2014 - 2015,,,,,,,,,2.39
,,2015 - 2016,,,,,,,,,3.43
,,2016 - 2017,,,,,,,,,3.11
,,2017 - 2018,,,,,,,,,2.66
,,2018 - 2019,,,,,,,,,2.82
,,2019 - 2020,,,,,,,,,2.27
,,2020 - 2021,,,,,,,,,2.59
,,2021 - 2022,,,,,,,,,2.13
,,2022 - 2023,,,,,,,,,2.36
,South andamans,2002 - 2003,,,,,,1.7,,,
,,2003 - 2004,,,,,,1.66,,,
,,2004 - 2005,,,,,,1.26,,,
,,2005 - 2006,,,,,,0.94,,,
,,2006 - 2007,,,,,,1.18,,,
,,2010 - 2011,,,,,,,,,0.99
,,2011 - 2012,,,,,,,,,1.27
,,2012 - 2013,,,,,,,,,1.41
,,2013 - 2014,,,,,,,,,2.51
,,2014 - 2015,,,,,,,,,2.23
,,2015 - 2016,,,,,,,,,2.26
,,2016 - 2017,,,,,,,,,2.61
,,2017 - 2018,,,,,,,,,8.62
,,2018 - 2019,,,,,,,,,4.78
,,2019 - 2020,,,,,,,,,3.7
,,2020 - 2021,,,,,,,,,5.37
,,2021 - 2022,,,,,,,,,7.22
,,2022 - 2023,,,,,,,,,7.03
Andhra Pradesh,Anakapalli,2022 - 2023,18.0,166.0,9.22,,,,,,
,Anantapur,2000 - 2001,,,,252.0,696.0,2.76,,,
,,2001 - 2002,,,,257.0,430.0,1.67,,,
,,2002 - 2003,,,,263.0,379.0,1.44,,,
,,2003 - 2004,,,,266.0,189.0,0.71,,,
,,2005 - 2006,,,,268.0,214.0,0.8,,,
,,2006 - 2007,,,,217.0,150.0,0.69,,,
,,2008 - 2009,,,,325.0,232.0,0.71,,,
,,2009 - 2010,,,,356.0,169.0,0.47,,,
,,2010 - 2011,,,,409.0,182.0,0.44,,,
,,2011 - 2012,,,,541.0,267.0,0.49,,,
,,2012 - 2013,558.0,302.0,0.54,,,,,,
,,2013 - 2014,453.0,186.0,0.41,,,,,,
,,2014 - 2015,463.0,279.0,0.6,,,,,,
,,2015 - 2016,496.0,,3.49,,,,,,
,,2016 - 2017,519.0,,4.27,,,,,,
,,2017 - 2018,571.0,,6.94,,,,,,
,,2018 - 2019,839.0,,6.01,,,,,,
,,2019 - 2020,900.0,,10.54,,,,,,
,,2020 - 2021,,,10.51,,,,,,
,,2021 - 2022,,,7.98,,,,,,
,,2022 - 2023,210.0,,9.2,,,,,,
,East godavari,2000 - 2001,,,,6.0,17.0,2.83,,,
,,2001 - 2002,,,,7.0,12.0,1.71,,,
,,2002 - 2003,,,,7.0,10.0,1.43,,,
,,2003 - 2004,,,,6.0,4.0,0.67,,,
,,2005 - 2006,,,,6.0,5.0,0.83,,,
,,2006 - 2007,,,,19.0,13.0,0.68,,,
,,2008 - 2009,,,,20.0,19.0,0.95,,,
,,2009 - 2010,,,,20.0,19.0,0.95,,,
,,2011 - 2012,,,,20.0,8.0,0.4,,,
,,2012 - 2013,22.0,62.0,2.82,,,,,,
,,2013 - 2014,23.0,69.0,3.0,,,,,,
,,2014 - 2015,20.0,59.0,2.95,,,,,,
