state,district,year,bajra_kharif_area_hectare,bajra_kharif_production_tonne,bajra_kharif_yield_tonne_per_hectare,bajra_rabi_area_hectare,bajra_rabi_production_tonne,bajra_rabi_yield_tonne_per_hectare,bajra_whole_year_area_hectare,bajra_whole_year_production_tonne,bajra_whole_year_yield_tonne_per_hectare,bajra_summer_area_hectare,bajra_summer_production_tonne,bajra_summer_yield_tonne_per_hectare
Andhra Pradesh,Alluri sitharama raju,2022 - 2023,89.0,205.0,2.3,,,,,,,,,
,Anakapalli,2022 - 2023,816.0,987.0,1.21,,,,,,,,,
,Anantapur,2000 - 2001,,,0.58,317.0,185.0,0.58,,,,,,
,,2001 - 2002,,526.0,0.33,27.0,9.0,0.33,,,,,,
,,2002 - 2003,,581.0,0.3,129.0,39.0,0.3,,,,,,
,,2003 - 2004,,378.0,0.17,113.0,19.0,0.17,,,,,,
,,2004 - 2005,,403.0,0.39,62.0,24.0,0.39,,,,,,
,,2005 - 2006,993.0,,1.9,66.0,125.0,1.89,,,,,,
,,2006 - 2007,620.0,189.0,0.3,141.0,43.0,0.3,,,,,,
,,2007 - 2008,,,3.0,,,,,,,,,
,,2008 - 2009,743.0,,1.36,26.0,35.0,1.35,,,,,,
,,2009 - 2010,,,1.84,45.0,83.0,1.84,,,,,,
,,2010 - 2011,,,0.73,5.0,4.0,0.8,,,,,,
,,2011 - 2012,,,1.27,116.0,147.0,1.27,,,,,,
,,2012 - 2013,,,0.5,,,,,,,,,
,,2013 - 2014,,,0.92,17.0,16.0,0.94,,,,,,
,,2014 - 2015,,,0.59,47.0,28.0,0.6,,,,,,
,,2015 - 2016,,,1.03,33.0,34.0,1.03,,,,,,
,,2016 - 2017,,,0.51,6.0,3.0,0.5,,,,,,
,,2017 - 2018,,,1.34,27.0,36.0,1.33,,,,,,
,,2018 - 2019,,,1.16,26.0,30.0,1.15,,,,,,
,,2019 - 2020,,,1.53,29.0,44.0,1.52,,,,,,
,,2020 - 2021,,,1.41,94.0,133.0,1.41,,,,,,
,,2021 - 2022,,,0.75,40.0,30.0,0.75,,,,,,
,,2022 - 2023,,,0.81,15.0,26.0,1.73,,,,,,
,Annamayya,2022 - 2023,436.0,768.0,1.76,1.0,2.0,2.0,,,,,,
,Bapatla,2022 - 2023,45.0,104.0,2.31,,,,,,,,,
,Chittoor,2000 - 2001,,,1.31,393.0,514.0,1.31,,,,,,
,,2001 - 2002,,,1.21,258.0,313.0,1.21,,,,,,
,,2002 - 2003,,,0.49,42.0,21.0,0.5,,,,,,
,,2003 - 2004,,,1.67,36.0,60.0,1.67,,,,,,
,,2004 - 2005,,,1.31,57.0,75.0,1.32,,,,,,
,,2005 - 2006,,,1.19,58.0,69.0,1.19,,,,,,
,,2006 - 2007,,942.0,0.65,30.0,19.0,0.63,,,,,,
,,2007 - 2008,,,1.5,,,,,,,,,
,,2008 - 2009,,,1.92,9.0,17.0,1.89,,,,,,
,,2009 - 2010,,,1.17,17.0,20.0,1.18,,,,,,
,,2010 - 2011,,,1.91,15.0,29.0,1.93,,,,,,
,,2011 - 2012,,,2.11,2.0,4.0,2.0,,,,,,
,,2012 - 2013,,,2.0,,,,,,,,,
,,2013 - 2014,,,2.18,2.0,4.0,2.0,,,,,,
