state,district,year,barley_rabi_area_hectare,barley_rabi_production_tonne,barley_rabi_yield_tonne_per_hectare,barley_kharif_area_hectare,barley_kharif_production_tonne,barley_kharif_yield_tonne_per_hectare,barley_summer_area_hectare,barley_summer_production_tonne,barley_summer_yield_tonne_per_hectare,barley_whole_year_area_hectare,barley_whole_year_production_tonne,barley_whole_year_yield_tonne_per_hectare
Bihar,Araria,2000 - 2001,173.0,203.0,1.17,,,,,,,,,
,,2001 - 2002,20.0,25.0,1.25,,,,,,,,,
,,2002 - 2003,23.0,27.0,1.17,,,,,,,,,
,,2003 - 2004,104.0,116.0,1.12,,,,,,,,,
,,2004 - 2005,56.0,59.0,1.05,,,,,,,,,
,,2005 - 2006,28.0,29.0,1.04,,,,,,,,,
,,2006 - 2007,55.0,59.0,1.07,,,,,,,,,
,,2007 - 2008,47.0,56.0,1.19,,,,,,,,,
,,2008 - 2009,27.0,30.0,1.11,,,,,,,,,
,,2010 - 2011,17.0,22.0,1.29,,,,,,,,,
,,2011 - 2012,5.0,8.0,1.6,,,,,,,,,
,,2012 - 2013,5.0,7.0,1.4,,,,,,,,,
,Arwal,2003 - 2004,222.0,228.0,1.03,,,,,,,,,
,,2004 - 2005,160.0,139.0,0.87,,,,,,,,,
,,2005 - 2006,241.0,171.0,0.71,,,,,,,,,
,,2007 - 2008,141.0,146.0,1.04,,,,,,,,,
,,2008 - 2009,155.0,114.0,0.74,,,,,,,,,
,,2009 - 2010,140.0,113.0,0.81,,,,,,,,,
,,2010 - 2011,134.0,122.0,0.91,,,,,,,,,
,,2011 - 2012,141.0,128.0,0.91,,,,,,,,,
,,2012 - 2013,141.0,189.0,1.34,,,,,,,,,
,,2013 - 2014,114.0,129.0,1.13,,,,,,,,,
,,2014 - 2015,102.0,112.0,1.1,,,,,,,,,
,,2015 - 2016,98.0,124.0,1.27,,,,,,,,,
,,2016 - 2017,90.0,121.0,1.34,,,,,,,,,
,,2017 - 2018,82.0,143.0,1.74,,,,,,,,,
,,2018 - 2019,228.0,315.0,1.38,,,,,,,,,
,,2019 - 2020,111.0,143.0,1.29,,,,,,,,,
,,2020 - 2021,61.0,81.0,1.33,,,,,,,,,
,,2021 - 2022,56.0,87.0,1.55,,,,,,,,,
,,2022 - 2023,58.0,65.0,1.12,,,,,,,,,
,Aurangabad,2000 - 2001,,,1.05,,,,,,,,,
,,2001 - 2002,,,1.01,,,,,,,,,
,,2002 - 2003,,,1.1,,,,,,,,,
,,2003 - 2004,,,0.93,,,,,,,,,
,,2004 - 2005,,,1.03,,,,,,,,,
,,2005 - 2006,,562.0,0.51,,,,,,,,,
,,2006 - 2007,,,0.8,,,,,,,,,
,,2007 - 2008,,,1.09,,,,,,,,,
,,2008 - 2009,,805.0,0.66,,,,,,,,,
