state,district,year,coconut_whole_year_area_hectare,coconut_whole_year_production_nuts,coconut_whole_year_yield_tonne_per_hectare,coconut_kharif_area_hectare,coconut_kharif_production_nuts,coconut_kharif_yield_tonne_per_hectare
Andaman and Nicobar Islands,Nicobars,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
,North and middle andaman,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2006 - 2007,,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
,South andamans,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
