state,district,year,cotton_kharif_area_hectare,cotton_kharif_production_bales,cotton_kharif_yield_tonne_per_hectare,cotton_rabi_area_hectare,cotton_rabi_production_bales,cotton_rabi_yield_tonne_per_hectare,cotton_whole_year_area_hectare,cotton_whole_year_production_bales,cotton_whole_year_yield_tonne_per_hectare,cotton_summer_area_hectare,cotton_summer_production_bales,cotton_summer_yield_tonne_per_hectare
Andhra Pradesh,Alluri sitharama raju,2022 - 2023,,,2.84,,,,,,,,,
,Anakapalli,2022 - 2023,82.0,230.0,2.8,,,,,,,,,
,Anantapur,2000 - 2001,,,1.34,,,,,,,,,
,,2001 - 2002,,,1.06,,,,,,,,,
,,2002 - 2003,,,0.94,,,,,,,,,
,,2003 - 2004,,,1.01,,,,,,,,,
,,2004 - 2005,,,0.79,,,,,,,,,
,,2005 - 2006,,,1.05,,,,,,,,,
,,2006 - 2007,,,1.29,,,,,,,,,
,,2007 - 2008,,,0.67,,,,,,,,,
,,2008 - 2009,,,0.77,,,,,,,,,
,,2009 - 2010,,,0.59,,,,,,,,,
,,2010 - 2011,,,0.69,,,,,,,,,
,,2011 - 2012,,,0.63,,,,,,,,,
,,2012 - 2013,,,1.25,,,,,,,,,
,,2013 - 2014,,,2.05,62.0,127.0,2.05,,,,,,
,,2014 - 2015,,,1.41,884.0,,1.41,,,,,,
,,2015 - 2016,,,1.66,633.0,,1.66,,,,,,
,,2016 - 2017,,,0.82,108.0,88.0,0.81,,,,,,
,,2017 - 2018,,,2.83,114.0,322.0,2.82,,,,,,
,,2018 - 2019,,,1.39,139.0,192.0,1.38,,,,,,
,,2019 - 2020,,,0.3,113.0,199.0,1.76,,,,,,
,,2020 - 2021,,,0.87,211.0,183.0,0.87,,,,,,
,,2021 - 2022,,,0.79,566.0,445.0,0.79,,,,,,
,,2022 - 2023,,,1.13,,,1.83,,,,,,
,Annamayya,2022 - 2023,50.0,92.0,1.84,124.0,226.0,1.82,,,,,,
,Bapatla,2022 - 2023,,,2.12,182.0,511.0,2.81,,,,,,
,Chittoor,2000 - 2001,19.0,25.0,1.32,,,,,,,,,
,,2001 - 2002,2.0,2.0,1.0,,,,,,,,,
,,2005 - 2006,4.0,4.0,1.0,,,,,,,,,
,,2008 - 2009,24.0,37.0,1.54,,,,,,,,,
,,2009 - 2010,66.0,94.0,1.42,,,,,,,,,
,,2010 - 2011,235.0,98.0,0.42,,,,,,,,,
,,2011 - 2012,400.0,65.0,0.16,,,,,,,,,
,,2012 - 2013,,,1.0,,,,,,,,,
,,2013 - 2014,157.0,391.0,2.49,194.0,483.0,2.49,,,,,,
,,2014 - 2015,308.0,723.0,2.35,545.0,,2.34,,,,,,
,,2015 - 2016,435.0,761.0,1.75,707.0,,1.75,,,,,,
,,2016 - 2017,517.0,,2.54,259.0,395.0,1.53,,,,,,
,,2017 - 2018,328.0,877.0,2.67,169.0,451.0,2.67,,,,,,
,,2018 - 2019,177.0,218.0,1.23,94.0,117.0,1.24,,,,,,
,,2019 - 2020,157.0,82.0,0.52,79.0,244.0,3.09,,,,,,
,,2020 - 2021,28.0,78.0,2.79,65.0,179.0,2.75,,,,,,
,,2021 - 2022,51.0,89.0,1.75,94.0,165.0,1.76,,,,,,
,,2022 - 2023,26.0,47.0,1.81,5.0,10.0,2.0,,,,,,
,East godavari,2000 - 2001,,,1.89,,,,,,,,,
,,2001 - 2002,,,2.61,,,,,,,,,
,,2002 - 2003,,,1.78,,,,,,,,,
,,2003 - 2004,,,2.98,,,,,,,,,
,,2004 - 2005,,,2.85,,,,,,,,,
,,2005 - 2006,,,0.73,,,,,,,,,
,,2006 - 2007,,,2.15,,,,,,,,,
,,2007 - 2008,,,2.25,,,,,,,,,
,,2008 - 2009,,,1.91,,,,,,,,,
,,2009 - 2010,,,2.87,,,,,,,,,
,,2010 - 2011,,,1.78,,,,,,,,,
