state,district,year,guar_seed_rabi_area_hectare,guar_seed_rabi_production_tonne,guar_seed_rabi_yield_tonne_per_hectare,guar_seed_kharif_area_hectare,guar_seed_kharif_production_tonne,guar_seed_kharif_yield_tonne_per_hectare,guar_seed_whole_year_area_hectare,guar_seed_whole_year_production_tonne,guar_seed_whole_year_yield_tonne_per_hectare
Andhra Pradesh,Prakasam,2019 - 2020,6.0,,0.0,,,,,,
,Spsr nellore,2016 - 2017,42.0,80.0,1.9,,,,,,
,West godavari,2019 - 2020,,,,1.0,,0.0,,,
Chhattisgarh,Balrampur,2013 - 2014,,,,26.0,21.0,0.81,,,
Gujarat,Ahmadabad,2000 - 2001,,,,,,,,700.0,0.21
,,2001 - 2002,,,,,,,,,0.43
,,2002 - 2003,,,,,,,,800.0,0.31
,,2003 - 2004,,,,,,,400.0,300.0,0.75
,,2004 - 2005,,,,,,,400.0,300.0,0.75
,,2005 - 2006,,,,,,,200.0,100.0,0.5
,,2006 - 2007,,,,,,,,400.0,0.4
,,2007 - 2008,,,,,,,100.0,100.0,1.0
,,2008 - 2009,,,,,,,,400.0,0.33
,,2009 - 2010,,,,,,,200.0,100.0,0.5
,,2010 - 2011,,,,,,,300.0,200.0,0.67
,,2011 - 2012,,,,,,,600.0,400.0,0.67
,,2012 - 2013,,,,,,,,,0.6
,,2013 - 2014,,,,,,,,,0.89
,,2014 - 2015,,,,,,,,,0.77
,,2015 - 2016,,,,,,,,,0.62
,,2016 - 2017,,,,,,,,,0.67
,,2017 - 2018,,,,,,,,,0.67
,,2018 - 2019,,,,,,,,,0.75
,,2019 - 2020,,,,400.0,440.0,1.1,,,
,,2020 - 2021,,,,353.0,292.0,0.83,,,
,,2021 - 2022,,,,533.0,461.0,0.86,,,
,,2022 - 2023,,,,432.0,308.0,0.71,,,
,Amreli,2000 - 2001,,,,,,,,200.0,0.2
,,2004 - 2005,,,,,,,100.0,100.0,1.0
,,2005 - 2006,,,,,,,200.0,100.0,0.5
,,2013 - 2014,,,,,,,285.0,253.0,0.89
,,2014 - 2015,,,,,,,168.0,130.0,0.77
,,2015 - 2016,,,,,,,62.0,38.0,0.61
,,2016 - 2017,,,,,,,59.0,39.0,0.66
,,2017 - 2018,,,,,,,42.0,28.0,0.67
,,2018 - 2019,,,,,,,522.0,292.0,0.56
,,2020 - 2021,,,,12.0,8.0,0.67,,,
,Anand,2008 - 2009,,,,,,,100.0,100.0,1.0
,,2009 - 2010,,,,,,,100.0,100.0,1.0
,,2010 - 2011,,,,,,,100.0,100.0,1.0
