state,district,year,jowar_kharif_area_hectare,jowar_kharif_production_tonne,jowar_kharif_yield_tonne_per_hectare,jowar_rabi_area_hectare,jowar_rabi_production_tonne,jowar_rabi_yield_tonne_per_hectare,jowar_whole_year_area_hectare,jowar_whole_year_production_tonne,jowar_whole_year_yield_tonne_per_hectare,jowar_summer_area_hectare,jowar_summer_production_tonne,jowar_summer_yield_tonne_per_hectare,jowar_autumn_area_hectare,jowar_autumn_production_tonne,jowar_autumn_yield_tonne_per_hectare
Andhra Pradesh,Alluri sitharama raju,2022 - 2023,42.0,48.0,1.14,225.0,146.0,0.65,,,,,,,,,
,Anakapalli,2022 - 2023,,,,1.0,7.0,7.0,,,,,,,,,
,Anantapur,2000 - 2001,,,2.83,,,1.11,,,,,,,,,
,,2001 - 2002,,,1.72,,,1.15,,,,,,,,,
,,2002 - 2003,,,1.56,,,0.91,,,,,,,,,
,,2003 - 2004,,,2.47,,,0.91,,,,,,,,,
,,2004 - 2005,,,1.32,,,1.2,,,,,,,,,
,,2005 - 2006,,,1.03,,,0.77,,,,,,,,,
,,2006 - 2007,,,0.43,,,0.62,,,,,,,,,
,,2007 - 2008,,,0.75,,,0.67,,,,,,,,,
,,2008 - 2009,,,1.24,,,0.56,,,,,,,,,
,,2009 - 2010,,,0.63,,,0.81,,,,,,,,,
,,2010 - 2011,,,0.79,,,0.62,,,,,,,,,
,,2011 - 2012,,,1.05,,,0.49,,,,,,,,,
,,2012 - 2013,,,0.88,,,0.6,,,,,,,,,
,,2013 - 2014,,,0.67,,,0.47,,,,,,,,,
,,2014 - 2015,,,0.32,,,0.26,,,,,,,,,
,,2015 - 2016,,,0.57,,,0.24,,,,,,,,,
,,2016 - 2017,,900.0,0.2,,295.0,0.11,,,,,,,,,
,,2017 - 2018,,,0.53,,,0.44,,,,,,,,,
,,2018 - 2019,,,0.08,,434.0,0.13,,,,,,,,,
,,2019 - 2020,,,0.58,,,0.89,,,,,,,,,
,,2020 - 2021,,922.0,0.64,,,0.41,,,,,,,,,
,,2021 - 2022,,455.0,0.43,,,0.65,,,,,,,,,
,,2022 - 2023,,,0.54,,,1.56,,,,,,,,,
,Annamayya,2022 - 2023,15.0,14.0,0.93,17.0,40.0,2.35,,,,,,,,,
,Bapatla,2022 - 2023,8.0,9.0,1.13,,,8.29,,,,,,,,,
,Chittoor,2000 - 2001,,,0.76,54.0,65.0,1.2,,,,,,,,,
,,2001 - 2002,,,0.91,46.0,67.0,1.46,,,,,,,,,
,,2002 - 2003,,865.0,0.53,130.0,155.0,1.19,,,,,,,,,
,,2003 - 2004,,,1.18,6.0,7.0,1.17,,,,,,,,,
,,2004 - 2005,,,0.92,25.0,39.0,1.56,,,,,,,,,
,,2005 - 2006,,,0.67,33.0,57.0,1.73,,,,,,,,,
,,2006 - 2007,966.0,751.0,0.78,29.0,35.0,1.21,,,,,,,,,
,,2007 - 2008,,,1.0,,,,,,,,,,,,
,,2008 - 2009,,812.0,0.67,,,,,,,,,,,,
,,2009 - 2010,,,1.09,,,,,,,,,,,,
,,2010 - 2011,,852.0,0.63,,,,,,,,,,,,
,,2011 - 2012,65.0,80.0,1.23,,,,,,,,,,,,
,,2013 - 2014,12.0,10.0,0.83,,,,,,,,,,,,
