state,district,year,linseed_rabi_area_hectare,linseed_rabi_production_tonne,linseed_rabi_yield_tonne_per_hectare,linseed_kharif_area_hectare,linseed_kharif_production_tonne,linseed_kharif_yield_tonne_per_hectare,linseed_whole_year_area_hectare,linseed_whole_year_production_tonne,linseed_whole_year_yield_tonne_per_hectare
Andhra Pradesh,Anantapur,2000 - 2001,8.0,2.0,0.25,,,,,,
,,2001 - 2002,5.0,1.0,0.2,,,,,,
,,2002 - 2003,8.0,2.0,0.25,,,,,,
,,2003 - 2004,7.0,2.0,0.29,,,,,,
,,2004 - 2005,34.0,4.0,0.12,,,,,,
,,2005 - 2006,29.0,11.0,0.38,,,,,,
,,2006 - 2007,15.0,4.0,0.27,,,,,,
,,2008 - 2009,14.0,5.0,0.36,,,,,,
,,2012 - 2013,,,,7.0,3.0,0.43,,,
,,2013 - 2014,,,,7.0,3.0,0.43,,,
,,2015 - 2016,,,,1.0,1.0,1.0,,,
,,2020 - 2021,,,,77.0,0.0,0.0,,,
,,2021 - 2022,,,,11.0,0.0,0.0,,,
,Chittoor,2000 - 2001,30.0,6.0,0.2,,,,,,
,,2001 - 2002,21.0,5.0,0.24,,,,,,
,,2002 - 2003,14.0,4.0,0.29,,,,,,
,,2003 - 2004,19.0,5.0,0.26,,,,,,
,,2004 - 2005,11.0,1.0,0.09,,,,,,
,,2005 - 2006,5.0,2.0,0.4,,,,,,
,,2006 - 2007,4.0,1.0,0.25,,,,,,
,,2010 - 2011,18.0,,0.0,,,,,,
,,2011 - 2012,11.0,2.0,0.18,,,,,,
,,2015 - 2016,,,,9.0,4.0,0.44,,,
,,2017 - 2018,,,,8.0,4.0,0.5,,,
,,2018 - 2019,,,,9.0,,0.0,,,
,,2019 - 2020,,,,9.0,,0.0,,,
,East godavari,2000 - 2001,14.0,3.0,0.21,,,,,,
,Guntur,2010 - 2011,137.0,32.0,0.23,,,,,,
,Kadapa,2008 - 2009,528.0,197.0,0.37,,,,,,
,,2010 - 2011,289.0,67.0,0.23,,,,,,
,,2011 - 2012,350.0,74.0,0.21,,,,,,
,,2012 - 2013,,,,415.0,200.0,0.48,,,
,,2013 - 2014,,,,466.0,225.0,0.48,,,
,,2014 - 2015,,,,361.0,174.0,0.48,,,
,,2015 - 2016,,,,249.0,120.0,0.48,,,
,,2016 - 2017,,,,219.0,106.0,0.48,,,
