state,district,year,moong_rabi_area_hectare,moong_rabi_production_tonne,moong_rabi_yield_tonne_per_hectare,moong_kharif_area_hectare,moong_kharif_production_tonne,moong_kharif_yield_tonne_per_hectare,moong_summer_area_hectare,moong_summer_production_tonne,moong_summer_yield_tonne_per_hectare,moong_whole_year_area_hectare,moong_whole_year_production_tonne,moong_whole_year_yield_tonne_per_hectare,moong_autumn_area_hectare,moong_autumn_production_tonne,moong_autumn_yield_tonne_per_hectare,moong_winter_area_hectare,moong_winter_production_tonne,moong_winter_yield_tonne_per_hectare
Andaman and Nicobar Islands,Nicobars,2010 - 2011,1.5,1.1,0.73,,,,,,,,,,,,,,,
,,2014 - 2015,0.6,1.2,2.0,,,,,,,,,,,,,,,
,,2015 - 2016,0.6,1.2,2.0,,,,,,,,,,,,,,,
,,2016 - 2017,1.6,0.64,0.4,,,,,,,,,,,,,,,
,,2020 - 2021,1.96,6.04,3.09,,,,,,,,,,,,,,,
,North and middle andaman,2010 - 2011,,556.55,0.48,,,,,,,,,,,,,,,
,,2011 - 2012,824.6,492.5,0.6,,,,,,,,,,,,,,,
,,2012 - 2013,563.6,267.6,0.47,,,,,,,,,,,,,,,
,,2013 - 2014,305.2,131.3,0.43,,,,,,,,,,,,,,,
,,2014 - 2015,898.5,448.3,0.5,,,,,,,,,,,,,,,
,,2015 - 2016,884.7,541.6,0.61,,,,,,,,,,,,,,,
,,2016 - 2017,759.1,221.13,0.29,,,,,,,,,,,,,,,
,,2017 - 2018,193.5,60.25,0.31,,,,,,,,,,,,,,,
,,2018 - 2019,99.8,20.96,0.21,,,,,,,,,,,,,,,
,,2019 - 2020,359.6,215.07,0.6,,,,,,,,,,,,,,,
,,2020 - 2021,219.55,89.07,0.41,,,,,,,,,,,,,,,
,,2021 - 2022,200.29,65.48,0.33,,,,,,,,,,,,,,,
,,2022 - 2023,201.05,72.95,0.36,,,,,,,,,,,,,,,
,South andamans,2010 - 2011,29.9,17.85,0.6,,,,,,,,,,,,,,,
,,2011 - 2012,25.8,13.4,0.52,,,,,,,,,,,,,,,
,,2012 - 2013,19.9,8.3,0.42,,,,,,,,,,,,,,,
,,2013 - 2014,14.0,7.6,0.54,,,,,,,,,,,,,,,
,,2014 - 2015,10.9,6.0,0.55,,,,,,,,,,,,,,,
,,2015 - 2016,7.2,2.3,0.32,,,,,,,,,,,,,,,
,,2016 - 2017,5.2,0.98,0.19,,,,,,,,,,,,,,,
,,2017 - 2018,0.5,0.3,0.6,,,,,,,,,,,,,,,
,,2019 - 2020,3.92,2.08,0.53,,,,,,,,,,,,,,,
,,2020 - 2021,10.33,2.69,0.26,,,,,,,,,,,,,,,
,,2021 - 2022,10.33,2.69,0.26,,,,,,,,,,,,,,,
,,2022 - 2023,5.9,3.54,0.6,,,,,,,,,,,,,,,
Andhra Pradesh,Alluri sitharama raju,2022 - 2023,520.0,395.0,0.76,37.0,21.0,0.57,,,,,,,,,,,,
,Anakapalli,2022 - 2023,,,0.52,156.0,100.0,0.64,,,,,,,,,,,,
,Anantapur,2000 - 2001,,,,,774.0,0.44,,,,,,,,,,,,
,,2001 - 2002,40.0,12.0,0.3,,730.0,0.48,,,,,,,,,,,,
,,2002 - 2003,4.0,1.0,0.25,,174.0,0.15,,,,,,,,,,,,
,,2003 - 2004,22.0,7.0,0.32,,662.0,0.54,,,,,,,,,,,,
,,2004 - 2005,3.0,1.0,0.33,,545.0,0.37,,,,,,,,,,,,
,,2005 - 2006,16.0,5.0,0.31,,747.0,0.69,,,,,,,,,,,,
,,2006 - 2007,139.0,52.0,0.37,788.0,98.0,0.12,,,,,,,,,,,,
,,2007 - 2008,,,,,,0.0,,,,,,,,,,,,
,,2008 - 2009,,,,629.0,245.0,0.39,,,,,,,,,,,,
,,2009 - 2010,8.0,3.0,0.38,448.0,115.0,0.26,,,,,,,,,,,,
,,2010 - 2011,83.0,29.0,0.35,791.0,251.0,0.32,,,,,,,,,,,,
,,2011 - 2012,132.0,79.0,0.6,785.0,504.0,0.64,,,,,,,,,,,,
,,2012 - 2013,,,,,,0.0,,,,,,,,,,,,
,,2013 - 2014,129.0,81.0,0.63,481.0,534.0,1.11,,,,,,,,,,,,
,,2014 - 2015,586.0,481.0,0.82,,,1.23,,,,,,,,,,,,
,,2015 - 2016,756.0,635.0,0.84,,,0.13,,,,,,,,,,,,
,,2016 - 2017,30.0,12.0,0.4,,371.0,0.23,,,,,,,,,,,,
,,2017 - 2018,37.0,35.0,0.95,,659.0,0.22,,,,,,,,,,,,
,,2018 - 2019,,923.0,0.63,,718.0,0.09,,,,,,,,,,,,
,,2019 - 2020,130.0,127.0,0.98,,,0.23,,,,,,,,,,,,
,,2020 - 2021,,257.0,0.24,680.0,134.0,0.2,,,,,,,,,,,,
,,2021 - 2022,537.0,135.0,0.25,805.0,89.0,0.11,,,,,,,,,,,,
,,2022 - 2023,596.0,226.0,0.38,395.0,160.0,0.41,,,,,,,,,,,,
,Annamayya,2022 - 2023,47.0,44.0,0.94,33.0,13.0,0.39,,,,,,,,,,,,
,Bapatla,2022 - 2023,,,1.42,33.0,19.0,0.58,,,,,,,,,,,,
,Chittoor,2000 - 2001,42.0,14.0,0.33,138.0,61.0,0.44,,,,,,,,,,,,
,,2001 - 2002,82.0,25.0,0.3,225.0,109.0,0.48,,,,,,,,,,,,
,,2002 - 2003,172.0,44.0,0.26,174.0,26.0,0.15,,,,,,,,,,,,
,,2003 - 2004,221.0,75.0,0.34,631.0,343.0,0.54,,,,,,,,,,,,
,,2004 - 2005,218.0,71.0,0.33,337.0,125.0,0.37,,,,,,,,,,,,
,,2005 - 2006,70.0,21.0,0.3,511.0,354.0,0.69,,,,,,,,,,,,
,,2006 - 2007,144.0,54.0,0.38,284.0,35.0,0.12,,,,,,,,,,,,
,,2007 - 2008,,,,,,0.0,,,,,,,,,,,,
,,2008 - 2009,191.0,65.0,0.34,482.0,188.0,0.39,,,,,,,,,,,,
,,2009 - 2010,159.0,63.0,0.4,601.0,154.0,0.26,,,,,,,,,,,,
,,2010 - 2011,335.0,118.0,0.35,845.0,268.0,0.32,,,,,,,,,,,,
,,2011 - 2012,270.0,161.0,0.6,506.0,325.0,0.64,,,,,,,,,,,,
,,2012 - 2013,,,,,,0.0,,,,,,,,,,,,
,,2013 - 2014,277.0,173.0,0.62,540.0,599.0,1.11,,,,,,,,,,,,
,,2014 - 2015,384.0,315.0,0.82,469.0,578.0,1.23,,,,,,,,,,,,
,,2015 - 2016,301.0,253.0,0.84,536.0,293.0,0.55,,,,,,,,,,,,
,,2016 - 2017,515.0,212.0,0.41,601.0,380.0,0.63,,,,,,,,,,,,
,,2017 - 2018,419.0,393.0,0.94,470.0,166.0,0.35,,,,,,,,,,,,
,,2018 - 2019,294.0,184.0,0.63,486.0,55.0,0.11,,,,,,,,,,,,
,,2019 - 2020,204.0,199.0,0.98,305.0,76.0,0.25,,,,,,,,,,,,
,,2020 - 2021,167.0,139.0,0.83,406.0,140.0,0.34,,,,,,,,,,,,
,,2021 - 2022,110.0,97.0,0.88,177.0,72.0,0.41,,,,,,,,,,,,
,,2022 - 2023,91.0,86.0,0.95,85.0,49.0,0.58,,,,,,,,,,,,
,East godavari,2000 - 2001,,,0.23,45.0,20.0,0.44,,,,,,,,,,,,
,,2001 - 2002,,,0.17,126.0,61.0,0.48,,,,,,,,,,,,
,,2002 - 2003,,,0.21,533.0,80.0,0.15,,,,,,,,,,,,
,,2003 - 2004,,,0.29,,,0.54,,,,,,,,,,,,
,,2004 - 2005,,,0.26,62.0,23.0,0.37,,,,,,,,,,,,
,,2005 - 2006,,,0.23,199.0,138.0,0.69,,,,,,,,,,,,
,,2006 - 2007,,,0.26,273.0,106.0,0.39,,,,,,,,,,,,
,,2007 - 2008,,,0.15,,,,,,,,,,,,,,,
,,2008 - 2009,,,0.28,315.0,124.0,0.39,,,,,,,,,,,,
,,2009 - 2010,,,0.25,691.0,123.0,0.18,,,,,,,,,,,,
,,2010 - 2011,,,0.12,293.0,73.0,0.25,,,,,,,,,,,,
,,2011 - 2012,,,0.39,401.0,234.0,0.58,,,,,,,,,,,,
,,2012 - 2013,,,0.43,,,,,,,,,,,,,,,
,,2013 - 2014,,,0.23,210.0,86.0,0.41,,,,,,,,,,,,
,,2014 - 2015,,,0.36,483.0,324.0,0.67,,,,,,,,,,,,
,,2015 - 2016,,,0.32,497.0,386.0,0.78,,,,,,,,,,,,
,,2016 - 2017,,,0.61,564.0,565.0,1.0,,,,,,,,,,,,
,,2017 - 2018,,,0.61,173.0,161.0,0.93,,,,,,,,,,,,
,,2018 - 2019,,,0.68,153.0,149.0,0.97,,,,,,,,,,,,
,,2019 - 2020,,,0.75,168.0,134.0,0.8,,,,,,,,,,,,
,,2020 - 2021,,,0.74,35.0,58.0,1.66,,,,,,,,,,,,
,,2021 - 2022,,,0.82,481.0,143.0,0.3,,,,,,,,,,,,
,,2022 - 2023,103.0,133.0,1.29,,,,,,,,,,,,,,,
,Eluru,2022 - 2023,,,1.46,61.0,35.0,0.57,,,,,,,,,,,,
,Guntur,2000 - 2001,,,0.33,,,0.7,,,,,,,,,,,,
,,2001 - 2002,,,0.41,,,0.33,,,,,,,,,,,,
,,2002 - 2003,,,0.28,,978.0,0.12,,,,,,,,,,,,
,,2003 - 2004,,,0.3,,,0.44,,,,,,,,,,,,
,,2004 - 2005,,,0.36,,,0.36,,,,,,,,,,,,
,,2005 - 2006,,,0.65,,,0.5,,,,,,,,,,,,
,,2006 - 2007,,991.0,0.68,597.0,187.0,0.31,,,,,,,,,,,,
,,2007 - 2008,,,0.5,,,0.33,,,,,,,,,,,,
,,2008 - 2009,,,0.61,183.0,55.0,0.3,,,,,,,,,,,,
,,2009 - 2010,,,0.7,,20.0,0.02,,,,,,,,,,,,
,,2010 - 2011,,,0.4,,,0.15,,,,,,,,,,,,
,,2011 - 2012,,,0.89,919.0,35.0,0.04,,,,,,,,,,,,
,,2012 - 2013,,,1.39,,,0.33,,,,,,,,,,,,
,,2013 - 2014,,,0.96,,,0.37,,,,,,,,,,,,
,,2014 - 2015,,,1.29,177.0,52.0,0.29,,,,,,,,,,,,
,,2015 - 2016,,,1.06,,,0.5,,,,,,,,,,,,
,,2016 - 2017,,,0.6,,,0.17,,,,,,,,,,,,
,,2017 - 2018,,,1.07,,,0.72,,,,,,,,,,,,
,,2018 - 2019,,,1.08,,970.0,0.77,,,,,,,,,,,,
,,2019 - 2020,,,1.34,313.0,347.0,1.11,,,,,,,,,,,,
,,2020 - 2021,,,1.2,835.0,697.0,0.83,,,,,,,,,,,,
,,2021 - 2022,,,1.23,173.0,92.0,0.53,,,,,,,,,,,,
,,2022 - 2023,,,1.72,16.0,9.0,0.56,,,,,,,,,,,,
,Kadapa,2000 - 2001,69.0,23.0,0.33,741.0,329.0,0.44,,,,,,,,,,,,
,,2001 - 2002,18.0,5.0,0.28,153.0,74.0,0.48,,,,,,,,,,,,
,,2002 - 2003,43.0,11.0,0.26,663.0,100.0,0.15,,,,,,,,,,,,
,,2003 - 2004,,,,780.0,424.0,0.54,,,,,,,,,,,,
,,2004 - 2005,60.0,20.0,0.33,846.0,315.0,0.37,,,,,,,,,,,,
,,2005 - 2006,,,,461.0,319.0,0.69,,,,,,,,,,,,
,,2006 - 2007,80.0,30.0,0.38,367.0,46.0,0.13,,,,,,,,,,,,
,,2008 - 2009,9.0,3.0,0.33,105.0,41.0,0.39,,,,,,,,,,,,
,,2009 - 2010,93.0,37.0,0.4,40.0,10.0,0.25,,,,,,,,,,,,
,,2010 - 2011,463.0,163.0,0.35,,327.0,0.32,,,,,,,,,,,,
,,2011 - 2012,255.0,152.0,0.6,56.0,36.0,0.64,,,,,,,,,,,,
,,2012 - 2013,,,0.0,,,,,,,,,,,,,,,
,,2013 - 2014,,669.0,0.63,250.0,278.0,1.11,,,,,,,,,,,,
,,2014 - 2015,,,0.82,491.0,605.0,1.23,,,,,,,,,,,,
,,2015 - 2016,,,0.84,,873.0,0.19,,,,,,,,,,,,
,,2016 - 2017,,645.0,0.41,562.0,195.0,0.35,,,,,,,,,,,,
,,2017 - 2018,213.0,200.0,0.94,168.0,107.0,0.64,,,,,,,,,,,,
,,2018 - 2019,,,0.63,32.0,41.0,1.28,,,,,,,,,,,,
,,2019 - 2020,,,0.98,70.0,102.0,1.46,,,,,,,,,,,,
,,2020 - 2021,,,0.5,799.0,442.0,0.55,,,,,,,,,,,,
,,2021 - 2022,,,0.68,182.0,145.0,0.8,,,,,,,,,,,,
,,2022 - 2023,,,1.06,157.0,56.0,0.36,,,,,,,,,,,,
,Kakinada,2022 - 2023,,,0.67,6.0,3.0,0.5,,,,,,,,,,,,
,Konaseema,2022 - 2023,170.0,99.0,0.58,,,,,,,,,,,,,,,
,Krishna,2000 - 2001,,,0.49,,,0.28,,,,,,,,,,,,
,,2001 - 2002,,648.0,0.33,,,0.64,,,,,,,,,,,,
,,2002 - 2003,,,0.76,,,0.34,,,,,,,,,,,,
,,2003 - 2004,,,0.32,,,0.6,,,,,,,,,,,,
