state,district,year,niger_seed_rabi_area_hectare,niger_seed_rabi_production_tonne,niger_seed_rabi_yield_tonne_per_hectare,niger_seed_kharif_area_hectare,niger_seed_kharif_production_tonne,niger_seed_kharif_yield_tonne_per_hectare,niger_seed_winter_area_hectare,niger_seed_winter_production_tonne,niger_seed_winter_yield_tonne_per_hectare,niger_seed_whole_year_area_hectare,niger_seed_whole_year_production_tonne,niger_seed_whole_year_yield_tonne_per_hectare
Andhra Pradesh,Alluri sitharama raju,2022 - 2023,,959.0,0.39,,,,,,,,,
,East godavari,2000 - 2001,,,,336.0,113.0,0.34,,,,,,
,,2001 - 2002,,,,357.0,90.0,0.25,,,,,,
,,2002 - 2003,,,,107.0,27.0,0.25,,,,,,
,,2003 - 2004,,,,216.0,63.0,0.29,,,,,,
,,2004 - 2005,,,,98.0,26.0,0.27,,,,,,
,,2005 - 2006,,,,109.0,42.0,0.39,,,,,,
,,2006 - 2007,,,,70.0,25.0,0.36,,,,,,
,,2008 - 2009,,,,30.0,13.0,0.43,,,,,,
,,2009 - 2010,,,,71.0,24.0,0.34,,,,,,
,,2010 - 2011,,,,1.0,,0.0,,,,,,
,,2011 - 2012,,,,1.0,,0.0,,,,,,
,Eluru,2022 - 2023,4.0,2.0,0.5,,,,,,,,,
,Guntur,2020 - 2021,5.0,2.0,0.4,,,,,,,,,
,Kadapa,2022 - 2023,6.0,2.0,0.33,,,,,,,,,
,Kurnool,2000 - 2001,,,,12.0,4.0,0.33,,,,,,
,Prakasam,2002 - 2003,,,,832.0,320.0,0.38,,,,,,
,,2003 - 2004,,,,68.0,27.0,0.4,,,,,,
,,2004 - 2005,,,,126.0,49.0,0.39,,,,,,
,,2018 - 2019,4.0,1.0,0.25,,,,,,,,,
,,2020 - 2021,15.0,7.0,0.47,,,,,,,,,
,,2022 - 2023,4.0,2.0,0.5,,,,,,,,,
,Visakhapatanam,2000 - 2001,,,,,,0.32,,,,,,
,,2001 - 2002,,,,,,0.42,,,,,,
,,2002 - 2003,,,,,,0.38,,,,,,
,,2003 - 2004,,,,,,0.39,,,,,,
,,2004 - 2005,,,,,,0.38,,,,,,
,,2005 - 2006,,,,,,0.38,,,,,,
,,2006 - 2007,,,,,,0.36,,,,,,
,,2008 - 2009,,,,,,0.44,,,,,,
,,2009 - 2010,,,,,,0.34,,,,,,
,,2010 - 2011,,,,,,0.38,,,,,,
,,2011 - 2012,,,,,,0.37,,,,,,
,,2012 - 2013,,,0.7,,,,,,,,,
,,2013 - 2014,,,0.51,21.0,11.0,0.52,,,,,,
,,2014 - 2015,,,0.32,,,,,,,,,
,,2015 - 2016,,,0.39,,,,,,,,,
,,2016 - 2017,,,0.39,,,,,,,,,
,,2017 - 2018,,,0.41,,,,,,,,,
,,2018 - 2019,,,0.32,23.0,7.0,0.3,,,,,,
,,2019 - 2020,,,0.33,,,,,,,,,
,,2020 - 2021,,,0.45,,,,,,,,,
,,2021 - 2022,,,0.36,,,,,,,,,
,Vizianagaram,2000 - 2001,,,,510.0,252.0,0.49,,,,,,
,,2001 - 2002,,,,408.0,161.0,0.39,,,,,,
,,2002 - 2003,,,,464.0,232.0,0.5,,,,,,
,,2003 - 2004,,,,371.0,146.0,0.39,,,,,,
,,2004 - 2005,,,,447.0,332.0,0.74,,,,,,
,,2005 - 2006,,,,571.0,398.0,0.7,,,,,,
