state,district,year,sannhamp_whole_year_area_hectare,sannhamp_whole_year_production_tonne,sannhamp_whole_year_yield_tonne_per_hectare,sannhamp_kharif_area_hectare,sannhamp_kharif_production_tonne,sannhamp_kharif_yield_tonne_per_hectare,sannhamp_rabi_area_hectare,sannhamp_rabi_production_tonne,sannhamp_rabi_yield_tonne_per_hectare,sannhamp_winter_area_hectare,sannhamp_winter_production_tonne,sannhamp_winter_yield_tonne_per_hectare
Andhra Pradesh,East godavari,2013 - 2014,175.0,,0.0,,,,,,,,,
,Guntur,2013 - 2014,,,0.0,,,,,,,,,
,,2019 - 2020,,,,,,0.0,,,,,,
,Kurnool,2013 - 2014,18.0,,0.0,,,,,,,,,
,Prakasam,2013 - 2014,,,0.0,,,,,,,,,
,,2019 - 2020,,,,,,0.0,35.0,,0.0,,,
,Spsr nellore,2019 - 2020,,,,,,,32.0,,0.0,,,
,Srikakulam,2019 - 2020,,,,,,,437.0,,0.0,,,
,Visakhapatanam,2019 - 2020,,,,2.0,,0.0,299.0,,0.0,,,
,Vizianagaram,2013 - 2014,106.0,,0.0,,,,,,,,,
,,2019 - 2020,,,,44.0,,0.0,330.0,,0.0,,,
Bihar,Araria,2002 - 2003,,916.0,0.71,,,,,,,,,
,,2003 - 2004,,784.0,0.72,,,,,,,,,
,,2004 - 2005,,960.0,0.81,,,,,,,,,
,,2005 - 2006,774.0,670.0,0.87,,,,,,,,,
,,2006 - 2007,,,,849.0,734.0,0.86,,,,,,
,,2007 - 2008,,,,,,4.57,,,,,,
,,2008 - 2009,,,,918.0,,4.57,,,,,,
,,2009 - 2010,,,,72.0,59.0,0.82,,,,,,
,Arwal,2003 - 2004,18.0,14.0,0.78,,,,,,,,,
,,2004 - 2005,1.0,1.0,1.0,,,,,,,,,
,,2005 - 2006,7.0,6.0,0.86,,,,,,,,,
,,2007 - 2008,,,,8.0,33.33,4.17,,,,,,
,,2008 - 2009,,,,8.0,33.33,4.17,,,,,,
,,2009 - 2010,,,,6.0,5.0,0.83,,,,,,
,,2012 - 2013,,,,7.0,6.0,0.86,,,,,,
,,2013 - 2014,,,,6.0,5.0,0.83,,,,,,
,Aurangabad,2005 - 2006,2.0,2.0,1.0,,,,,,,,,
,,2006 - 2007,,,,1.0,1.0,1.0,,,,,,
,Banka,2002 - 2003,,749.0,0.71,,,,,,,,,
,,2003 - 2004,694.0,498.0,0.72,,,,,,,,,
,,2004 - 2005,,825.0,0.8,,,,,,,,,
,,2005 - 2006,,892.0,0.81,,,,,,,,,
,,2006 - 2007,,,,,879.0,0.82,,,,,,
,,2007 - 2008,,,,983.0,,4.43,,,,,,
,,2008 - 2009,,,,,,4.44,,,,,,
,,2009 - 2010,,,,602.0,491.0,0.82,,,,,,
,,2012 - 2013,,,,337.0,271.0,0.8,,,,,,
,,2013 - 2014,,,,385.0,310.0,0.81,,,,,,
,,2014 - 2015,,,,369.0,297.0,0.8,,,,,,
,,2015 - 2016,,,,355.0,286.0,0.81,,,,,,
,,2016 - 2017,,,,458.0,370.0,0.81,,,,,,
,,2017 - 2018,,,,352.0,284.0,0.81,,,,,,
,,2018 - 2019,,,,352.0,284.0,0.81,,,,,,
,,2019 - 2020,,,,347.0,280.0,0.81,,,,,,
,,2020 - 2021,,,,346.0,279.0,0.81,,,,,,
,,2021 - 2022,,,,347.0,280.0,0.81,,,,,,
,,2022 - 2023,,,,355.0,289.0,0.81,,,,,,
,Begusarai,2002 - 2003,87.0,62.0,0.71,,,,,,,,,
,,2003 - 2004,56.0,35.0,0.63,,,,,,,,,
,,2004 - 2005,42.0,34.0,0.81,,,,,,,,,
,,2005 - 2006,46.0,37.0,0.8,,,,,,,,,
,,2006 - 2007,,,,48.0,40.0,0.83,,,,,,
,,2007 - 2008,,,,45.0,200.0,4.44,,,,,,
,,2009 - 2010,,,,25.0,20.0,0.8,,,,,,
,,2012 - 2013,,,,26.0,21.0,0.81,,,,,,
,,2013 - 2014,,,,13.0,10.0,0.77,,,,,,
,,2014 - 2015,,,,12.0,10.0,0.83,,,,,,
,,2015 - 2016,,,,23.0,19.0,0.83,,,,,,
,,2016 - 2017,,,,21.0,17.0,0.81,,,,,,
,,2019 - 2020,,,,23.0,18.0,0.78,,,,,,
,,2020 - 2021,,,,24.0,19.0,0.79,,,,,,
,,2021 - 2022,,,,12.0,10.0,0.83,,,,,,
,Bhagalpur,2002 - 2003,216.0,154.0,0.71,,,,,,,,,
,,2003 - 2004,196.0,141.0,0.72,,,,,,,,,
,,2004 - 2005,224.0,180.0,0.8,,,,,,,,,
,,2005 - 2006,224.0,182.0,0.81,,,,,,,,,
,,2006 - 2007,,,,215.0,177.0,0.82,,,,,,
,,2007 - 2008,,,,224.0,994.44,4.44,,,,,,
,,2008 - 2009,,,,347.0,,4.45,,,,,,
,,2009 - 2010,,,,329.0,268.0,0.81,,,,,,
,,2012 - 2013,,,,102.0,82.0,0.8,,,,,,
,,2013 - 2014,,,,109.0,88.0,0.81,,,,,,
,,2014 - 2015,,,,119.0,96.0,0.81,,,,,,
,,2015 - 2016,,,,114.0,92.0,0.81,,,,,,
,,2016 - 2017,,,,115.0,93.0,0.81,,,,,,
,,2017 - 2018,,,,114.0,92.0,0.81,,,,,,
,,2018 - 2019,,,,111.0,90.0,0.81,,,,,,
,,2019 - 2020,,,,108.0,87.0,0.81,,,,,,
,,2020 - 2021,,,,72.0,58.0,0.81,,,,,,
,,2021 - 2022,,,,60.0,48.0,0.8,,,,,,
,,2022 - 2023,,,,58.0,47.0,0.81,,,,,,
,Bhojpur,2004 - 2005,1.0,1.0,1.0,,,,,,,,,
,,2005 - 2006,2.0,1.0,0.5,,,,,,,,,
,,2006 - 2007,,,,2.0,1.0,0.5,,,,,,
,,2007 - 2008,,,,4.0,16.66,4.17,,,,,,
,,2008 - 2009,,,,4.0,16.66,4.17,,,,,,
,,2009 - 2010,,,,16.0,13.0,0.81,,,,,,
,Buxar,2006 - 2007,,,,4.0,2.0,0.5,,,,,,
,,2007 - 2008,,,,5.0,16.66,3.33,,,,,,
,,2009 - 2010,,,,4.0,3.0,0.75,,,,,,
,Darbhanga,2004 - 2005,2.0,2.0,1.0,,,,,,,,,
,Gaya,2002 - 2003,25.0,18.0,0.72,,,,,,,,,
,,2003 - 2004,228.0,164.0,0.72,,,,,,,,,
,,2004 - 2005,108.0,87.0,0.81,,,,,,,,,
,,2005 - 2006,67.0,54.0,0.81,,,,,,,,,
,,2006 - 2007,,,,134.0,110.0,0.82,,,,,,
,,2007 - 2008,,,,82.0,366.66,4.47,,,,,,
,,2008 - 2009,,,,96.0,427.77,4.46,,,,,,
,,2009 - 2010,,,,65.0,53.0,0.82,,,,,,
,,2012 - 2013,,,,79.0,63.0,0.8,,,,,,
,,2013 - 2014,,,,7.0,6.0,0.86,,,,,,
,,2014 - 2015,,,,27.0,22.0,0.81,,,,,,
,,2015 - 2016,,,,2.0,2.0,1.0,,,,,,
,,2016 - 2017,,,,2.0,2.0,1.0,,,,,,
,,2017 - 2018,,,,1.0,1.0,1.0,,,,,,
,Gopalganj,2002 - 2003,74.0,46.0,0.62,,,,,,,,,
,,2003 - 2004,136.0,98.0,0.72,,,,,,,,,
,,2004 - 2005,239.0,163.0,0.68,,,,,,,,,
,,2005 - 2006,43.0,35.0,0.81,,,,,,,,,
,,2006 - 2007,,,,49.0,40.0,0.82,,,,,,
,,2007 - 2008,,,,45.0,188.88,4.2,,,,,,
,,2008 - 2009,,,,43.0,183.33,4.26,,,,,,
,,2009 - 2010,,,,45.0,37.0,0.82,,,,,,
,,2012 - 2013,,,,7.0,6.0,0.86,,,,,,
,Jehanabad,2003 - 2004,9.0,6.0,0.67,,,,,,,,,
,,2004 - 2005,18.0,14.0,0.78,,,,,,,,,
,,2005 - 2006,52.0,42.0,0.81,,,,,,,,,
,,2006 - 2007,,,,29.0,24.0,0.83,,,,,,
,,2007 - 2008,,,,25.0,111.11,4.44,,,,,,
,,2008 - 2009,,,,2.0,11.11,5.56,,,,,,
,,2009 - 2010,,,,2.0,2.0,1.0,,,,,,
,,2012 - 2013,,,,169.0,137.0,0.81,,,,,,
,,2013 - 2014,,,,183.0,147.0,0.8,,,,,,
,,2014 - 2015,,,,5.0,4.0,0.8,,,,,,
,,2015 - 2016,,,,5.0,4.0,0.8,,,,,,
,,2016 - 2017,,,,5.0,4.0,0.8,,,,,,
,,2019 - 2020,,,,12.0,10.0,0.83,,,,,,
,Kaimur (bhabua),2002 - 2003,14.0,10.0,0.71,,,,,,,,,
,,2005 - 2006,2.0,1.0,0.5,,,,,,,,,
,Katihar,2004 - 2005,4.0,3.0,0.75,,,,,,,,,
,,2005 - 2006,17.0,15.0,0.88,,,,,,,,,
,,2006 - 2007,,,,107.0,93.0,0.87,,,,,,
,,2007 - 2008,,,,107.0,488.88,4.57,,,,,,
,,2008 - 2009,,,,98.0,450.0,4.59,,,,,,
,,2009 - 2010,,,,98.0,80.0,0.82,,,,,,
,,2018 - 2019,,,,8.0,6.0,0.75,,,,,,
,,2019 - 2020,,,,33.0,27.0,0.82,,,,,,
,,2020 - 2021,,,,15.0,12.0,0.8,,,,,,
,Khagaria,2002 - 2003,219.0,156.0,0.71,,,,,,,,,
,,2003 - 2004,184.0,135.0,0.73,,,,,,,,,
,,2004 - 2005,202.0,163.0,0.81,,,,,,,,,
,,2005 - 2006,195.0,158.0,0.81,,,,,,,,,
,,2006 - 2007,,,,151.0,124.0,0.82,,,,,,
,,2007 - 2008,,,,142.0,622.22,4.38,,,,,,
