state,district,year,small_millets_kharif_area_hectare,small_millets_kharif_production_tonne,small_millets_kharif_yield_tonne_per_hectare,small_millets_rabi_area_hectare,small_millets_rabi_production_tonne,small_millets_rabi_yield_tonne_per_hectare,small_millets_whole_year_area_hectare,small_millets_whole_year_production_tonne,small_millets_whole_year_yield_tonne_per_hectare,small_millets_summer_area_hectare,small_millets_summer_production_tonne,small_millets_summer_yield_tonne_per_hectare,small_millets_autumn_area_hectare,small_millets_autumn_production_tonne,small_millets_autumn_yield_tonne_per_hectare
Andhra Pradesh,Alluri sitharama raju,2022 - 2023,,,0.5,,,,,,,,,,,,
,Anantapur,2000 - 2001,,,0.7,96.0,67.0,0.7,,,,,,,,,
,,2001 - 2002,,627.0,0.44,,,,,,,,,,,,
,,2002 - 2003,919.0,180.0,0.2,10.0,2.0,0.2,,,,,,,,,
,,2003 - 2004,,299.0,0.21,70.0,13.0,0.19,,,,,,,,,
,,2004 - 2005,661.0,307.0,0.46,36.0,17.0,0.47,,,,,,,,,
,,2005 - 2006,854.0,455.0,0.53,,,,,,,,,,,,
,,2006 - 2007,450.0,48.0,0.11,,,,,,,,,,,,
,,2008 - 2009,112.0,88.0,0.79,,,,,,,,,,,,
,,2009 - 2010,,63.0,0.06,,,,,,,,,,,,
,,2010 - 2011,371.0,345.0,0.93,,,,,,,,,,,,
,,2011 - 2012,,714.0,0.65,10.0,7.0,0.7,,,,,,,,,
,,2012 - 2013,,,2.0,,,,,,,,,,,,
,,2013 - 2014,935.0,856.0,0.92,11.0,10.0,0.91,,,,,,,,,
,,2014 - 2015,691.0,606.0,0.88,47.0,41.0,0.87,,,,,,,,,
,,2015 - 2016,,,0.71,53.0,38.0,0.72,,,,,,,,,
,,2016 - 2017,,,0.63,18.0,12.0,0.67,,,,,,,,,
,,2017 - 2018,,,1.2,3.0,4.0,1.33,,,,,,,,,
,,2018 - 2019,640.0,140.0,0.22,41.0,6.0,0.15,,,,,,,,,
,,2019 - 2020,,,0.45,55.0,20.0,0.36,,,,,,,,,
,,2020 - 2021,,,0.56,255.0,181.0,0.71,,,,,,,,,
,,2021 - 2022,,507.0,0.18,717.0,599.0,0.84,,,,,,,,,
,,2022 - 2023,,,0.51,540.0,839.0,1.55,,,,,,,,,
,Annamayya,2022 - 2023,17.0,9.0,0.53,1.0,2.0,2.0,,,,,,,,,
,Bapatla,2022 - 2023,,,,4.0,7.0,1.75,,,,,,,,,
,Chittoor,2000 - 2001,,596.0,0.25,,,,,,,,,,,,
,,2001 - 2002,,532.0,0.27,,,,,,,,,,,,
,,2002 - 2003,,364.0,0.22,,,,,,,,,,,,
,,2003 - 2004,,710.0,0.34,,,,,,,,,,,,
,,2004 - 2005,,652.0,0.34,,,,,,,,,,,,
