state,district,year,sugarcane_whole_year_area_hectare,sugarcane_whole_year_production_tonne,sugarcane_whole_year_yield_tonne_per_hectare,sugarcane_autumn_area_hectare,sugarcane_autumn_production_tonne,sugarcane_autumn_yield_tonne_per_hectare,sugarcane_kharif_area_hectare,sugarcane_kharif_production_tonne,sugarcane_kharif_yield_tonne_per_hectare,sugarcane_winter_area_hectare,sugarcane_winter_production_tonne,sugarcane_winter_yield_tonne_per_hectare,sugarcane_rabi_area_hectare,sugarcane_rabi_production_tonne,sugarcane_rabi_yield_tonne_per_hectare,sugarcane_summer_area_hectare,sugarcane_summer_production_tonne,sugarcane_summer_yield_tonne_per_hectare
Andaman and Nicobar Islands,Nicobars,2000 - 2001,1.0,2.0,2.0,,,,,,,,,,,,,,,
,,2001 - 2002,1.0,1.0,1.0,,,,,,,,,,,,,,,
,,2002 - 2003,5.0,40.0,8.0,,,,,,,,,,,,,,,
,,2006 - 2007,0.2,0.5,2.5,,,,,,,,,,,,,,,
,,2010 - 2011,,,,13.4,41.75,3.12,,,,,,,,,,,,
,,2011 - 2012,,,,4.5,10.5,2.33,,,,,,,,,,,,
,,2012 - 2013,,,,6.6,3.7,0.56,,,,,,,,,,,,
,,2013 - 2014,,,,11.0,373.4,33.95,,,,,,,,,,,,
,,2014 - 2015,,,,22.2,254.0,11.44,,,,,,,,,,,,
,,2015 - 2016,,,,6.0,12.0,2.0,,,,,,,,,,,,
,,2016 - 2017,,,,18.43,27.0,1.47,,,,,,,,,,,,
,,2017 - 2018,,,,17.0,13.2,0.78,,,,,,,,,,,,
,,2018 - 2019,,,,3.0,10.0,3.33,,,,,,,,,,,,
,,2019 - 2020,,,,3.7,15.0,4.05,,,,,,,,,,,,
,,2020 - 2021,,,,3.3,13.5,4.09,,,,,,,,,,,,
,,2021 - 2022,,,,5.5,30.1,5.47,,,,,,,,,,,,
,North and middle andaman,2000 - 2001,141.0,,26.5,,,,,,,,,,,,,,,
,,2001 - 2002,81.0,,29.37,,,,,,,,,,,,,,,
,,2006 - 2007,71.3,,21.04,,,,,,,,,,,,,,,
,,2010 - 2011,,,,73.33,889.2,12.13,,,,,,,,,,,,
,,2011 - 2012,,,,105.0,,18.02,,,,,,,,,,,,
,,2012 - 2013,,,,205.4,,22.53,,,,,,,,,,,,
,,2013 - 2014,,,,201.0,,23.41,,,,,,,,,,,,
,,2014 - 2015,,,,108.0,,14.29,,,,,,,,,,,,
,,2015 - 2016,,,,48.5,830.0,17.11,,,,,,,,,,,,
,,2016 - 2017,,,,44.7,495.64,11.09,,,,,,,,,,,,
,,2017 - 2018,,,,54.05,153.73,2.84,,,,,,,,,,,,
,,2018 - 2019,,,,94.83,385.43,4.06,,,,,,,,,,,,
,,2019 - 2020,,,,61.31,440.82,7.19,,,,,,,,,,,,
,,2020 - 2021,,,,88.8,393.93,4.44,,,,,,,,,,,,
,,2021 - 2022,,,,47.1,205.26,4.36,,,,,,,,,,,,
,,2022 - 2023,,,,33.0,238.0,7.21,,,,,,,,,,,,
,South andamans,2002 - 2003,455.0,,30.24,,,,,,,,,,,,,,,
,,2003 - 2004,268.0,,10.74,,,,,,,,,,,,,,,
,,2004 - 2005,145.26,,10.74,,,,,,,,,,,,,,,
,,2005 - 2006,128.02,,19.12,,,,,,,,,,,,,,,
,,2006 - 2007,53.5,999.5,18.68,,,,,,,,,,,,,,,
,,2010 - 2011,,,,67.5,402.0,5.96,,,,,,,,,,,,
,,2011 - 2012,,,,61.8,562.0,9.09,,,,,,,,,,,,
,,2012 - 2013,,,,62.5,,20.03,,,,,,,,,,,,
,,2013 - 2014,,,,57.5,,35.79,,,,,,,,,,,,
,,2014 - 2015,,,,59.8,,36.09,,,,,,,,,,,,
,,2015 - 2016,,,,54.8,,27.52,,,,,,,,,,,,
,,2016 - 2017,,,,58.2,,17.54,,,,,,,,,,,,
,,2017 - 2018,,,,39.47,221.77,5.62,,,,,,,,,,,,
,,2018 - 2019,,,,18.55,261.25,14.08,,,,,,,,,,,,
,,2019 - 2020,,,,23.45,373.82,15.94,,,,,,,,,,,,
,,2020 - 2021,,,,52.84,,47.26,,,,,,,,,,,,
,,2021 - 2022,,,,92.65,,29.69,,,,,,,,,,,,
,,2022 - 2023,,,,92.75,,29.64,,,,,,,,,,,,
Andhra Pradesh,Alluri sitharama raju,2022 - 2023,,,,,,,47.0,,71.02,,,,,,,,,
,Anakapalli,2022 - 2023,,,,,,,,,58.82,,,,,,,,,
,Anantapur,2000 - 2001,284.0,,89.42,,,,,,,,,,,,,,,
,,2001 - 2002,490.0,,86.67,,,,,,,,,,,,,,,
,,2002 - 2003,329.0,,68.33,,,,,,,,,,,,,,,
,,2003 - 2004,454.0,,71.33,,,,,,,,,,,,,,,
,,2004 - 2005,400.0,,85.18,,,,,,,,,,,,,,,
,,2005 - 2006,227.0,,90.8,,,,,,,,,,,,,,,
,,2006 - 2007,339.0,,91.26,,,,,,,,,,,,,,,
,,2008 - 2009,131.0,,93.93,,,,,,,,,,,,,,,
,,2009 - 2010,112.0,,89.0,,,,,,,,,,,,,,,
,,2010 - 2011,235.0,,89.28,,,,,,,,,,,,,,,
,,2011 - 2012,410.0,,95.58,,,,,,,,,,,,,,,
,,2013 - 2014,281.0,,94.32,,,,,,,,,,,,,,,
,,2014 - 2015,30.0,,81.87,,,,,,,,,,,,,,,
,,2015 - 2016,77.0,,82.58,,,,,,,,,,,,,,,
,,2016 - 2017,95.0,,100.0,,,,,,,,,,,,,,,
,,2017 - 2018,86.0,,104.43,,,,,,,,,,,,,,,
,,2018 - 2019,,,,,,,173.0,,95.0,,,,,,,,,
,,2019 - 2020,,,,,,,172.0,,99.72,,,,,,,,,
,,2020 - 2021,,,,,,,62.0,,97.97,,,,,,,,,
,,2021 - 2022,,,,,,,26.0,,86.08,,,,,,,,,
,,2022 - 2023,,,,,,,32.0,,99.31,,,,,,,,,
,Annamayya,2022 - 2023,,,,,,,115.0,,98.85,,,,,,,,,
,Bapatla,2022 - 2023,,,,,,,119.0,,79.0,,,,,,,,,
,Chittoor,2000 - 2001,,,91.21,,,,,,,,,,,,,,,
,,2001 - 2002,,,86.04,,,,,,,,,,,,,,,
,,2002 - 2003,,,68.08,,,,,,,,,,,,,,,
,,2003 - 2004,,,70.1,,,,,,,,,,,,,,,
,,2004 - 2005,,,85.07,,,,,,,,,,,,,,,
,,2005 - 2006,,,87.85,,,,,,,,,,,,,,,
,,2006 - 2007,,,92.11,,,,,,,,,,,,,,,
,,2007 - 2008,,,93.97,,,,,,,,,,,,,,,
,,2008 - 2009,,,84.11,,,,,,,,,,,,,,,
,,2009 - 2010,,,83.15,,,,,,,,,,,,,,,
,,2010 - 2011,,,83.38,,,,,,,,,,,,,,,
,,2011 - 2012,,,90.73,,,,,,,,,,,,,,,
,,2012 - 2013,,,89.0,,,,,,,,,,,,,,,
,,2013 - 2014,,,91.04,,,,,,,,,,,,,,,
,,2014 - 2015,,,79.05,,,,,,,,,,,,,,,
,,2015 - 2016,,,80.76,,,,,,,,,,,,,,,
,,2016 - 2017,,,87.83,,,,,,,,,,,,,,,
,,2017 - 2018,,,95.58,,,,,,,,,,,,,,,
,,2018 - 2019,,,,,,,,,87.13,,,,,,,,,
,,2019 - 2020,,,,,,,,,93.17,,,,,,,,,
,,2020 - 2021,,,,,,,,,91.15,,,,,,,,,
,,2021 - 2022,,,,,,,,,96.68,,,,,,,,,
,,2022 - 2023,,,,,,,,,93.87,,,,,,,,,
,East godavari,2000 - 2001,,,88.93,,,,,,,,,,,,,,,
,,2001 - 2002,,,89.98,,,,,,,,,,,,,,,
,,2002 - 2003,,,82.31,,,,,,,,,,,,,,,
,,2003 - 2004,,,85.83,,,,,,,,,,,,,,,
,,2004 - 2005,,,84.99,,,,,,,,,,,,,,,
,,2005 - 2006,,,79.57,,,,,,,,,,,,,,,
,,2006 - 2007,,,89.04,,,,,,,,,,,,,,,
,,2007 - 2008,,,87.53,,,,,,,,,,,,,,,
,,2008 - 2009,,,85.28,,,,,,,,,,,,,,,
,,2009 - 2010,,,93.54,,,,,,,,,,,,,,,
,,2010 - 2011,,,83.25,,,,,,,,,,,,,,,
,,2011 - 2012,,,84.76,,,,,,,,,,,,,,,
,,2012 - 2013,,,79.36,,,,,,,,,,,,,,,
,,2013 - 2014,,,84.1,,,,,,,,,,,,,,,
,,2014 - 2015,,,85.16,,,,,,,,,,,,,,,
,,2015 - 2016,,,89.1,,,,,,,,,,,,,,,
,,2016 - 2017,,,89.72,,,,,,,,,,,,,,,
,,2017 - 2018,,,88.42,,,,,,,,,,,,,,,
,,2018 - 2019,,,,,,,,,90.28,,,,,,,,,
,,2019 - 2020,,,,,,,,,89.16,,,,,,,,,
,,2020 - 2021,,,,,,,,,76.72,,,,,,,,,
,,2021 - 2022,,,,,,,922.0,,77.91,,,,,,,,,
,,2022 - 2023,,,,,,,,,88.41,,,,,,,,,
,Eluru,2022 - 2023,,,,,,,,,96.02,,,,,,,,,
,Guntur,2000 - 2001,,,79.85,,,,,,,,,,,,,,,
,,2001 - 2002,,,81.81,,,,,,,,,,,,,,,
,,2002 - 2003,,,66.13,,,,,,,,,,,,,,,
,,2003 - 2004,,,71.47,,,,,,,,,,,,,,,
,,2004 - 2005,,,76.41,,,,,,,,,,,,,,,
,,2005 - 2006,,,71.06,,,,,,,,,,,,,,,
,,2006 - 2007,,,78.98,,,,,,,,,,,,,,,
,,2007 - 2008,,,58.5,,,,,,,,,,,,,,,
,,2008 - 2009,762.0,,75.33,,,,,,,,,,,,,,,
,,2009 - 2010,409.0,,100.74,,,,,,,,,,,,,,,
,,2010 - 2011,908.0,,85.28,,,,,,,,,,,,,,,
,,2011 - 2012,967.0,,104.0,,,,,,,,,,,,,,,
,,2013 - 2014,420.0,,102.86,,,,,,,,,,,,,,,
,,2014 - 2015,470.0,,98.09,,,,,,,,,,,,,,,
,,2015 - 2016,332.0,,103.19,,,,,,,,,,,,,,,
,,2016 - 2017,267.0,,106.15,,,,,,,,,,,,,,,
,,2017 - 2018,226.0,,106.59,,,,,,,,,,,,,,,
,,2018 - 2019,,,,,,,221.0,,95.78,,,,,,,,,
,,2019 - 2020,,,,,,,120.0,,91.72,,,,,,,,,
,,2020 - 2021,,,,,,,158.0,,91.46,,,,,,,,,
,,2021 - 2022,,,,,,,153.0,,95.27,,,,,,,,,
,,2022 - 2023,,,,,,,82.0,,71.32,,,,,,,,,
,Kadapa,2000 - 2001,356.0,,92.36,,,,,,,,,,,,,,,
,,2001 - 2002,674.0,,93.11,,,,,,,,,,,,,,,
,,2002 - 2003,,,73.86,,,,,,,,,,,,,,,
,,2003 - 2004,555.0,,72.49,,,,,,,,,,,,,,,
,,2004 - 2005,377.0,,89.03,,,,,,,,,,,,,,,
,,2005 - 2006,922.0,,95.8,,,,,,,,,,,,,,,
,,2006 - 2007,,,97.8,,,,,,,,,,,,,,,
,,2007 - 2008,,,82.0,,,,,,,,,,,,,,,
,,2008 - 2009,68.0,,75.0,,,,,,,,,,,,,,,
,,2009 - 2010,140.0,,87.63,,,,,,,,,,,,,,,
,,2010 - 2011,835.0,,90.31,,,,,,,,,,,,,,,
,,2011 - 2012,735.0,,81.39,,,,,,,,,,,,,,,
,,2013 - 2014,550.0,,64.4,,,,,,,,,,,,,,,
,,2014 - 2015,373.0,,82.09,,,,,,,,,,,,,,,
,,2015 - 2016,261.0,,74.66,,,,,,,,,,,,,,,
,,2016 - 2017,245.0,,77.57,,,,,,,,,,,,,,,
,,2017 - 2018,276.0,,97.29,,,,,,,,,,,,,,,
,,2018 - 2019,,,,,,,402.0,,65.47,,,,,,,,,
,,2019 - 2020,,,,,,,182.0,,71.0,,,,,,,,,
,,2020 - 2021,,,,,,,70.0,,76.44,,,,,,,,,
,,2021 - 2022,,,,,,,125.0,,69.2,,,,,,,,,
,,2022 - 2023,,,,,,,87.0,,95.45,,,,,,,,,
,Kakinada,2022 - 2023,,,,,,,678.0,,89.05,,,,,,,,,
,Krishna,2000 - 2001,,,109.22,,,,,,,,,,,,,,,
,,2001 - 2002,,,104.04,,,,,,,,,,,,,,,
,,2002 - 2003,,,100.98,,,,,,,,,,,,,,,
,,2003 - 2004,,,75.44,,,,,,,,,,,,,,,
,,2004 - 2005,,,100.77,,,,,,,,,,,,,,,
,,2005 - 2006,,,83.49,,,,,,,,,,,,,,,
,,2006 - 2007,,,91.4,,,,,,,,,,,,,,,
,,2007 - 2008,,,103.44,,,,,,,,,,,,,,,
,,2008 - 2009,,,95.37,,,,,,,,,,,,,,,
,,2009 - 2010,,,87.36,,,,,,,,,,,,,,,
,,2010 - 2011,,,94.63,,,,,,,,,,,,,,,
,,2011 - 2012,,,101.21,,,,,,,,,,,,,,,
,,2012 - 2013,,,85.88,,,,,,,,,,,,,,,
,,2013 - 2014,,,89.8,,,,,,,,,,,,,,,
,,2014 - 2015,,,83.79,,,,,,,,,,,,,,,
,,2015 - 2016,,,102.48,,,,,,,,,,,,,,,
,,2016 - 2017,,,90.47,,,,,,,,,,,,,,,
,,2017 - 2018,,,92.19,,,,,,,,,,,,,,,
,,2018 - 2019,,,,,,,,,99.37,,,,,,,,,
,,2019 - 2020,,,,,,,,,92.73,,,,,,,,,
,,2020 - 2021,,,,,,,,,90.5,,,,,,,,,
,,2021 - 2022,,,,,,,,,100.81,,,,,,,,,
,,2022 - 2023,,,,,,,,,108.55,,,,,,,,,
,Kurnool,2000 - 2001,47.0,,71.89,,,,,,,,,,,,,,,
,,2001 - 2002,48.0,,86.98,,,,,,,,,,,,,,,
,,2002 - 2003,80.0,,73.83,,,,,,,,,,,,,,,
,,2003 - 2004,435.0,,72.5,,,,,,,,,,,,,,,
,,2004 - 2005,393.0,,87.52,,,,,,,,,,,,,,,
,,2005 - 2006,,,96.66,,,,,,,,,,,,,,,
,,2006 - 2007,,,93.8,,,,,,,,,,,,,,,
,,2007 - 2008,,,71.5,,,,,,,,,,,,,,,
,,2008 - 2009,,,89.84,,,,,,,,,,,,,,,
,,2009 - 2010,,,82.62,,,,,,,,,,,,,,,
,,2010 - 2011,,,97.19,,,,,,,,,,,,,,,
,,2011 - 2012,985.0,,101.79,,,,,,,,,,,,,,,
,,2012 - 2013,,,69.0,,,,,,,,,,,,,,,
,,2013 - 2014,751.0,,107.08,,,,,,,,,,,,,,,
,,2014 - 2015,714.0,,116.79,,,,,,,,,,,,,,,
,,2015 - 2016,960.0,,99.6,,,,,,,,,,,,,,,
,,2016 - 2017,406.0,,105.19,,,,,,,,,,,,,,,
,,2017 - 2018,453.0,,130.81,,,,,,,,,,,,,,,
,,2018 - 2019,,,,,,,695.0,,90.36,,,,,,,,,
,,2019 - 2020,,,,,,,345.0,,86.48,,,,,,,,,
,,2020 - 2021,,,,,,,186.0,,109.66,,,,,,,,,
,,2021 - 2022,,,,,,,128.0,,111.75,,,,,,,,,
,,2022 - 2023,,,,,,,160.0,,96.08,,,,,,,,,
,Nandyal,2022 - 2023,,,,,,,18.0,,96.94,,,,,,,,,
,Ntr,2022 - 2023,,,,,,,641.0,,72.03,,,,,,,,,
,Palnadu,2022 - 2023,,,,,,,45.0,,68.33,,,,,,,,,
,Parvathipuram manyam,2022 - 2023,,,,,,,,,74.84,,,,,,,,,
,Prakasam,2000 - 2001,272.0,,80.28,,,,,,,,,,,,,,,
,,2001 - 2002,287.0,,81.75,,,,,,,,,,,,,,,
,,2002 - 2003,376.0,,65.0,,,,,,,,,,,,,,,
,,2003 - 2004,289.0,,71.01,,,,,,,,,,,,,,,
,,2004 - 2005,144.0,,74.42,,,,,,,,,,,,,,,
,,2005 - 2006,89.0,,71.96,,,,,,,,,,,,,,,
,,2006 - 2007,124.0,,79.47,,,,,,,,,,,,,,,
,,2008 - 2009,251.0,,80.0,,,,,,,,,,,,,,,
,,2009 - 2010,144.0,,74.0,,,,,,,,,,,,,,,
,,2010 - 2011,331.0,,82.0,,,,,,,,,,,,,,,
,,2011 - 2012,423.0,,81.0,,,,,,,,,,,,,,,
,,2012 - 2013,,,51.0,,,,,,,,,,,,,,,
,,2013 - 2014,673.0,,78.95,,,,,,,,,,,,,,,
,,2014 - 2015,900.0,,72.0,,,,,,,,,,,,,,,
,,2015 - 2016,628.0,,79.53,,,,,,,,,,,,,,,
,,2016 - 2017,444.0,,78.0,,,,,,,,,,,,,,,
,,2017 - 2018,233.0,,71.1,,,,,,,,,,,,,,,
,,2018 - 2019,,,,,,,75.0,,82.0,,,,,,,,,
,,2019 - 2020,,,,,,,223.0,,75.61,,,,,,,,,
,,2020 - 2021,,,,,,,167.0,,74.76,,,,,,,,,
,,2021 - 2022,,,,,,,179.0,,76.72,,,,,,,,,
,,2022 - 2023,,,,,,,81.0,,65.67,,,,,,,,,
,Spsr nellore,2000 - 2001,,,80.44,,,,,,,,,,,,,,,
,,2001 - 2002,,,88.32,,,,,,,,,,,,,,,
,,2002 - 2003,,,104.19,,,,,,,,,,,,,,,
,,2003 - 2004,,,96.1,,,,,,,,,,,,,,,
,,2004 - 2005,,,94.53,,,,,,,,,,,,,,,
,,2005 - 2006,,,93.97,,,,,,,,,,,,,,,
,,2006 - 2007,,,114.44,,,,,,,,,,,,,,,
,,2007 - 2008,,,94.6,,,,,,,,,,,,,,,
,,2008 - 2009,,,87.81,,,,,,,,,,,,,,,
,,2009 - 2010,,,100.77,,,,,,,,,,,,,,,
,,2010 - 2011,,,91.87,,,,,,,,,,,,,,,
,,2011 - 2012,,,107.76,,,,,,,,,,,,,,,
,,2012 - 2013,,,97.3,,,,,,,,,,,,,,,
,,2013 - 2014,,,104.37,,,,,,,,,,,,,,,
,,2014 - 2015,,,98.43,,,,,,,,,,,,,,,
,,2015 - 2016,,,103.29,,,,,,,,,,,,,,,
,,2016 - 2017,,,96.64,,,,,,,,,,,,,,,
,,2017 - 2018,962.0,,103.0,,,,,,,,,,,,,,,
,,2018 - 2019,,,,,,,738.0,,84.92,,,,,,,,,
,,2019 - 2020,,,,,,,350.0,,84.55,,,,,,,,,
,,2020 - 2021,,,,,,,22.0,682.0,31.0,,,,,,,,,
,,2021 - 2022,,,,,,,7.0,553.0,79.0,,,,,,,,,
,Sri sathya sai,2022 - 2023,,,,,,,21.0,,92.67,,,,,,,,,
,Srikakulam,2000 - 2001,,,75.8,,,,,,,,,,,,,,,
,,2001 - 2002,,,81.44,,,,,,,,,,,,,,,
,,2002 - 2003,,,65.79,,,,,,,,,,,,,,,
,,2003 - 2004,,,71.29,,,,,,,,,,,,,,,
,,2004 - 2005,,,76.13,,,,,,,,,,,,,,,
,,2005 - 2006,,,72.87,,,,,,,,,,,,,,,
,,2006 - 2007,,,76.09,,,,,,,,,,,,,,,
,,2007 - 2008,,,70.73,,,,,,,,,,,,,,,
,,2008 - 2009,,,76.77,,,,,,,,,,,,,,,
,,2009 - 2010,,,71.41,,,,,,,,,,,,,,,
,,2010 - 2011,,,56.96,,,,,,,,,,,,,,,
,,2011 - 2012,,,69.82,,,,,,,,,,,,,,,
,,2012 - 2013,,,70.29,,,,,,,,,,,,,,,
,,2013 - 2014,,,69.66,,,,,,,,,,,,,,,
,,2014 - 2015,,,68.31,,,,,,,,,,,,,,,
,,2015 - 2016,,,77.41,,,,,,,,,,,,,,,
,,2016 - 2017,,,78.75,,,,,,,,,,,,,,,
,,2017 - 2018,,,84.11,,,,,,,,,,,,,,,
,,2018 - 2019,,,,,,,,,75.47,,,,,,,,,
,,2019 - 2020,,,,,,,,,76.0,,,,,,,,,
,,2020 - 2021,,,,,,,,,72.06,,,,,,,,,
,,2021 - 2022,,,,,,,,,70.0,,,,,,,,,
,,2022 - 2023,,,,,,,945.0,,90.22,,,,,,,,,
,Tirupati,2022 - 2023,,,,,,,,,90.48,,,,,,,,,
