state,district,year,sweet_potato_whole_year_area_hectare,sweet_potato_whole_year_production_tonne,sweet_potato_whole_year_yield_tonne_per_hectare,sweet_potato_rabi_area_hectare,sweet_potato_rabi_production_tonne,sweet_potato_rabi_yield_tonne_per_hectare,sweet_potato_kharif_area_hectare,sweet_potato_kharif_production_tonne,sweet_potato_kharif_yield_tonne_per_hectare
Andaman and Nicobar Islands,Nicobars,2000 - 2001,5.0,15.0,3.0,,,,,,
,,2001 - 2002,11.0,33.0,3.0,,,,,,
,,2006 - 2007,18.0,86.0,4.78,,,,,,
,,2010 - 2011,,,,22.0,208.0,9.45,,,
,,2011 - 2012,,,,23.0,240.0,10.43,,,
,,2012 - 2013,,,,26.0,155.5,5.98,,,
,,2013 - 2014,,,,8.5,50.7,5.96,,,
,,2014 - 2015,,,,16.5,165.0,10.0,,,
,,2015 - 2016,,,,13.0,130.0,10.0,,,
,,2016 - 2017,,,,10.0,83.0,8.3,,,
,,2017 - 2018,,,,7.47,308.26,41.27,,,
,,2018 - 2019,,,,2.14,60.56,28.3,,,
,,2019 - 2020,,,,4.64,132.56,28.57,,,
,,2020 - 2021,,,,5.4,131.11,24.28,,,
,,2021 - 2022,,,,6.0,126.5,21.08,,,
,,2022 - 2023,,,,24.5,150.0,6.12,,,
,North and middle andaman,2000 - 2001,78.0,843.0,10.81,,,,,,
,,2001 - 2002,100.0,5.0,0.05,,,,,,
,,2006 - 2007,30.0,240.0,8.0,,,,,,
,,2010 - 2011,,,,109.0,480.0,4.4,,,
,,2011 - 2012,,,,101.0,425.0,4.21,,,
,,2012 - 2013,,,,93.6,548.7,5.86,,,
,,2013 - 2014,,,,104.4,,17.12,,,
,,2014 - 2015,,,,76.6,,21.17,,,
,,2015 - 2016,,,,24.5,185.0,7.55,,,
,,2016 - 2017,,,,30.0,223.0,7.43,,,
,,2017 - 2018,,,,31.69,486.17,15.34,,,
,,2018 - 2019,,,,26.87,260.97,9.71,,,
,,2019 - 2020,,,,30.11,198.43,6.59,,,
,,2020 - 2021,,,,34.43,387.01,11.24,,,
,,2021 - 2022,,,,23.03,202.23,8.78,,,
,,2022 - 2023,,,,21.45,272.72,12.71,,,
,South andamans,2005 - 2006,131.9,700.35,5.31,,,,,,
,,2006 - 2007,30.4,220.0,7.24,,,,,,
,,2010 - 2011,,,,32.0,235.0,7.34,,,
,,2011 - 2012,,,,26.0,180.0,6.92,,,
,,2012 - 2013,,,,25.4,145.8,5.74,,,
,,2013 - 2014,,,,55.5,855.5,15.41,,,
,,2014 - 2015,,,,55.9,875.5,15.66,,,
,,2015 - 2016,,,,46.0,445.0,9.67,,,
,,2016 - 2017,,,,27.0,547.0,20.26,,,
,,2017 - 2018,,,,5.5,546.3,99.33,,,
,,2018 - 2019,,,,5.0,160.0,32.0,,,
,,2019 - 2020,,,,6.55,318.55,48.63,,,
,,2020 - 2021,,,,20.1,265.26,13.2,,,
,,2021 - 2022,,,,20.6,273.54,13.28,,,
,,2022 - 2023,,,,21.75,287.75,13.23,,,
Andhra Pradesh,Alluri sitharama raju,2022 - 2023,,,,,,,236.0,,18.78
,Anakapalli,2022 - 2023,,,,1.0,19.0,19.0,,,
,Anantapur,2000 - 2001,28.0,379.0,13.54,,,,,,
,,2001 - 2002,31.0,411.0,13.26,,,,,,
,,2002 - 2003,50.0,540.0,10.8,,,,,,
,,2003 - 2004,30.0,217.0,7.23,,,,,,
,,2004 - 2005,33.0,68.0,2.06,,,,,,
,,2005 - 2006,23.0,121.0,5.26,,,,,,
,,2006 - 2007,25.0,137.0,5.48,,,,,,
,,2009 - 2010,13.0,77.0,5.92,,,,,,
,,2010 - 2011,4.0,51.0,12.75,,,,,,
,,2011 - 2012,2.0,26.0,13.0,,,,,,
,,2012 - 2013,,,,7.0,67.0,9.57,,,
,,2013 - 2014,,,,1.0,9.0,9.0,,,
,,2014 - 2015,,,,4.0,44.0,11.0,,,
,,2017 - 2018,,,,,,,9.0,142.0,15.78
,,2018 - 2019,,,,15.0,304.0,20.27,,,
