state,district,year,tobacco_kharif_area_hectare,tobacco_kharif_production_tonne,tobacco_kharif_yield_tonne_per_hectare,tobacco_rabi_area_hectare,tobacco_rabi_production_tonne,tobacco_rabi_yield_tonne_per_hectare,tobacco_whole_year_area_hectare,tobacco_whole_year_production_tonne,tobacco_whole_year_yield_tonne_per_hectare,tobacco_summer_area_hectare,tobacco_summer_production_tonne,tobacco_summer_yield_tonne_per_hectare
Andhra Pradesh,Alluri sitharama raju,2022 - 2023,116.0,256.0,2.21,102.0,262.0,2.57,,,,,,
,Anakapalli,2022 - 2023,1.0,3.0,3.0,14.0,28.0,2.0,,,,,,
,Anantapur,2000 - 2001,,,,,,,89.0,114.0,1.28,,,
,,2001 - 2002,,,,,,,111.0,111.0,1.0,,,
,,2002 - 2003,,,,,,,51.0,90.0,1.76,,,
,,2003 - 2004,,,,,,,20.0,25.0,1.25,,,
,,2004 - 2005,,,,,,,49.0,53.0,1.08,,,
,,2005 - 2006,,,,,,,1.0,1.0,1.0,,,
,,2008 - 2009,,,,,,,99.0,158.0,1.6,,,
,,2009 - 2010,,,,,,,700.0,,1.68,,,
,,2010 - 2011,,,,,,,174.0,282.0,1.62,,,
,,2011 - 2012,,,,,,,140.0,226.0,1.61,,,
,,2013 - 2014,6.0,11.0,1.83,183.0,309.0,1.69,,,,,,
,,2014 - 2015,15.0,43.0,2.87,341.0,635.0,1.86,,,,,,
,,2015 - 2016,18.0,32.0,1.78,201.0,261.0,1.3,,,,,,
,,2016 - 2017,24.0,40.0,1.67,46.0,71.0,1.54,,,,,,
,,2017 - 2018,16.0,22.0,1.38,16.0,12.0,0.75,,,,,,
,,2018 - 2019,10.0,12.0,1.2,11.0,13.0,1.18,,,,,,
,,2019 - 2020,,,,2.0,4.0,2.0,,,,,,
,,2020 - 2021,,,,12.0,26.0,2.17,,,,,,
,,2021 - 2022,1.0,2.0,2.0,9.0,18.0,2.0,,,,,,
,,2022 - 2023,,,,12.0,27.0,2.25,,,,,,
,Bapatla,2022 - 2023,1.0,2.0,2.0,,,2.61,,,,,,
,Chittoor,2000 - 2001,,,,,,,14.0,13.0,0.93,,,
,,2001 - 2002,,,,,,,33.0,38.0,1.15,,,
,,2002 - 2003,,,,,,,66.0,107.0,1.62,,,
,,2003 - 2004,,,,,,,2.0,3.0,1.5,,,
,,2004 - 2005,,,,,,,4.0,4.0,1.0,,,
,,2005 - 2006,,,,,,,7.0,7.0,1.0,,,
,,2006 - 2007,,,,,,,114.0,134.0,1.18,,,
,,2008 - 2009,,,,,,,225.0,359.0,1.6,,,
,,2009 - 2010,,,,,,,301.0,508.0,1.69,,,
,,2010 - 2011,,,,,,,130.0,229.0,1.76,,,
,,2011 - 2012,,,,,,,51.0,82.0,1.61,,,
,,2013 - 2014,8.0,15.0,1.88,64.0,116.0,1.81,,,,,,
,,2014 - 2015,,,,47.0,141.0,3.0,,,,,,
,,2015 - 2016,,,,4.0,7.0,1.75,,,,,,
,East godavari,2000 - 2001,,,,,,,,,1.62,,,
,,2001 - 2002,,,,,,,,,1.59,,,
,,2002 - 2003,,,,,,,,,2.76,,,
,,2003 - 2004,,,,,,,,,3.02,,,
,,2004 - 2005,,,,,,,,,1.39,,,
,,2005 - 2006,,,,,,,,,1.81,,,
,,2006 - 2007,,,,,,,,,1.85,,,
,,2007 - 2008,,,,,,,,,1.0,,,
,,2008 - 2009,,,,,,,,,3.99,,,
,,2009 - 2010,,,,,,,,,2.09,,,
,,2010 - 2011,,,,,,,,,2.45,,,
,,2011 - 2012,,,,,,,,,2.8,,,
