state,district,year,turmeric_whole_year_area_hectare,turmeric_whole_year_production_tonne,turmeric_whole_year_yield_tonne_per_hectare,turmeric_rabi_area_hectare,turmeric_rabi_production_tonne,turmeric_rabi_yield_tonne_per_hectare,turmeric_kharif_area_hectare,turmeric_kharif_production_tonne,turmeric_kharif_yield_tonne_per_hectare,turmeric_summer_area_hectare,turmeric_summer_production_tonne,turmeric_summer_yield_tonne_per_hectare
Andaman and Nicobar Islands,Nicobars,2005 - 2006,10.0,70.0,7.0,,,,,,,,,
,,2006 - 2007,2.5,1.03,0.41,,,,,,,,,
,,2010 - 2011,,,,2.0,0.5,0.25,,,,,,
,,2011 - 2012,,,,2.0,1.0,0.5,,,,,,
,,2012 - 2013,,,,2.0,12.1,6.05,,,,,,
,,2016 - 2017,,,,5.0,0.9,0.18,,,,,,
,,2017 - 2018,,,,5.0,0.9,0.18,,,,,,
,,2018 - 2019,,,,3.83,0.65,0.17,,,,,,
,,2019 - 2020,,,,5.4,9.8,1.81,,,,,,
,,2020 - 2021,,,,4.0,2.0,0.5,,,,,,
,,2021 - 2022,,,,2.0,1.2,0.6,,,,,,
,,2022 - 2023,,,,1.0,0.51,0.51,,,,,,
,North and middle andaman,2006 - 2007,68.0,408.0,6.0,,,,,,,,,
,,2010 - 2011,,,,68.0,376.5,5.54,,,,,,
,,2011 - 2012,,,,68.6,380.4,5.55,,,,,,
,,2012 - 2013,,,,67.0,403.5,6.02,,,,,,
,,2013 - 2014,,,,63.4,559.5,8.82,,,,,,
,,2014 - 2015,,,,93.8,725.5,7.73,,,,,,
,,2015 - 2016,,,,89.0,894.4,10.05,,,,,,
,,2016 - 2017,,,,89.5,878.25,9.81,,,,,,
,,2017 - 2018,,,,83.73,729.91,8.72,,,,,,
,,2018 - 2019,,,,51.63,193.03,3.74,,,,,,
,,2019 - 2020,,,,51.91,120.23,2.32,,,,,,
,,2020 - 2021,,,,52.82,205.08,3.88,,,,,,
,,2021 - 2022,,,,54.2,176.63,3.26,,,,,,
