state,district,year,urad_rabi_area_hectare,urad_rabi_production_tonne,urad_rabi_yield_tonne_per_hectare,urad_kharif_area_hectare,urad_kharif_production_tonne,urad_kharif_yield_tonne_per_hectare,urad_summer_area_hectare,urad_summer_production_tonne,urad_summer_yield_tonne_per_hectare,urad_autumn_area_hectare,urad_autumn_production_tonne,urad_autumn_yield_tonne_per_hectare,urad_whole_year_area_hectare,urad_whole_year_production_tonne,urad_whole_year_yield_tonne_per_hectare,urad_winter_area_hectare,urad_winter_production_tonne,urad_winter_yield_tonne_per_hectare
Andaman and Nicobar Islands,Nicobars,2010 - 2011,1.5,1.16,0.77,,,,,,,,,,,,,,,
,,2013 - 2014,6.3,2.5,0.4,,,,,,,,,,,,,,,
,,2020 - 2021,2.05,5.0,2.44,,,,,,,,,,,,,,,
,North and middle andaman,2010 - 2011,,458.79,0.43,,,,,,,,,,,,,,,
,,2011 - 2012,735.4,407.6,0.55,,,,,,,,,,,,,,,
,,2012 - 2013,663.8,347.1,0.52,,,,,,,,,,,,,,,
,,2013 - 2014,242.3,111.9,0.46,,,,,,,,,,,,,,,
,,2014 - 2015,547.4,323.6,0.59,,,,,,,,,,,,,,,
,,2015 - 2016,518.5,374.2,0.72,,,,,,,,,,,,,,,
,,2016 - 2017,755.75,243.66,0.32,,,,,,,,,,,,,,,
,,2017 - 2018,338.1,98.54,0.29,,,,,,,,,,,,,,,
,,2018 - 2019,181.2,29.24,0.16,,,,,,,,,,,,,,,
,,2019 - 2020,154.9,83.08,0.54,,,,,,,,,,,,,,,
,,2020 - 2021,405.0,159.03,0.39,,,,,,,,,,,,,,,
,,2021 - 2022,356.39,107.0,0.3,,,,,,,,,,,,,,,
,,2022 - 2023,330.2,118.08,0.36,,,,,,,,,,,,,,,
,South andamans,2010 - 2011,34.0,15.05,0.44,,,,,,,,,,,,,,,
,,2011 - 2012,9.5,3.3,0.35,,,,,,,,,,,,,,,
,,2012 - 2013,17.6,8.5,0.48,,,,,,,,,,,,,,,
,,2013 - 2014,6.5,3.1,0.48,,,,,,,,,,,,,,,
,,2014 - 2015,4.7,1.7,0.36,,,,,,,,,,,,,,,
,,2015 - 2016,6.5,1.8,0.28,,,,,,,,,,,,,,,
,,2016 - 2017,5.0,1.0,0.2,,,,,,,,,,,,,,,
,,2017 - 2018,16.7,17.5,1.05,,,,,,,,,,,,,,,
,,2019 - 2020,1.0,0.02,0.02,,,,,,,,,,,,,,,
,,2020 - 2021,5.55,0.04,0.01,,,,,,,,,,,,,,,
,,2021 - 2022,5.55,0.04,0.01,,,,,,,,,,,,,,,
,,2022 - 2023,1.2,0.59,0.49,,,,,,,,,,,,,,,
Andhra Pradesh,Alluri sitharama raju,2022 - 2023,,,0.88,869.0,611.0,0.7,,,,,,,,,,,,
,Anakapalli,2022 - 2023,,,0.55,244.0,264.0,1.08,,,,,,,,,,,,
,Anantapur,2000 - 2001,363.0,292.0,0.8,135.0,8.0,0.06,,,,,,,,,,,,
,,2001 - 2002,127.0,86.0,0.68,487.0,176.0,0.36,,,,,,,,,,,,
,,2002 - 2003,408.0,236.0,0.58,32.0,2.0,0.06,,,,,,,,,,,,
,,2003 - 2004,,,,82.0,51.0,0.62,,,,,,,,,,,,
,,2004 - 2005,,,,76.0,37.0,0.49,,,,,,,,,,,,
,,2005 - 2006,11.0,7.0,0.64,69.0,24.0,0.35,,,,,,,,,,,,
,,2006 - 2007,24.0,19.0,0.79,69.0,26.0,0.38,,,,,,,,,,,,
,,2009 - 2010,17.0,13.0,0.76,30.0,9.0,0.3,,,,,,,,,,,,
,,2010 - 2011,559.0,299.0,0.53,14.0,6.0,0.43,,,,,,,,,,,,
,,2011 - 2012,446.0,313.0,0.7,32.0,17.0,0.53,,,,,,,,,,,,
,,2013 - 2014,4.0,3.0,0.75,48.0,45.0,0.94,,,,,,,,,,,,
,,2014 - 2015,42.0,61.0,1.45,188.0,249.0,1.32,,,,,,,,,,,,
,,2015 - 2016,142.0,147.0,1.04,637.0,478.0,0.75,,,,,,,,,,,,
,,2016 - 2017,82.0,96.0,1.17,,,1.17,,,,,,,,,,,,
,,2017 - 2018,6.0,8.0,1.33,,,0.8,,,,,,,,,,,,
,,2018 - 2019,24.0,25.0,1.04,62.0,57.0,0.92,,,,,,,,,,,,
,,2019 - 2020,36.0,47.0,1.31,28.0,6.0,0.21,,,,,,,,,,,,
,,2020 - 2021,381.0,512.0,1.34,283.0,53.0,0.19,,,,,,,,,,,,
,,2021 - 2022,735.0,,1.46,251.0,257.0,1.02,,,,,,,,,,,,
,,2022 - 2023,679.0,941.0,1.39,222.0,164.0,0.74,,,,,,,,,,,,
,Annamayya,2022 - 2023,178.0,247.0,1.39,63.0,46.0,0.73,,,,,,,,,,,,
,Bapatla,2022 - 2023,,,1.6,,,0.7,,,,,,,,,,,,
,Chittoor,2000 - 2001,168.0,135.0,0.8,120.0,7.0,0.06,,,,,,,,,,,,
,,2001 - 2002,189.0,129.0,0.68,141.0,51.0,0.36,,,,,,,,,,,,
,,2002 - 2003,260.0,151.0,0.58,133.0,7.0,0.05,,,,,,,,,,,,
