feature,month,tp,e,ro,t2m,stl1,d2m,stl2,swvl1,swvl2,cvh,cvl,slt
A & N Islands_Nicobars,1,0.15589507775196879,-0.14515536693700895,0.0,299.95797375,301.39584874999997,296.2051425,301.39593291666665,7.828219429166665e-07,9.263556091666667e-07,0.0,0.0,0.0
A & N Islands_Nicobars,2,0.07324067913092823,-0.12795097552589138,0.0,300.34777291666666,301.6637183333333,296.2534004166667,301.6552995833333,-1.4579892508333333e-06,-8.020846333333335e-08,0.0,0.0,0.0
A & N Islands_Nicobars,3,0.10703285800749045,-0.1186258536278425,0.0,300.7285704166666,302.28835791666666,296.59193875,302.2765591666667,-1.5091143176666664e-06,-8.345848558333333e-07,0.0,0.0,0.0
A & N Islands_Nicobars,4,0.13420862771454264,-0.10104482236783947,0.0,300.98471083333334,302.98416291666666,297.1796675,302.97679458333334,-2.2797122208333323e-07,2.1655109716666665e-06,0.0,0.0,0.0
A & N Islands_Nicobars,5,0.26518498481406516,-0.13694438842746115,0.0,300.9473704166667,302.7085441666666,297.73589999999996,302.7198275,3.265344545833334e-07,-1.8019305633333334e-06,0.0,0.0,0.0
A & N Islands_Nicobars,6,0.22112049977295098,-0.14982491731643674,0.0,300.80585,302.22564708333334,297.65787958333334,302.2314608333333,-1.8063730716666664e-06,6.442691320833333e-07,0.0,0.0,0.0
A & N Islands_Nicobars,7,0.20500813468242993,-0.1561494947915586,0.0,300.55829,301.90369166666665,297.41052583333334,301.9066891666667,3.2995012593333337e-06,7.177973904166666e-07,0.0,0.0,0.0
A & N Islands_Nicobars,8,0.20104128005914387,-0.15019517166850463,0.0,300.4001641666667,301.75604416666664,297.27830208333336,301.7591516666667,6.168714150833333e-07,2.4104597516666664e-06,0.0,0.0,0.0
A & N Islands_Nicobars,9,0.22112941427621988,-0.1237815225613303,0.0,300.16481875,301.64965,297.07658250000003,301.6509283333333,1.1859242791666665e-07,6.342432620833333e-07,0.0,0.0,0.0
A & N Islands_Nicobars,10,0.2622601059265434,-0.10830637006438333,0.0,299.8857491666667,301.65481416666665,296.8921829166667,301.65169625,5.417027666666666e-07,-1.7896494869583332e-06,0.0,0.0,0.0
