feature,GMM_Cluster,State,District
A & N Islands_Nicobars,11,A & N Islands,Nicobars
A & N Islands_North And Middle Andaman,11,A & N Islands,North And Middle Andaman
A & N Islands_South Andamans,11,A & N Islands,South Andamans
Andhra Pradesh_Alluri Sitharama Raju,3,Andhra Pradesh,Alluri Sitharama Raju
Andhra Pradesh_Anakapalli,3,Andhra Pradesh,Anakapalli
Andhra Pradesh_Anantapur,2,Andhra Pradesh,Anantapur
Andhra Pradesh_Annamayya,2,Andhra Pradesh,Annamayya
Andhra Pradesh_Bapatla,3,Andhra Pradesh,Bapatla
Andhra Pradesh_Chittoor,2,Andhra Pradesh,Chittoor
Andhra Pradesh_East Godavari,3,Andhra Pradesh,East Godavari
Andhra Pradesh_Eluru,3,Andhra Pradesh,Eluru
Andhra Pradesh_Guntur,3,Andhra Pradesh,Guntur
Andhra Pradesh_Kakinada,3,Andhra Pradesh,Kakinada
Andhra Pradesh_Konaseema,3,Andhra Pradesh,Konaseema
Andhra Pradesh_Krishna,3,Andhra Pradesh,Krishna
Andhra Pradesh_Kurnool,0,Andhra Pradesh,Kurnool
Andhra Pradesh_Nandyal,0,Andhra Pradesh,Nandyal
Andhra Pradesh_Ntr,3,Andhra Pradesh,Ntr
Andhra Pradesh_Palnadu,3,Andhra Pradesh,Palnadu
Andhra Pradesh_Parvathipuram Manyam,3,Andhra Pradesh,Parvathipuram Manyam
Andhra Pradesh_Prakasam,2,Andhra Pradesh,Prakasam
Andhra Pradesh_Spsr Nellore,2,Andhra Pradesh,Spsr Nellore
Andhra Pradesh_Sri Sathya Sai,2,Andhra Pradesh,Sri Sathya Sai
Andhra Pradesh_Srikakulam,3,Andhra Pradesh,Srikakulam
Andhra Pradesh_Tirupati,2,Andhra Pradesh,Tirupati
Andhra Pradesh_Visakhapatanam,3,Andhra Pradesh,Visakhapatanam
Andhra Pradesh_Vizianagaram,3,Andhra Pradesh,Vizianagaram
Andhra Pradesh_West Godavari,3,Andhra Pradesh,West Godavari
Andhra Pradesh_Y.s.r.,2,Andhra Pradesh,Y.s.r.
Arunachal Pradesh_Anjaw,9,Arunachal Pradesh,Anjaw
Arunachal Pradesh_Changlang,14,Arunachal Pradesh,Changlang
Arunachal Pradesh_Dibang Valley,6,Arunachal Pradesh,Dibang Valley
Arunachal Pradesh_East Kameng,6,Arunachal Pradesh,East Kameng
Arunachal Pradesh_East Siang,4,Arunachal Pradesh,East Siang
Arunachal Pradesh_Itanagar Capital Complex,4,Arunachal Pradesh,Itanagar Capital Complex
Arunachal Pradesh_Kamle,6,Arunachal Pradesh,Kamle
Arunachal Pradesh_Kra Daadi,6,Arunachal Pradesh,Kra Daadi
Arunachal Pradesh_Kurung Kumey,6,Arunachal Pradesh,Kurung Kumey
Arunachal Pradesh_Leparada,4,Arunachal Pradesh,Leparada
Arunachal Pradesh_Lohit,14,Arunachal Pradesh,Lohit
Arunachal Pradesh_Longding,4,Arunachal Pradesh,Longding
Arunachal Pradesh_Lower Dibang Valley,6,Arunachal Pradesh,Lower Dibang Valley
