State,District,GMM_Cluster
A & N Islands,Nicobars,11
A & N Islands,North And Middle Andaman,11
A & N Islands,South Andamans,11
Andhra Pradesh,Alluri Sitharama Raju,3
Andhra Pradesh,Anakapalli,3
Andhra Pradesh,Anantapur,2
Andhra Pradesh,Annamayya,2
Andhra Pradesh,Bapatla,3
Andhra Pradesh,Chittoor,2
Andhra Pradesh,East Godavari,3
Andhra Pradesh,Eluru,3
Andhra Pradesh,Guntur,3
Andhra Pradesh,Kakinada,3
Andhra Pradesh,Konaseema,3
Andhra Pradesh,Krishna,3
Andhra Pradesh,Kurnool,0
Andhra Pradesh,Nandyal,0
Andhra Pradesh,Ntr,3
Andhra Pradesh,Palnadu,3
Andhra Pradesh,Parvathipuram Manyam,3
Andhra Pradesh,Prakasam,2
Andhra Pradesh,Spsr Nellore,2
Andhra Pradesh,Sri Sathya Sai,2
Andhra Pradesh,Srikakulam,3
Andhra Pradesh,Tirupati,2
Andhra Pradesh,Visakhapatanam,3
Andhra Pradesh,Vizianagaram,3
Andhra Pradesh,West Godavari,3
Andhra Pradesh,Y.s.r.,2
Arunachal Pradesh,Anjaw,9
Arunachal Pradesh,Changlang,14
Arunachal Pradesh,Dibang Valley,6
Arunachal Pradesh,East Kameng,6
Arunachal Pradesh,East Siang,4
Arunachal Pradesh,Itanagar Capital Complex,4
Arunachal Pradesh,Kamle,6
Arunachal Pradesh,Kra Daadi,6
Arunachal Pradesh,Kurung Kumey,6
Arunachal Pradesh,Leparada,4
Arunachal Pradesh,Lohit,14
Arunachal Pradesh,Longding,4
Arunachal Pradesh,Lower Dibang Valley,6
Arunachal Pradesh,Lower Siang,4
Arunachal Pradesh,Lower Subansiri,6
Arunachal Pradesh,Namsai,4
Arunachal Pradesh,Pakke Kessang,4
Arunachal Pradesh,Papum Pare,6
Arunachal Pradesh,Shi Yomi,6
Arunachal Pradesh,Siang,6
Arunachal Pradesh,Tawang,1
Arunachal Pradesh,Tirap,4
Arunachal Pradesh,Upper Siang,6
Arunachal Pradesh,Upper Subansiri,6
Arunachal Pradesh,West Kameng,6
Arunachal Pradesh,West Siang,6
Assam,Bajali,7
Assam,Baksa,7
Assam,Barpeta,4
Assam,Biswanath,4
Assam,Bongaigaon,4
Assam,Cachar,4
Assam,Charaideo,4
Assam,Chirang,4
Assam,Darrang,4
Assam,Dhemaji,4
Assam,Dhubri,7
Assam,Dibrugarh,4
Assam,Dima Hasao,4
Assam,Goalpara,4
Assam,Golaghat,4
Assam,Hailakandi,7
Assam,Hojai,4
Assam,Jorhat,4
Assam,Kamrup,4
Assam,Kamrup Metro,4
Assam,Karbi Anglong,4
Assam,Karimganj,7
Assam,Kokrajhar,7
Assam,Lakhimpur,4
Assam,Majuli,4
Assam,Marigaon,4
Assam,Nagaon,4
Assam,Nalbari,4
Assam,Sivasagar,4
Assam,Sonitpur,4
Assam,South Salmara Mancachar,7
Assam,Tamulpur,7
Assam,Tinsukia,4
Assam,Udalguri,4
Assam,West Karbi Anglong,4
Bihar,Araria,8
Bihar,Arwal,8
Bihar,Aurangabad,8
Bihar,Banka,8
Bihar,Begusarai,8
Bihar,Bhagalpur,8
Bihar,Bhojpur,8
Bihar,Buxar,8
Bihar,Darbhanga,8
Bihar,Gaya,8
Bihar,Gopalganj,8
Bihar,Jamui,8
Bihar,Jehanabad,8
Bihar,Kaimur (Bhabua),8
Bihar,Katihar,8
Bihar,Khagaria,8
Bihar,Kishanganj,3
Bihar,Lakhisarai,8
Bihar,Madhepura,8
Bihar,Madhubani,8
Bihar,Munger,8
Bihar,Muzaffarpur,8
Bihar,Nalanda,8
Bihar,Nawada,8
