feature,H_Cluster,State,District
A & N Islands_Nicobars,8,A & N Islands,Nicobars
A & N Islands_North And Middle Andaman,8,A & N Islands,North And Middle Andaman
A & N Islands_South Andamans,8,A & N Islands,South Andamans
Andhra Pradesh_Alluri Sitharama Raju,4,Andhra Pradesh,Alluri Sitharama Raju
Andhra Pradesh_Anakapalli,12,Andhra Pradesh,Anakapalli
Andhra Pradesh_Anantapur,12,Andhra Pradesh,Anantapur
Andhra Pradesh_Annamayya,11,Andhra Pradesh,Annamayya
Andhra Pradesh_Bapatla,12,Andhra Pradesh,Bapatla
Andhra Pradesh_Chittoor,11,Andhra Pradesh,Chittoor
Andhra Pradesh_East Godavari,9,Andhra Pradesh,East Godavari
Andhra Pradesh_Eluru,9,Andhra Pradesh,Eluru
Andhra Pradesh_Guntur,12,Andhra Pradesh,Guntur
Andhra Pradesh_Kakinada,12,Andhra Pradesh,Kakinada
Andhra Pradesh_Konaseema,5,Andhra Pradesh,Konaseema
Andhra Pradesh_Krishna,12,Andhra Pradesh,Krishna
Andhra Pradesh_Kurnool,9,Andhra Pradesh,Kurnool
Andhra Pradesh_Nandyal,9,Andhra Pradesh,Nandyal
Andhra Pradesh_Ntr,9,Andhra Pradesh,Ntr
Andhra Pradesh_Palnadu,9,Andhra Pradesh,Palnadu
Andhra Pradesh_Parvathipuram Manyam,4,Andhra Pradesh,Parvathipuram Manyam
Andhra Pradesh_Prakasam,12,Andhra Pradesh,Prakasam
Andhra Pradesh_Spsr Nellore,11,Andhra Pradesh,Spsr Nellore
Andhra Pradesh_Sri Sathya Sai,12,Andhra Pradesh,Sri Sathya Sai
Andhra Pradesh_Srikakulam,5,Andhra Pradesh,Srikakulam
Andhra Pradesh_Tirupati,11,Andhra Pradesh,Tirupati
Andhra Pradesh_Visakhapatanam,5,Andhra Pradesh,Visakhapatanam
Andhra Pradesh_Vizianagaram,9,Andhra Pradesh,Vizianagaram
Andhra Pradesh_West Godavari,12,Andhra Pradesh,West Godavari
Andhra Pradesh_Y.s.r.,12,Andhra Pradesh,Y.s.r.
Arunachal Pradesh_Anjaw,6,Arunachal Pradesh,Anjaw
Arunachal Pradesh_Changlang,10,Arunachal Pradesh,Changlang
Arunachal Pradesh_Dibang Valley,6,Arunachal Pradesh,Dibang Valley
Arunachal Pradesh_East Kameng,6,Arunachal Pradesh,East Kameng
Arunachal Pradesh_East Siang,10,Arunachal Pradesh,East Siang
Arunachal Pradesh_Itanagar Capital Complex,10,Arunachal Pradesh,Itanagar Capital Complex
Arunachal Pradesh_Kamle,6,Arunachal Pradesh,Kamle
Arunachal Pradesh_Kra Daadi,6,Arunachal Pradesh,Kra Daadi
