State,District,KMeans_Cluster
A & N Islands,Nicobars,6
A & N Islands,North And Middle Andaman,6
A & N Islands,South Andamans,6
Andhra Pradesh,Alluri Sitharama Raju,19
Andhra Pradesh,Anakapalli,18
Andhra Pradesh,Anantapur,7
Andhra Pradesh,Annamayya,9
Andhra Pradesh,Bapatla,18
Andhra Pradesh,Chittoor,9
Andhra Pradesh,East Godavari,19
Andhra Pradesh,Eluru,19
Andhra Pradesh,Guntur,18
Andhra Pradesh,Kakinada,18
Andhra Pradesh,Konaseema,18
Andhra Pradesh,Krishna,18
Andhra Pradesh,Kurnool,7
Andhra Pradesh,Nandyal,7
Andhra Pradesh,Ntr,19
Andhra Pradesh,Palnadu,7
Andhra Pradesh,Parvathipuram Manyam,19
Andhra Pradesh,Prakasam,7
Andhra Pradesh,Spsr Nellore,9
Andhra Pradesh,Sri Sathya Sai,7
Andhra Pradesh,Srikakulam,18
Andhra Pradesh,Tirupati,9
Andhra Pradesh,Visakhapatanam,18
Andhra Pradesh,Vizianagaram,19
Andhra Pradesh,West Godavari,18
Andhra Pradesh,Y.s.r.,7
Arunachal Pradesh,Anjaw,16
Arunachal Pradesh,Changlang,4
Arunachal Pradesh,Dibang Valley,8
Arunachal Pradesh,East Kameng,8
Arunachal Pradesh,East Siang,4
Arunachal Pradesh,Itanagar Capital Complex,4
Arunachal Pradesh,Kamle,4
Arunachal Pradesh,Kra Daadi,8
Arunachal Pradesh,Kurung Kumey,8
Arunachal Pradesh,Leparada,4
Arunachal Pradesh,Lohit,4
Arunachal Pradesh,Longding,4
Arunachal Pradesh,Lower Dibang Valley,8
Arunachal Pradesh,Lower Siang,4
Arunachal Pradesh,Lower Subansiri,8
Arunachal Pradesh,Namsai,11
Arunachal Pradesh,Pakke Kessang,4
Arunachal Pradesh,Papum Pare,4
Arunachal Pradesh,Shi Yomi,8
Arunachal Pradesh,Siang,8
Arunachal Pradesh,Tawang,2
Arunachal Pradesh,Tirap,4
Arunachal Pradesh,Upper Siang,8
Arunachal Pradesh,Upper Subansiri,8
Arunachal Pradesh,West Kameng,8
Arunachal Pradesh,West Siang,8
Assam,Bajali,0
Assam,Baksa,0
Assam,Barpeta,0
Assam,Biswanath,11
Assam,Bongaigaon,0
Assam,Cachar,11
Assam,Charaideo,11
Assam,Chirang,0
Assam,Darrang,11
Assam,Dhemaji,11
Assam,Dhubri,0
Assam,Dibrugarh,11
Assam,Dima Hasao,11
Assam,Goalpara,0
Assam,Golaghat,11
Assam,Hailakandi,11
Assam,Hojai,11
Assam,Jorhat,11
Assam,Kamrup,11
Assam,Kamrup Metro,11
Assam,Karbi Anglong,11
Assam,Karimganj,11
Assam,Kokrajhar,0
Assam,Lakhimpur,11
Assam,Majuli,11
Assam,Marigaon,11
Assam,Nagaon,11
Assam,Nalbari,0
Assam,Sivasagar,11
Assam,Sonitpur,0
Assam,South Salmara Mancachar,0
Assam,Tamulpur,0
Assam,Tinsukia,11
Assam,Udalguri,11
Assam,West Karbi Anglong,11
Bihar,Araria,1
Bihar,Arwal,1
Bihar,Aurangabad,1
Bihar,Banka,1
Bihar,Begusarai,1
Bihar,Bhagalpur,1
Bihar,Bhojpur,1
Bihar,Buxar,1
Bihar,Darbhanga,1
Bihar,Gaya,1
Bihar,Gopalganj,1
Bihar,Jamui,1
Bihar,Jehanabad,1
Bihar,Kaimur (Bhabua),1
Bihar,Katihar,1
Bihar,Khagaria,1
Bihar,Kishanganj,0
Bihar,Lakhisarai,1
Bihar,Madhepura,1
Bihar,Madhubani,1
Bihar,Munger,1
Bihar,Muzaffarpur,1
Bihar,Nalanda,1
Bihar,Nawada,1
Bihar,Pashchim Champaran,1
Bihar,Patna,1
Bihar,Purbi Champaran,1
Bihar,Purnia,1
Bihar,Rohtas,1
Bihar,Saharsa,1
Bihar,Samastipur,1
Bihar,Saran,1
Bihar,Sheikhpura,1
Bihar,Sheohar,1
Bihar,Sitamarhi,1
Bihar,Siwan,1
Bihar,Supaul,1
Bihar,Vaishali,1
Chandigarh,Chandigarh,14
Chhattisgarh,Balod,19
Chhattisgarh,Baloda Bazar,19
Chhattisgarh,Balrampur,19
Chhattisgarh,Bastar,19
Chhattisgarh,Bemetara,19
Chhattisgarh,Bijapur,19
Chhattisgarh,Bilaspur,19
Chhattisgarh,Dantewada,19
Chhattisgarh,Dhamtari,19
Chhattisgarh,Durg,19
Chhattisgarh,Gariyaband,19
Chhattisgarh,Gaurella Pendra Marwahi,19
Chhattisgarh,Janjgir-Champa,19
Chhattisgarh,Jashpur,19
Chhattisgarh,Kabirdham,19
Chhattisgarh,Kanker,19
Chhattisgarh,Khairgarh Chhuikhadan Gandai,19
Chhattisgarh,Kondagaon,19
Chhattisgarh,Korba,19
Chhattisgarh,Korea,19
Chhattisgarh,Mahasamund,19
Chhattisgarh,Manendragarh Chirimiri Bharatpur,19
Chhattisgarh,Mohla Manpur Ambagarh Chouki,19
Chhattisgarh,Mungeli,19
Chhattisgarh,Narayanpur,19
Chhattisgarh,Raigarh,19
Chhattisgarh,Raipur,19
Chhattisgarh,Rajnandgaon,19
Chhattisgarh,Sakti,19
Chhattisgarh,Sarangarh Bilaigarh,19
Chhattisgarh,Sukma,19
Chhattisgarh,Surajpur,19
