feature,KMeans_Cluster,State,District
A & N Islands_Nicobars,7,A & N Islands,Nicobars
A & N Islands_North And Middle Andaman,14,A & N Islands,North And Middle Andaman
A & N Islands_South Andamans,7,A & N Islands,South Andamans
Andhra Pradesh_Alluri Sitharama Raju,9,Andhra Pradesh,Alluri Sitharama Raju
Andhra Pradesh_Anakapalli,0,Andhra Pradesh,Anakapalli
Andhra Pradesh_Anantapur,0,Andhra Pradesh,Anantapur
Andhra Pradesh_Annamayya,0,Andhra Pradesh,Annamayya
Andhra Pradesh_Bapatla,0,Andhra Pradesh,Bapatla
Andhra Pradesh_Chittoor,0,Andhra Pradesh,Chittoor
Andhra Pradesh_East Godavari,0,Andhra Pradesh,East Godavari
Andhra Pradesh_Eluru,0,Andhra Pradesh,Eluru
Andhra Pradesh_Guntur,0,Andhra Pradesh,Guntur
Andhra Pradesh_Kakinada,0,Andhra Pradesh,Kakinada
Andhra Pradesh_Konaseema,0,Andhra Pradesh,Konaseema
Andhra Pradesh_Krishna,0,Andhra Pradesh,Krishna
Andhra Pradesh_Kurnool,0,Andhra Pradesh,Kurnool
Andhra Pradesh_Nandyal,0,Andhra Pradesh,Nandyal
Andhra Pradesh_Ntr,0,Andhra Pradesh,Ntr
Andhra Pradesh_Palnadu,0,Andhra Pradesh,Palnadu
Andhra Pradesh_Parvathipuram Manyam,9,Andhra Pradesh,Parvathipuram Manyam
Andhra Pradesh_Prakasam,0,Andhra Pradesh,Prakasam
Andhra Pradesh_Spsr Nellore,7,Andhra Pradesh,Spsr Nellore
Andhra Pradesh_Sri Sathya Sai,0,Andhra Pradesh,Sri Sathya Sai
Andhra Pradesh_Srikakulam,9,Andhra Pradesh,Srikakulam
Andhra Pradesh_Tirupati,7,Andhra Pradesh,Tirupati
Andhra Pradesh_Visakhapatanam,0,Andhra Pradesh,Visakhapatanam
Andhra Pradesh_Vizianagaram,0,Andhra Pradesh,Vizianagaram
Andhra Pradesh_West Godavari,0,Andhra Pradesh,West Godavari
Andhra Pradesh_Y.s.r.,0,Andhra Pradesh,Y.s.r.
Arunachal Pradesh_Anjaw,1,Arunachal Pradesh,Anjaw
Arunachal Pradesh_Changlang,8,Arunachal Pradesh,Changlang
Arunachal Pradesh_Dibang Valley,4,Arunachal Pradesh,Dibang Valley
Arunachal Pradesh_East Kameng,4,Arunachal Pradesh,East Kameng
Arunachal Pradesh_East Siang,8,Arunachal Pradesh,East Siang
