feature,KMeans_Cluster,State,District
A & N Islands_Nicobars,6,A & N Islands,Nicobars
A & N Islands_North And Middle Andaman,6,A & N Islands,North And Middle Andaman
A & N Islands_South Andamans,6,A & N Islands,South Andamans
Andhra Pradesh_Alluri Sitharama Raju,5,Andhra Pradesh,Alluri Sitharama Raju
Andhra Pradesh_Anakapalli,13,Andhra Pradesh,Anakapalli
Andhra Pradesh_Anantapur,13,Andhra Pradesh,Anantapur
Andhra Pradesh_Annamayya,9,Andhra Pradesh,Annamayya
Andhra Pradesh_Bapatla,13,Andhra Pradesh,Bapatla
Andhra Pradesh_Chittoor,9,Andhra Pradesh,Chittoor
Andhra Pradesh_East Godavari,5,Andhra Pradesh,East Godavari
Andhra Pradesh_Eluru,5,Andhra Pradesh,Eluru
Andhra Pradesh_Guntur,13,Andhra Pradesh,Guntur
Andhra Pradesh_Kakinada,13,Andhra Pradesh,Kakinada
Andhra Pradesh_Konaseema,13,Andhra Pradesh,Konaseema
Andhra Pradesh_Krishna,13,Andhra Pradesh,Krishna
Andhra Pradesh_Kurnool,5,Andhra Pradesh,Kurnool
Andhra Pradesh_Nandyal,13,Andhra Pradesh,Nandyal
Andhra Pradesh_Ntr,5,Andhra Pradesh,Ntr
Andhra Pradesh_Palnadu,13,Andhra Pradesh,Palnadu
Andhra Pradesh_Parvathipuram Manyam,5,Andhra Pradesh,Parvathipuram Manyam
Andhra Pradesh_Prakasam,13,Andhra Pradesh,Prakasam
Andhra Pradesh_Spsr Nellore,9,Andhra Pradesh,Spsr Nellore
Andhra Pradesh_Sri Sathya Sai,13,Andhra Pradesh,Sri Sathya Sai
Andhra Pradesh_Srikakulam,13,Andhra Pradesh,Srikakulam
Andhra Pradesh_Tirupati,9,Andhra Pradesh,Tirupati
Andhra Pradesh_Visakhapatanam,13,Andhra Pradesh,Visakhapatanam
Andhra Pradesh_Vizianagaram,5,Andhra Pradesh,Vizianagaram
Andhra Pradesh_West Godavari,13,Andhra Pradesh,West Godavari
Andhra Pradesh_Y.s.r.,13,Andhra Pradesh,Y.s.r.
Arunachal Pradesh_Anjaw,2,Arunachal Pradesh,Anjaw
Arunachal Pradesh_Changlang,8,Arunachal Pradesh,Changlang
Arunachal Pradesh_Dibang Valley,7,Arunachal Pradesh,Dibang Valley
Arunachal Pradesh_East Kameng,7,Arunachal Pradesh,East Kameng
Arunachal Pradesh_East Siang,8,Arunachal Pradesh,East Siang
Arunachal Pradesh_Itanagar Capital Complex,8,Arunachal Pradesh,Itanagar Capital Complex
Arunachal Pradesh_Kamle,7,Arunachal Pradesh,Kamle
Arunachal Pradesh_Kra Daadi,7,Arunachal Pradesh,Kra Daadi
Arunachal Pradesh_Kurung Kumey,7,Arunachal Pradesh,Kurung Kumey
Arunachal Pradesh_Leparada,8,Arunachal Pradesh,Leparada
Arunachal Pradesh_Lohit,8,Arunachal Pradesh,Lohit
Arunachal Pradesh_Longding,8,Arunachal Pradesh,Longding
Arunachal Pradesh_Lower Dibang Valley,7,Arunachal Pradesh,Lower Dibang Valley
Arunachal Pradesh_Lower Siang,8,Arunachal Pradesh,Lower Siang
Arunachal Pradesh_Lower Subansiri,7,Arunachal Pradesh,Lower Subansiri
Arunachal Pradesh_Namsai,8,Arunachal Pradesh,Namsai
Arunachal Pradesh_Pakke Kessang,8,Arunachal Pradesh,Pakke Kessang
Arunachal Pradesh_Papum Pare,8,Arunachal Pradesh,Papum Pare
Arunachal Pradesh_Shi Yomi,7,Arunachal Pradesh,Shi Yomi
Arunachal Pradesh_Siang,7,Arunachal Pradesh,Siang
Arunachal Pradesh_Tawang,2,Arunachal Pradesh,Tawang
Arunachal Pradesh_Tirap,8,Arunachal Pradesh,Tirap
Arunachal Pradesh_Upper Siang,7,Arunachal Pradesh,Upper Siang
Arunachal Pradesh_Upper Subansiri,7,Arunachal Pradesh,Upper Subansiri
Arunachal Pradesh_West Kameng,7,Arunachal Pradesh,West Kameng
Arunachal Pradesh_West Siang,7,Arunachal Pradesh,West Siang
Assam_Bajali,3,Assam,Bajali
Assam_Baksa,3,Assam,Baksa
Assam_Barpeta,3,Assam,Barpeta
Assam_Biswanath,3,Assam,Biswanath
Assam_Bongaigaon,3,Assam,Bongaigaon
Assam_Cachar,3,Assam,Cachar
Assam_Charaideo,8,Assam,Charaideo
Assam_Chirang,3,Assam,Chirang
Assam_Darrang,3,Assam,Darrang
Assam_Dhemaji,3,Assam,Dhemaji
Assam_Dhubri,3,Assam,Dhubri
Assam_Dibrugarh,8,Assam,Dibrugarh
Assam_Dima Hasao,8,Assam,Dima Hasao
Assam_Goalpara,3,Assam,Goalpara
Assam_Golaghat,8,Assam,Golaghat
Assam_Hailakandi,3,Assam,Hailakandi
Assam_Hojai,3,Assam,Hojai
Assam_Jorhat,8,Assam,Jorhat
Assam_Kamrup,3,Assam,Kamrup
Assam_Kamrup Metro,3,Assam,Kamrup Metro
Assam_Karbi Anglong,8,Assam,Karbi Anglong
Assam_Karimganj,3,Assam,Karimganj
Assam_Kokrajhar,3,Assam,Kokrajhar
Assam_Lakhimpur,3,Assam,Lakhimpur
Assam_Majuli,3,Assam,Majuli
Assam_Marigaon,3,Assam,Marigaon
Assam_Nagaon,3,Assam,Nagaon
Assam_Nalbari,3,Assam,Nalbari
Assam_Sivasagar,8,Assam,Sivasagar
Assam_Sonitpur,3,Assam,Sonitpur
Assam_South Salmara Mancachar,3,Assam,South Salmara Mancachar
Assam_Tamulpur,3,Assam,Tamulpur
Assam_Tinsukia,8,Assam,Tinsukia
Assam_Udalguri,3,Assam,Udalguri
Assam_West Karbi Anglong,8,Assam,West Karbi Anglong
Bihar_Araria,4,Bihar,Araria
Bihar_Arwal,4,Bihar,Arwal
Bihar_Aurangabad,4,Bihar,Aurangabad
Bihar_Banka,4,Bihar,Banka
Bihar_Begusarai,4,Bihar,Begusarai
Bihar_Bhagalpur,4,Bihar,Bhagalpur
Bihar_Bhojpur,4,Bihar,Bhojpur
Bihar_Buxar,4,Bihar,Buxar
Bihar_Darbhanga,4,Bihar,Darbhanga
Bihar_Gaya,4,Bihar,Gaya
Bihar_Gopalganj,4,Bihar,Gopalganj
Bihar_Jamui,4,Bihar,Jamui
Bihar_Jehanabad,4,Bihar,Jehanabad
Bihar_Kaimur (Bhabua),4,Bihar,Kaimur (Bhabua)
Bihar_Katihar,4,Bihar,Katihar
Bihar_Khagaria,4,Bihar,Khagaria
