state,district,cluster
A & N Islands,Nicobars,14
A & N Islands,North And Middle Andaman,14
A & N Islands,South Andamans,14
Andhra Pradesh,Alluri Sitharama Raju,11
Andhra Pradesh,Anakapalli,14
Andhra Pradesh,Anantapur,13
Andhra Pradesh,Annamayya,7
Andhra Pradesh,Bapatla,14
Andhra Pradesh,Chittoor,7
Andhra Pradesh,East Godavari,11
Andhra Pradesh,Eluru,11
Andhra Pradesh,Guntur,14
Andhra Pradesh,Kakinada,14
Andhra Pradesh,Konaseema,14
Andhra Pradesh,Krishna,14
Andhra Pradesh,Kurnool,11
Andhra Pradesh,Nandyal,11
Andhra Pradesh,Ntr,11
Andhra Pradesh,Palnadu,11
Andhra Pradesh,Parvathipuram Manyam,2
Andhra Pradesh,Prakasam,11
Andhra Pradesh,Spsr Nellore,7
Andhra Pradesh,Sri Sathya Sai,13
Andhra Pradesh,Srikakulam,14
Andhra Pradesh,Tirupati,7
Andhra Pradesh,Visakhapatanam,14
Andhra Pradesh,Vizianagaram,2
Andhra Pradesh,West Godavari,14
Andhra Pradesh,Y.s.r.,11
Arunachal Pradesh,Anjaw,9
Arunachal Pradesh,Changlang,9
Arunachal Pradesh,Dibang Valley,9
Arunachal Pradesh,East Kameng,9
Arunachal Pradesh,East Siang,8
Arunachal Pradesh,Itanagar Capital Complex,8
Arunachal Pradesh,Kamle,9
Arunachal Pradesh,Kra Daadi,9
Arunachal Pradesh,Kurung Kumey,9
Arunachal Pradesh,Leparada,9
Arunachal Pradesh,Lohit,9
Arunachal Pradesh,Longding,8
Arunachal Pradesh,Lower Dibang Valley,9
Arunachal Pradesh,Lower Siang,9
Arunachal Pradesh,Lower Subansiri,9
Arunachal Pradesh,Namsai,8
Arunachal Pradesh,Pakke Kessang,9
Arunachal Pradesh,Papum Pare,9
Arunachal Pradesh,Shi Yomi,9
Arunachal Pradesh,Siang,9
Arunachal Pradesh,Tawang,9
Arunachal Pradesh,Tirap,8
Arunachal Pradesh,Upper Siang,9
Arunachal Pradesh,Upper Subansiri,9
Arunachal Pradesh,West Kameng,9
Arunachal Pradesh,West Siang,9
Assam,Bajali,8
Assam,Baksa,8
Assam,Barpeta,8
Assam,Biswanath,8
Assam,Bongaigaon,8
Assam,Cachar,8
Assam,Charaideo,8
Assam,Chirang,8
Assam,Darrang,8
