state,district,cluster
A & N Islands,Nicobars,2
A & N Islands,North And Middle Andaman,2
A & N Islands,South Andamans,2
Andhra Pradesh,Alluri Sitharama Raju,0
Andhra Pradesh,Anakapalli,5
Andhra Pradesh,Anantapur,14
Andhra Pradesh,Annamayya,10
Andhra Pradesh,Bapatla,5
Andhra Pradesh,Chittoor,10
Andhra Pradesh,East Godavari,0
Andhra Pradesh,Eluru,0
Andhra Pradesh,Guntur,0
Andhra Pradesh,Kakinada,5
Andhra Pradesh,Konaseema,5
Andhra Pradesh,Krishna,5
Andhra Pradesh,Kurnool,0
Andhra Pradesh,Nandyal,0
Andhra Pradesh,Ntr,0
Andhra Pradesh,Palnadu,0
Andhra Pradesh,Parvathipuram Manyam,5
Andhra Pradesh,Prakasam,10
Andhra Pradesh,Spsr Nellore,10
Andhra Pradesh,Sri Sathya Sai,14
Andhra Pradesh,Srikakulam,5
Andhra Pradesh,Tirupati,10
Andhra Pradesh,Visakhapatanam,5
Andhra Pradesh,Vizianagaram,5
Andhra Pradesh,West Godavari,5
Andhra Pradesh,Y.s.r.,10
Arunachal Pradesh,Anjaw,1
Arunachal Pradesh,Changlang,9
Arunachal Pradesh,Dibang Valley,1
Arunachal Pradesh,East Kameng,1
Arunachal Pradesh,East Siang,9
Arunachal Pradesh,Itanagar Capital Complex,9
Arunachal Pradesh,Kamle,1
Arunachal Pradesh,Kra Daadi,1
Arunachal Pradesh,Kurung Kumey,1
Arunachal Pradesh,Leparada,9
Arunachal Pradesh,Lohit,1
Arunachal Pradesh,Longding,9
Arunachal Pradesh,Lower Dibang Valley,1
Arunachal Pradesh,Lower Siang,9
Arunachal Pradesh,Lower Subansiri,1
Arunachal Pradesh,Namsai,9
Arunachal Pradesh,Pakke Kessang,9
Arunachal Pradesh,Papum Pare,1
Arunachal Pradesh,Shi Yomi,1
Arunachal Pradesh,Siang,1
Arunachal Pradesh,Tawang,11
Arunachal Pradesh,Tirap,9
Arunachal Pradesh,Upper Siang,1
Arunachal Pradesh,Upper Subansiri,1
Arunachal Pradesh,West Kameng,1
Arunachal Pradesh,West Siang,1
Assam,Bajali,9
Assam,Baksa,9
Assam,Barpeta,9
Assam,Biswanath,9
Assam,Bongaigaon,9
Assam,Cachar,9
Assam,Charaideo,9
Assam,Chirang,9
Assam,Darrang,9
Assam,Dhemaji,9
Assam,Dhubri,9
Assam,Dibrugarh,9
Assam,Dima Hasao,9
Assam,Goalpara,9
Assam,Golaghat,9
Assam,Hailakandi,9
Assam,Hojai,9
Assam,Jorhat,9
Assam,Kamrup,9
Assam,Kamrup Metro,9
Assam,Karbi Anglong,9
Assam,Karimganj,9
Assam,Kokrajhar,9
Assam,Lakhimpur,9
Assam,Majuli,9
Assam,Marigaon,9
Assam,Nagaon,9
Assam,Nalbari,9
Assam,Sivasagar,9
Assam,Sonitpur,9
Assam,South Salmara Mancachar,9
Assam,Tamulpur,9
Assam,Tinsukia,9
Assam,Udalguri,9
Assam,West Karbi Anglong,9
Bihar,Araria,12
Bihar,Arwal,12
Bihar,Aurangabad,12
Bihar,Banka,12
Bihar,Begusarai,12
Bihar,Bhagalpur,12
Bihar,Bhojpur,12
Bihar,Buxar,12
Bihar,Darbhanga,12
Bihar,Gaya,12
Bihar,Gopalganj,12
Bihar,Jamui,12
Bihar,Jehanabad,12
Bihar,Kaimur (Bhabua),12
Bihar,Katihar,12
Bihar,Khagaria,12
Bihar,Kishanganj,7
Bihar,Lakhisarai,12
Bihar,Madhepura,12
Bihar,Madhubani,12
Bihar,Munger,12
Bihar,Muzaffarpur,12
Bihar,Nalanda,12
Bihar,Nawada,12
Bihar,Pashchim Champaran,12
Bihar,Patna,12
Bihar,Purbi Champaran,12
Bihar,Purnia,12
Bihar,Rohtas,12
Bihar,Saharsa,12
Bihar,Samastipur,12
Bihar,Saran,12
Bihar,Sheikhpura,12
Bihar,Sheohar,12
Bihar,Sitamarhi,12
Bihar,Siwan,12
Bihar,Supaul,12
Bihar,Vaishali,12
