original_state,original_district,suggested_state_key,suggested_district_key,similarity
Karnataka,Chamarajanagara,karnataka,chamarajanagar,96.55172413793103
Telangana,Mahabubnagar,telangana,mahbubnagar,95.65217391304348
Telangana,Narayanpet,telangana,narayanapet,95.23809523809523
Karnataka,Bagalkote,karnataka,bagalkot,94.11764705882352
Gujarat,Arvalli,gujarat,aravalli,93.33333333333333
Tamil Nadu,Tenkasi,tamil nadu,thenkasi,93.33333333333333
Karnataka,Dakshina Kannada,karnataka,dakshin kannad,93.33333333333333
Karnataka,Uttara Kannada,karnataka,uttar kannad,92.3076923076923
Telangana,Kumuram Bheem Asifabad,telangana,komaram bheem asifabad,90.9090909090909
Punjab,Ferozepur,punjab,firozepur,88.88888888888889
Karnataka,Chikkaballapura,karnataka,chikballapur,88.88888888888889
Karnataka,Chikkamagaluru,karnataka,chikmagalur,88.0
Karnataka,Bengaluru Rural,karnataka,bengaluru urban,86.66666666666667
Telangana,Ranga Reddy,telangana,rangareddi,85.71428571428572
Karnataka,Tumakuru,karnataka,tumkur,85.71428571428572
Nagaland,Niuland,nagaland,nuiland,85.71428571428572
Karnataka,Shivamogga,karnataka,shimoga,82.35294117647058
Meghalaya,Eastern West Khasi Hills,meghalaya,east khasi hills,80.0
Uttar Pradesh,Bhadohi,uttar pradesh,hardoi,76.92307692307692
Rajasthan,Jaipur,rajasthan,udaipur,76.92307692307692
Rajasthan,Beawar,rajasthan,alwar,72.72727272727273
Telangana,Jogulamba Gadwal,telangana,jogulamba,72.0
Karnataka,Ballari,karnataka,bellary,71.42857142857143
Rajasthan,Jodhpur,rajasthan,dholpur,71.42857142857143
Karnataka,Vijayapura,karnataka,bijapur,70.58823529411764
Assam,Bajali,assam,majuli,66.66666666666667
Rajasthan,Nagaur,rajasthan,dungarpur,66.66666666666667
Rajasthan,Balotra,rajasthan,baran,66.66666666666667
Karnataka,Belagavi,karnataka,belgaum,66.66666666666667
Maharashtra,Ahmednagar,maharashtra,ahilyanagar,66.66666666666667
Karnataka,Mysuru,karnataka,mysore,66.66666666666667
Maharashtra,Washim,maharashtra,nashik,66.66666666666667
Haryana,Gurugram,haryana,gurgaon,66.66666666666667
Telangana,Hanumakonda,telangana,nalgonda,63.1578947368421
Uttar Pradesh,Prayagraj,uttar pradesh,pratapgarh,63.1578947368421
Gujarat,Jamnagar,gujarat,gandhinagar,63.1578947368421
Rajasthan,Anoopgarh,rajasthan,pratapgarh,63.1578947368421
Telangana,Jayashankar Bhupalapally,telangana,jayashankar,62.857142857142854
Maharashtra,Aurangabad,maharashtra,raigad,62.5
Sikkim,Gyalshing,sikkim,geyzing,62.5
Maharashtra,Buldhana,maharashtra,bhandara,62.5
Telangana,Bhadradri Kothagudem,telangana,bhadradri,62.06896551724138
Rajasthan,Salumbar,rajasthan,alwar,61.53846153846154
Uttar Pradesh,Ayodhya,uttar pradesh,amroha,61.53846153846154
Maharashtra,Akola,maharashtra,kolhapur,61.53846153846154
Maharashtra,Hingoli,maharashtra,sangli,61.53846153846154
Telangana,Rajanna Sircilla,telangana,rajanna,60.86956521739131
Haryana,Mahendragarh,haryana,yamunanagar,60.86956521739131
Gujarat,Botad,gujarat,dohad,60.0
Gujarat,Bhavnagar,gujarat,gandhinagar,60.0
Madhya Pradesh,Narmadapuram,madhya pradesh,mandsaur,60.0
Gujarat,Patan,gujarat,anand,60.0
Assam,Tamulpur,assam,lakhimpur,58.82352941176471
Telangana,Hyderabad,telangana,adilabad,58.82352941176471
Rajasthan,Shahpura,rajasthan,bharatpur,58.82352941176471
Manipur,Tengnoupal,manipur,thoubal,58.82352941176471
Manipur,Kamjong,manipur,tamenglong,58.82352941176471
Gujarat,Banas Kantha,gujarat,panch mahals,58.33333333333333
Punjab,Sri Muktsar Sahib,punjab,muktsar,58.33333333333333
Rajasthan,Gangapurcity,rajasthan,dungarpur,57.14285714285714
Gujarat,Amreli,gujarat,aravalli,57.14285714285714
Telangana,Yadadri Bhuvanagiri,telangana,bhadradri,57.14285714285714
Rajasthan,Jalore,rajasthan,jhalawar,57.14285714285714
Maharashtra,Jalgaon,maharashtra,palghar,57.14285714285714
