Category: All categories

Month,sugarcane: (India)
2004-01,68
2004-02,73
2004-03,0
2004-04,67
2004-05,55
2004-06,66
2004-07,79
2004-08,73
2004-09,59
2004-10,100
2004-11,85
2004-12,58
2005-01,76
2005-02,59
2005-03,87
2005-04,75
2005-05,81
2005-06,50
2005-07,55
2005-08,72
2005-09,67
2005-10,86
2005-11,73
2005-12,56
2006-01,75
2006-02,65
2006-03,65
2006-04,56
2006-05,59
2006-06,57
2006-07,49
2006-08,61
2006-09,70
2006-10,50
2006-11,58
2006-12,53
2007-01,48
2007-02,49
2007-03,44
2007-04,43
2007-05,49
2007-06,51
2007-07,52
2007-08,50
2007-09,47
2007-10,53
2007-11,48
2007-12,48
2008-01,56
2008-02,56
2008-03,44
2008-04,45
2008-05,50
2008-06,42
2008-07,49
2008-08,45
2008-09,43
2008-10,40
2008-11,42
2008-12,41
2009-01,49
2009-02,46
2009-03,48
2009-04,48
2009-05,41
2009-06,32
2009-07,44
2009-08,40
2009-09,40
2009-10,42
2009-11,66
2009-12,44
2010-01,58
2010-02,56
2010-03,50
2010-04,46
2010-05,44
2010-06,39
2010-07,36
2010-08,36
2010-09,32
2010-10,35
2010-11,42
2010-12,35
2011-01,38
2011-02,36
2011-03,32
2011-04,34
2011-05,29
2011-06,31
2011-07,31
2011-08,29
2011-09,30
2011-10,28
2011-11,33
2011-12,26
2012-01,36
2012-02,30
2012-03,31
2012-04,31
2012-05,28
2012-06,28
2012-07,25
2012-08,24
2012-09,31
2012-10,28
2012-11,31
2012-12,30
2013-01,37
2013-02,33
2013-03,34
2013-04,32
2013-05,30
2013-06,28
2013-07,28
2013-08,27
2013-09,33
2013-10,33
2013-11,39
2013-12,35
2014-01,37
2014-02,31
2014-03,32
2014-04,36
2014-05,30
2014-06,28
2014-07,26
2014-08,31
2014-09,30
2014-10,27
2014-11,38
2014-12,34
2015-01,40
2015-02,37
2015-03,36
2015-04,37
2015-05,35
2015-06,32
2015-07,25
2015-08,31
2015-09,29
2015-10,28
2015-11,30
2015-12,33
2016-01,44
2016-02,40
2016-03,42
2016-04,49
2016-05,38
2016-06,33
2016-07,29
2016-08,28
2016-09,30
2016-10,31
2016-11,36
2016-12,33
2017-01,40
2017-02,39
2017-03,44
2017-04,42
2017-05,36
2017-06,31
2017-07,31
2017-08,30
2017-09,33
2017-10,36
2017-11,44
2017-12,40
2018-01,53
2018-02,44
2018-03,55
2018-04,55
2018-05,42
2018-06,35
2018-07,33
2018-08,30
2018-09,32
2018-10,34
2018-11,39
2018-12,40
2019-01,50
2019-02,49
2019-03,50
2019-04,52
2019-05,44
2019-06,34
2019-07,29
2019-08,29
2019-09,32
2019-10,33
2019-11,42
2019-12,43
2020-01,58
2020-02,56
2020-03,47
2020-04,36
2020-05,44
2020-06,41
2020-07,40
2020-08,44
2020-09,54
2020-10,46
2020-11,56
2020-12,70
2021-01,74
2021-02,72
2021-03,87
2021-04,63
2021-05,47
2021-06,54
2021-07,53
2021-08,61
2021-09,66
2021-10,55
2021-11,64
2021-12,52
2022-01,69
2022-02,78
2022-03,97
2022-04,92
2022-05,74
2022-06,61
2022-07,52
2022-08,47
2022-09,60
2022-10,55
2022-11,66
2022-12,64
2023-01,85
2023-02,89
2023-03,90
2023-04,80
2023-05,67
2023-06,67
2023-07,50
2023-08,52
2023-09,54
2023-10,58
2023-11,61
2023-12,68
2024-01,83
2024-02,79
2024-03,81
2024-04,76
2024-05,74
2024-06,54
2024-07,47
2024-08,46
2024-09,51
2024-10,51
2024-11,61
2024-12,57
2025-01,76
2025-02,74
2025-03,75
2025-04,81
2025-05,59
2025-06,50
2025-07,46
2025-08,47
2025-09,47
2025-10,47
