state,district,year,bajra_kharif_yield_tonne_per_hectare
Andhra Pradesh,Alluri sitharama raju,2022 - 2023,2.3
,Anakapalli,2022 - 2023,1.21
,Anantapur,2000 - 2001,0.58
,,2001 - 2002,0.33
,,2002 - 2003,0.3
,,2003 - 2004,0.17
,,2004 - 2005,0.39
,,2005 - 2006,1.9
,,2006 - 2007,0.3
,,2007 - 2008,3.0
,,2008 - 2009,1.36
,,2009 - 2010,1.84
,,2010 - 2011,0.73
,,2011 - 2012,1.27
,,2012 - 2013,0.5
,,2013 - 2014,0.92
,,2014 - 2015,0.59
,,2015 - 2016,1.03
,,2016 - 2017,0.51
,,2017 - 2018,1.34
,,2018 - 2019,1.16
,,2019 - 2020,1.53
,,2020 - 2021,1.41
,,2021 - 2022,0.75
,,2022 - 2023,0.81
,Annamayya,2022 - 2023,1.76
,Bapatla,2022 - 2023,2.31
,Chittoor,2000 - 2001,1.31
,,2001 - 2002,1.21
,,2002 - 2003,0.49
,,2003 - 2004,1.67
,,2004 - 2005,1.31
,,2005 - 2006,1.19
,,2006 - 2007,0.65
,,2007 - 2008,1.5
,,2008 - 2009,1.92
,,2009 - 2010,1.17
,,2010 - 2011,1.91
,,2011 - 2012,2.11
,,2012 - 2013,2.0
,,2013 - 2014,2.18
,,2014 - 2015,2.23
,,2015 - 2016,2.81
,,2016 - 2017,2.76
,,2017 - 2018,2.29
,,2018 - 2019,2.16
,,2019 - 2020,3.7
,,2020 - 2021,2.76
,,2021 - 2022,2.45
,,2022 - 2023,2.61
,East godavari,2000 - 2001,0.66
,,2001 - 2002,0.92
,,2002 - 2003,0.88
,,2003 - 2004,0.85
,,2004 - 2005,0.76
,,2005 - 2006,0.69
,,2006 - 2007,0.47
,,2007 - 2008,1.0
,,2008 - 2009,0.66
,,2009 - 2010,0.77
,,2010 - 2011,0.52
,,2011 - 2012,0.83
,,2013 - 2014,1.18
,,2014 - 2015,1.29
,,2015 - 2016,0.95
,,2016 - 2017,1.1
,,2017 - 2018,1.11
,,2018 - 2019,1.03
,,2019 - 2020,1.2
,,2020 - 2021,0.83
,,2021 - 2022,0.71
,Guntur,2000 - 2001,1.35
,,2001 - 2002,0.99
,,2002 - 2003,0.85
,,2003 - 2004,1.36
