state,district,year,bajra_rabi_yield_tonne_per_hectare
Andhra Pradesh,Alluri sitharama raju,2022 - 2023,
,Anakapalli,2022 - 2023,
,Anantapur,2000 - 2001,0.58
,,2001 - 2002,0.33
,,2002 - 2003,0.3
,,2003 - 2004,0.17
,,2004 - 2005,0.39
,,2005 - 2006,1.89
,,2006 - 2007,0.3
,,2007 - 2008,
,,2008 - 2009,1.35
,,2009 - 2010,1.84
,,2010 - 2011,0.8
,,2011 - 2012,1.27
,,2012 - 2013,
,,2013 - 2014,0.94
,,2014 - 2015,0.6
,,2015 - 2016,1.03
,,2016 - 2017,0.5
,,2017 - 2018,1.33
,,2018 - 2019,1.15
,,2019 - 2020,1.52
,,2020 - 2021,1.41
,,2021 - 2022,0.75
,,2022 - 2023,1.73
,Annamayya,2022 - 2023,2.0
,Bapatla,2022 - 2023,
,Chittoor,2000 - 2001,1.31
,,2001 - 2002,1.21
,,2002 - 2003,0.5
,,2003 - 2004,1.67
,,2004 - 2005,1.32
,,2005 - 2006,1.19
,,2006 - 2007,0.63
,,2007 - 2008,
,,2008 - 2009,1.89
,,2009 - 2010,1.18
,,2010 - 2011,1.93
,,2011 - 2012,2.0
,,2012 - 2013,
,,2013 - 2014,2.0
,,2014 - 2015,2.0
,,2015 - 2016,
,,2016 - 2017,2.67
,,2017 - 2018,
,,2018 - 2019,2.0
,,2019 - 2020,4.0
,,2020 - 2021,2.75
,,2021 - 2022,
,,2022 - 2023,
,East godavari,2000 - 2001,0.5
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,0.67
,,2006 - 2007,0.46
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,0.83
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,1.0
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Guntur,2000 - 2001,1.35
,,2001 - 2002,1.0
,,2002 - 2003,0.83
,,2003 - 2004,1.36
,,2004 - 2005,0.3
,,2005 - 2006,
,,2006 - 2007,0.95
,,2009 - 2010,
,,2010 - 2011,1.86
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,1.1
,,2015 - 2016,2.0
,,2016 - 2017,
,,2017 - 2018,0.94
,,2018 - 2019,
,,2019 - 2020,2.0
,,2020 - 2021,1.13
,,2021 - 2022,1.17
,Kadapa,2000 - 2001,1.42
,,2001 - 2002,1.8
,,2002 - 2003,0.98
,,2003 - 2004,0.88
,,2004 - 2005,1.49
,,2005 - 2006,1.07
,,2006 - 2007,1.47
,,2007 - 2008,1.5
,,2008 - 2009,2.71
,,2009 - 2010,2.6
,,2010 - 2011,2.5
,,2011 - 2012,2.59
,,2012 - 2013,2.0
,,2013 - 2014,1.93
,,2014 - 2015,2.57
,,2015 - 2016,1.6
,,2016 - 2017,1.17
,,2017 - 2018,2.08
,,2018 - 2019,1.43
,,2019 - 2020,2.53
,,2020 - 2021,2.51
,,2021 - 2022,1.81
,,2022 - 2023,1.76
,Krishna,2000 - 2001,
,,2003 - 2004,
,,2005 - 2006,1.0
,,2009 - 2010,
,Kurnool,2000 - 2001,0.81
,,2001 - 2002,0.79
,,2002 - 2003,0.66
