state,district,year,cardamom_whole_year_yield_tonne_per_hectare
Karnataka,Bagalkot,2019 - 2020,0.0
,Bangalore rural,2005 - 2006,0.0
,,2008 - 2009,0.0
,,2010 - 2011,0.0
,,2018 - 2019,0.1
,,2019 - 2020,0.0
,,2020 - 2021,0.17
,,2022 - 2023,2.0
,Belgaum,2019 - 2020,0.14
,,2022 - 2023,0.21
,Bengaluru urban,2019 - 2020,0.0
,,2021 - 2022,0.19
,Bidar,2019 - 2020,0.0
,Chamarajanagar,2000 - 2001,0.07
,,2002 - 2003,0.08
,,2003 - 2004,0.07
,,2004 - 2005,0.1
,,2005 - 2006,0.11
,,2006 - 2007,0.11
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2010 - 2011,0.0
,,2013 - 2014,0.07
,,2014 - 2015,0.07
,,2015 - 2016,0.07
,,2016 - 2017,0.11
,,2017 - 2018,0.11
,,2018 - 2019,0.1
,,2019 - 2020,0.0
,,2020 - 2021,0.17
,,2021 - 2022,0.17
,,2022 - 2023,0.06
,Chikballapur,2020 - 2021,0.17
,,2021 - 2022,0.33
,Chikmagalur,2000 - 2001,0.06
,,2002 - 2003,0.06
,,2003 - 2004,0.06
,,2004 - 2005,0.06
,,2005 - 2006,0.06
,,2006 - 2007,0.06
,,2007 - 2008,0.06
,,2008 - 2009,0.07
,,2009 - 2010,0.07
,,2010 - 2011,0.09
,,2011 - 2012,0.14
,,2012 - 2013,0.14
,,2013 - 2014,0.06
,,2014 - 2015,0.06
,,2015 - 2016,0.09
,,2016 - 2017,0.08
,,2017 - 2018,0.11
,,2018 - 2019,0.2
,,2019 - 2020,0.17
,,2020 - 2021,0.18
,,2021 - 2022,0.25
,,2022 - 2023,0.17
,Chitradurga,2018 - 2019,0.1
,,2019 - 2020,0.14
,,2020 - 2021,0.2
,,2021 - 2022,0.14
,,2022 - 2023,0.2
,Dakshin kannad,2000 - 2001,0.05
,,2002 - 2003,0.05
,,2003 - 2004,0.05
,,2004 - 2005,0.05
,,2005 - 2006,0.05
,,2006 - 2007,0.04
,,2007 - 2008,0.09
,,2008 - 2009,0.1
,,2009 - 2010,0.06
,,2010 - 2011,0.08
,,2011 - 2012,0.08
,,2012 - 2013,0.08
,,2013 - 2014,0.08
,,2014 - 2015,0.08
,,2015 - 2016,0.08
,,2016 - 2017,0.11
,,2017 - 2018,0.11
,,2018 - 2019,0.1
,,2019 - 2020,0.25
,,2020 - 2021,0.13
,,2021 - 2022,0.14
,,2022 - 2023,0.07
,Davangere,2004 - 2005,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2018 - 2019,0.13
,,2019 - 2020,0.2
,,2020 - 2021,0.2
,,2021 - 2022,0.2
,,2022 - 2023,0.03
,Gulbarga,2020 - 2021,0.17
,Hassan,2000 - 2001,0.05
,,2002 - 2003,0.05
,,2003 - 2004,0.05
,,2004 - 2005,0.05
,,2005 - 2006,0.05
,,2006 - 2007,0.05
,,2007 - 2008,0.05
,,2008 - 2009,0.07
,,2009 - 2010,0.07
,,2010 - 2011,0.08
,,2011 - 2012,0.09
,,2012 - 2013,0.09
,,2013 - 2014,0.08
,,2014 - 2015,0.08
,,2015 - 2016,0.1
,,2016 - 2017,0.14
,,2017 - 2018,0.12
,,2018 - 2019,0.11
,,2019 - 2020,0.08
,,2020 - 2021,0.08
,,2021 - 2022,0.08
,,2022 - 2023,0.15
,Haveri,2018 - 2019,0.1
,,2019 - 2020,0.0
,,2020 - 2021,0.17
,,2021 - 2022,0.19
,,2022 - 2023,0.1
,Kodagu,2000 - 2001,0.06
,,2002 - 2003,0.06
,,2003 - 2004,0.06
,,2004 - 2005,0.06
,,2005 - 2006,0.06
,,2006 - 2007,0.06
,,2007 - 2008,0.13
,,2008 - 2009,0.13
,,2009 - 2010,0.05
,,2010 - 2011,0.08
,,2011 - 2012,0.06
,,2012 - 2013,0.06
,,2013 - 2014,0.08
,,2014 - 2015,0.07
,,2015 - 2016,0.07
,,2016 - 2017,0.08
,,2017 - 2018,0.12
,,2018 - 2019,0.06
,,2019 - 2020,0.21
,,2020 - 2021,0.26
,,2021 - 2022,0.27
,,2022 - 2023,0.27
,Kolar,2018 - 2019,0.1
,,2019 - 2020,0.0
,,2020 - 2021,0.17
,Koppal,2020 - 2021,0.17
,Mandya,2018 - 2019,0.12
,,2019 - 2020,0.15
,,2020 - 2021,0.19
,,2021 - 2022,0.22
,,2022 - 2023,0.33
,Mysore,2014 - 2015,0.0
,,2018 - 2019,0.14
,,2019 - 2020,0.2
,,2020 - 2021,0.25
,,2021 - 2022,0.25
,,2022 - 2023,0.2
,Ramanagara,2018 - 2019,0.1
,,2019 - 2020,0.0
,,2020 - 2021,0.33
,,2021 - 2022,0.2
,,2022 - 2023,0.43
,Shimoga,2000 - 2001,0.08
,,2002 - 2003,0.08
,,2003 - 2004,0.08
,,2004 - 2005,0.08
,,2005 - 2006,0.08
,,2006 - 2007,0.08
,,2007 - 2008,0.08
,,2008 - 2009,0.14
,,2009 - 2010,0.14
,,2010 - 2011,0.17
,,2011 - 2012,0.07
,,2012 - 2013,0.07
,,2013 - 2014,0.16
,,2014 - 2015,0.14
,,2015 - 2016,0.07
,,2016 - 2017,0.11
,,2017 - 2018,0.1
,,2018 - 2019,0.11
,,2019 - 2020,0.12
,,2020 - 2021,0.13
,,2021 - 2022,0.19
,,2022 - 2023,0.29
,Tumkur,2010 - 2011,0.0
,,2018 - 2019,0.11
,,2019 - 2020,0.16
,,2020 - 2021,0.17
