state,district,year,cashewnut_rabi_yield_tonne_per_hectare
Andaman and Nicobar Islands,Nicobars,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2010 - 2011,0.26
,,2011 - 2012,0.28
,,2012 - 2013,0.29
,,2013 - 2014,0.29
,,2014 - 2015,0.29
,,2015 - 2016,0.26
,,2016 - 2017,0.05
,,2017 - 2018,1.11
,,2018 - 2019,0.79
,,2019 - 2020,0.79
,,2020 - 2021,0.95
,,2021 - 2022,0.53
,,2022 - 2023,0.46
,North and middle andaman,2000 - 2001,
,,2001 - 2002,
,,2006 - 2007,
,,2010 - 2011,0.46
,,2011 - 2012,0.35
,,2012 - 2013,0.44
,,2013 - 2014,0.42
,,2014 - 2015,0.09
,,2015 - 2016,0.11
,,2016 - 2017,0.01
,,2017 - 2018,0.55
,,2018 - 2019,1.58
,,2019 - 2020,0.4
,,2020 - 2021,0.45
,,2021 - 2022,0.44
,,2022 - 2023,0.39
,South andamans,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2010 - 2011,0.7
,,2011 - 2012,0.77
,,2012 - 2013,0.6
,,2013 - 2014,0.74
,,2014 - 2015,1.53
,,2015 - 2016,1.37
,,2016 - 2017,1.26
,,2017 - 2018,1.18
,,2018 - 2019,1.18
,,2019 - 2020,1.18
,,2020 - 2021,0.78
,,2021 - 2022,0.82
,,2022 - 2023,0.83
Andhra Pradesh,Anantapur,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Chittoor,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
