state,district,year,castor_seed_kharif_yield_tonne_per_hectare
Andhra Pradesh,Anantapur,2000 - 2001,0.3
,,2001 - 2002,0.28
,,2002 - 2003,0.2
,,2003 - 2004,0.42
,,2004 - 2005,0.58
,,2005 - 2006,0.73
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.75
,,2009 - 2010,0.5
,,2010 - 2011,0.88
,,2011 - 2012,0.06
,,2012 - 2013,0.36
,,2013 - 2014,0.47
,,2014 - 2015,0.57
,,2015 - 2016,0.94
,,2016 - 2017,0.31
,,2017 - 2018,0.57
,,2018 - 2019,0.51
,,2019 - 2020,0.42
,,2020 - 2021,0.38
,,2021 - 2022,0.16
,,2022 - 2023,0.22
,Annamayya,2022 - 2023,0.31
,Bapatla,2022 - 2023,0.5
,Chittoor,2000 - 2001,0.3
,,2001 - 2002,0.28
,,2002 - 2003,0.21
,,2003 - 2004,0.42
,,2004 - 2005,0.58
,,2005 - 2006,0.73
,,2006 - 2007,0.5
,,2008 - 2009,0.75
,,2009 - 2010,0.5
,,2010 - 2011,0.88
,,2011 - 2012,0.06
,,2013 - 2014,0.47
,,2014 - 2015,0.57
,,2015 - 2016,0.55
,,2016 - 2017,0.47
,,2017 - 2018,0.64
,,2018 - 2019,0.43
,,2019 - 2020,0.69
,,2020 - 2021,0.42
,,2021 - 2022,0.14
,East godavari,2000 - 2001,0.33
,,2001 - 2002,0.11
,,2002 - 2003,0.23
,,2005 - 2006,0.35
,,2008 - 2009,0.67
,,2009 - 2010,0.56
,,2010 - 2011,0.43
,,2011 - 2012,0.52
,,2013 - 2014,0.8
,,2014 - 2015,0.66
,,2015 - 2016,0.8
,,2016 - 2017,0.53
,,2021 - 2022,0.33
,Guntur,2000 - 2001,0.28
,,2001 - 2002,0.43
,,2002 - 2003,0.31
,,2003 - 2004,0.78
,,2004 - 2005,0.66
,,2005 - 2006,0.55
,,2006 - 2007,0.4
,,2007 - 2008,0.5
,,2008 - 2009,0.71
,,2009 - 2010,1.17
,,2010 - 2011,0.34
,,2011 - 2012,1.45
,,2012 - 2013,1.67
,,2013 - 2014,1.41
,,2014 - 2015,1.43
,,2015 - 2016,1.29
,,2016 - 2017,0.57
,,2017 - 2018,1.94
,,2018 - 2019,0.53
,,2019 - 2020,0.75
,,2020 - 2021,0.83
,,2021 - 2022,0.79
,Kadapa,2000 - 2001,0.3
,,2001 - 2002,0.28
,,2002 - 2003,0.2
,,2003 - 2004,0.42
,,2004 - 2005,0.58
,,2005 - 2006,0.73
,,2006 - 2007,0.5
,,2007 - 2008,1.0
,,2008 - 2009,0.75
,,2009 - 2010,0.5
,,2010 - 2011,0.88
,,2011 - 2012,0.06
,,2012 - 2013,0.5
,,2013 - 2014,0.47
,,2014 - 2015,0.57
,,2015 - 2016,0.95
,,2016 - 2017,0.65
,,2017 - 2018,0.71
,,2018 - 2019,0.49
,,2019 - 2020,0.78
,,2020 - 2021,0.44
,,2021 - 2022,0.4
,,2022 - 2023,0.19
,Krishna,2000 - 2001,0.29
,,2002 - 2003,0.24
,,2003 - 2004,0.44
,,2013 - 2014,
,,2014 - 2015,
,,2020 - 2021,0.25
,,2021 - 2022,
,Kurnool,2000 - 2001,0.3
,,2001 - 2002,0.28
,,2002 - 2003,0.2
,,2003 - 2004,0.42
,,2004 - 2005,0.58
,,2005 - 2006,0.73
,,2006 - 2007,0.5
,,2007 - 2008,0.71
,,2008 - 2009,0.75
,,2009 - 2010,0.5
,,2010 - 2011,0.88
,,2011 - 2012,0.06
,,2012 - 2013,0.37
,,2013 - 2014,0.47
,,2014 - 2015,0.57
,,2015 - 2016,0.41
,,2016 - 2017,0.54
,,2017 - 2018,0.72
,,2018 - 2019,0.37
,,2019 - 2020,0.97
,,2020 - 2021,0.51
,,2021 - 2022,0.33
,,2022 - 2023,0.53
,Nandyal,2022 - 2023,0.3
,Palnadu,2022 - 2023,0.32
,Prakasam,2000 - 2001,0.31
,,2001 - 2002,0.25
,,2002 - 2003,0.17
,,2003 - 2004,0.3
,,2004 - 2005,0.3
,,2005 - 2006,0.25
,,2006 - 2007,0.42
,,2007 - 2008,0.64
,,2008 - 2009,0.69
,,2009 - 2010,0.51
,,2010 - 2011,0.47
,,2011 - 2012,0.41
,,2012 - 2013,0.92
,,2013 - 2014,0.72
,,2014 - 2015,0.44
,,2015 - 2016,0.55
