state,district,year,castor_seed_rabi_yield_tonne_per_hectare
Andhra Pradesh,Anantapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.48
,,2014 - 2015,0.57
,,2015 - 2016,0.94
,,2016 - 2017,0.31
,,2017 - 2018,0.57
,,2018 - 2019,0.52
,,2019 - 2020,0.43
,,2020 - 2021,0.39
,,2021 - 2022,0.16
,,2022 - 2023,0.31
,Annamayya,2022 - 2023,0.25
,Bapatla,2022 - 2023,0.25
,Chittoor,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,East godavari,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2021 - 2022,0.33
,Guntur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,1.41
,,2014 - 2015,1.45
,,2015 - 2016,1.3
,,2016 - 2017,0.55
,,2017 - 2018,1.94
,,2018 - 2019,0.54
,,2019 - 2020,0.75
,,2020 - 2021,0.83
,,2021 - 2022,0.75
,Kadapa,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.46
,,2014 - 2015,0.56
,,2015 - 2016,1.0
,,2016 - 2017,0.67
,,2017 - 2018,0.67
,,2018 - 2019,0.49
,,2019 - 2020,0.78
,,2020 - 2021,0.43
,,2021 - 2022,0.42
,,2022 - 2023,0.31
,Krishna,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2013 - 2014,0.8
,,2014 - 2015,0.0
,,2020 - 2021,
,,2021 - 2022,1.0
,Kurnool,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.48
,,2014 - 2015,0.57
,,2015 - 2016,0.4
,,2016 - 2017,0.54
,,2017 - 2018,0.72
,,2018 - 2019,0.37
,,2019 - 2020,0.97
,,2020 - 2021,0.51
,,2021 - 2022,0.33
,,2022 - 2023,0.31
,Nandyal,2022 - 2023,0.31
,Palnadu,2022 - 2023,0.31
,Prakasam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.72
,,2014 - 2015,0.44
,,2015 - 2016,0.54
,,2016 - 2017,0.53
,,2017 - 2018,0.38
,,2018 - 2019,0.29
,,2019 - 2020,0.49
,,2020 - 2021,0.22
,,2021 - 2022,0.31
,,2022 - 2023,0.32
,Spsr nellore,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2008 - 2009,
,,2011 - 2012,
,,2013 - 2014,0.83
,,2017 - 2018,
,,2018 - 2019,0.25
,,2021 - 2022,0.33
,,2022 - 2023,0.32
,Sri sathya sai,2022 - 2023,0.32
,Srikakulam,2019 - 2020,
,Visakhapatanam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,Vizianagaram,2000 - 2001,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,West godavari,2000 - 2001,
,,2001 - 2002,
,,2016 - 2017,
Assam,Baksa,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Barpeta,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Biswanath,2020 - 2021,
,,2022 - 2023,
,Bongaigaon,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
