state,district,year,ginger_kharif_yield_tonne_per_hectare
Andaman and Nicobar Islands,Nicobars,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,North and middle andaman,2000 - 2001,
,,2001 - 2002,
,,2006 - 2007,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,South andamans,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
Andhra Pradesh,Alluri sitharama raju,2022 - 2023,2.95
,Anantapur,2021 - 2022,2.67
,,2022 - 2023,3.0
,Bapatla,2022 - 2023,3.0
,Chittoor,2020 - 2021,2.0
,,2021 - 2022,2.67
,,2022 - 2023,3.0
,East godavari,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2016 - 2017,2.63
,,2020 - 2021,2.0
,Guntur,2020 - 2021,1.91
,Kadapa,2004 - 2005,
,,2012 - 2013,
,,2016 - 2017,2.5
,,2019 - 2020,2.0
,,2020 - 2021,1.75
,,2021 - 2022,2.5
,Krishna,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,7.81
,,2013 - 2014,6.62
