state,district,year,jowar_rabi_yield_tonne_per_hectare
Andhra Pradesh,Alluri sitharama raju,2022 - 2023,0.65
,Anakapalli,2022 - 2023,7.0
,Anantapur,2000 - 2001,1.11
,,2001 - 2002,1.15
,,2002 - 2003,0.91
,,2003 - 2004,0.91
,,2004 - 2005,1.2
,,2005 - 2006,0.77
,,2006 - 2007,0.62
,,2007 - 2008,0.67
,,2008 - 2009,0.56
,,2009 - 2010,0.81
,,2010 - 2011,0.62
,,2011 - 2012,0.49
,,2012 - 2013,0.6
,,2013 - 2014,0.47
,,2014 - 2015,0.26
,,2015 - 2016,0.24
,,2016 - 2017,0.11
,,2017 - 2018,0.44
,,2018 - 2019,0.13
,,2019 - 2020,0.89
,,2020 - 2021,0.41
,,2021 - 2022,0.65
,,2022 - 2023,1.56
,Annamayya,2022 - 2023,2.35
,Bapatla,2022 - 2023,8.29
,Chittoor,2000 - 2001,1.2
,,2001 - 2002,1.46
,,2002 - 2003,1.19
,,2003 - 2004,1.17
,,2004 - 2005,1.56
,,2005 - 2006,1.73
,,2006 - 2007,1.21
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.5
,,2018 - 2019,
,,2019 - 2020,1.45
,,2020 - 2021,1.63
,,2021 - 2022,
,,2022 - 2023,2.36
,East godavari,2000 - 2001,0.86
,,2001 - 2002,0.73
,,2002 - 2003,0.8
,,2003 - 2004,
,,2004 - 2005,2.0
,,2005 - 2006,2.92
,,2006 - 2007,2.13
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,3.5
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,4.58
,,2014 - 2015,0.65
,,2015 - 2016,0.87
,,2016 - 2017,0.7
,,2017 - 2018,0.64
,,2018 - 2019,0.68
,,2019 - 2020,0.37
,,2020 - 2021,0.49
,,2021 - 2022,5.75
,,2022 - 2023,7.24
,Eluru,2022 - 2023,7.24
,Guntur,2000 - 2001,0.87
,,2001 - 2002,0.74
,,2002 - 2003,0.8
,,2003 - 2004,1.88
,,2004 - 2005,5.31
,,2005 - 2006,5.23
,,2006 - 2007,5.76
,,2007 - 2008,5.0
,,2008 - 2009,6.98
,,2009 - 2010,5.92
,,2010 - 2011,6.09
,,2011 - 2012,5.98
,,2012 - 2013,5.32
,,2013 - 2014,6.05
,,2014 - 2015,6.89
,,2015 - 2016,6.61
,,2016 - 2017,5.97
,,2017 - 2018,5.66
,,2018 - 2019,4.65
,,2019 - 2020,5.96
,,2020 - 2021,5.98
,,2021 - 2022,5.53
,,2022 - 2023,7.92
,Kadapa,2000 - 2001,1.2
,,2001 - 2002,0.46
,,2002 - 2003,0.25
,,2003 - 2004,0.5
,,2004 - 2005,0.34
,,2005 - 2006,1.2
,,2006 - 2007,0.74
,,2007 - 2008,1.2
,,2008 - 2009,0.77
,,2009 - 2010,0.93
,,2010 - 2011,1.52
,,2011 - 2012,0.33
,,2012 - 2013,1.46
,,2013 - 2014,1.28
,,2014 - 2015,1.58
,,2015 - 2016,2.0
,,2016 - 2017,1.08
,,2017 - 2018,0.63
,,2018 - 2019,0.63
,,2019 - 2020,1.03
,,2020 - 2021,0.73
,,2021 - 2022,0.91
,,2022 - 2023,1.61
,Kakinada,2022 - 2023,7.0
,Krishna,2000 - 2001,0.42
,,2001 - 2002,0.74
,,2002 - 2003,0.8
,,2003 - 2004,1.88
,,2004 - 2005,1.88
,,2005 - 2006,2.92
,,2006 - 2007,2.16
,,2008 - 2009,4.72
,,2009 - 2010,3.49
,,2010 - 2011,3.9
,,2011 - 2012,4.65
,,2013 - 2014,4.61
,,2014 - 2015,4.52
,,2015 - 2016,4.3
,,2016 - 2017,3.44
,,2017 - 2018,4.25
,,2018 - 2019,2.75
,,2019 - 2020,4.96
,,2020 - 2021,3.94
,,2021 - 2022,3.18
,,2022 - 2023,7.24
,Kurnool,2000 - 2001,1.22
,,2001 - 2002,1.53
,,2002 - 2003,1.34
,,2003 - 2004,1.34
,,2004 - 2005,1.61
,,2005 - 2006,1.92
,,2006 - 2007,1.5
,,2007 - 2008,2.14
,,2008 - 2009,2.42
,,2009 - 2010,1.63
,,2010 - 2011,1.82
,,2011 - 2012,1.82
,,2012 - 2013,1.72
,,2013 - 2014,1.84
,,2014 - 2015,1.88
,,2015 - 2016,1.91
,,2016 - 2017,1.58
,,2017 - 2018,1.77
,,2018 - 2019,0.94
,,2019 - 2020,1.69
,,2020 - 2021,1.94
,,2021 - 2022,2.17
,,2022 - 2023,1.27
,Nandyal,2022 - 2023,2.84
,Ntr,2022 - 2023,4.21
,Palnadu,2022 - 2023,2.39
,Parvathipuram manyam,2022 - 2023,
,Prakasam,2000 - 2001,0.81
,,2001 - 2002,0.74
,,2002 - 2003,0.8
,,2003 - 2004,1.88
,,2004 - 2005,0.85
,,2005 - 2006,0.98
,,2006 - 2007,1.04
,,2007 - 2008,1.0
,,2008 - 2009,2.34
,,2009 - 2010,2.32
,,2010 - 2011,1.63
,,2011 - 2012,2.11
,,2012 - 2013,1.95
,,2013 - 2014,2.12
,,2014 - 2015,1.52
,,2015 - 2016,2.19
,,2016 - 2017,0.78
,,2017 - 2018,0.6
,,2018 - 2019,0.16
,,2019 - 2020,0.79
,,2020 - 2021,0.95
,,2021 - 2022,1.57
,,2022 - 2023,2.17
,Spsr nellore,2000 - 2001,1.25
,,2001 - 2002,0.74
,,2002 - 2003,0.8
,,2003 - 2004,1.88
,,2004 - 2005,1.88
,,2005 - 2006,2.92
,,2006 - 2007,2.16
,,2008 - 2009,4.71
,,2009 - 2010,3.48
,,2010 - 2011,3.88
,,2011 - 2012,4.65
,,2012 - 2013,4.0
,,2013 - 2014,4.61
,,2014 - 2015,1.81
,,2015 - 2016,2.49
,,2016 - 2017,2.31
,,2017 - 2018,4.25
,,2018 - 2019,0.86
,,2019 - 2020,1.44
,,2020 - 2021,1.25
,,2021 - 2022,1.59
,,2022 - 2023,3.14
,Sri sathya sai,2022 - 2023,2.36
,Srikakulam,2000 - 2001,0.81
,,2001 - 2002,0.73
,,2002 - 2003,0.8
,,2003 - 2004,1.89
,,2004 - 2005,1.87
,,2005 - 2006,2.94
,,2006 - 2007,2.17
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,3.83
,,2011 - 2012,4.67
,,2013 - 2014,4.62
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,3.5
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,5.0
,,2021 - 2022,
,,2022 - 2023,
,Tirupati,2022 - 2023,2.33
,Visakhapatanam,2000 - 2001,0.87
,,2001 - 2002,0.73
,,2002 - 2003,0.8
,,2003 - 2004,1.88
,,2004 - 2005,1.88
,,2005 - 2006,2.91
,,2006 - 2007,2.11
,,2007 - 2008,
,,2008 - 2009,4.73
,,2009 - 2010,3.49
,,2010 - 2011,4.0
,,2011 - 2012,4.75
,,2012 - 2013,
,,2013 - 2014,4.58
,,2014 - 2015,4.5
,,2015 - 2016,4.0
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,5.0
,,2020 - 2021,
,,2021 - 2022,
,Vizianagaram,2000 - 2001,0.88
,,2001 - 2002,0.73
,,2002 - 2003,0.8
,,2003 - 2004,1.87
,,2004 - 2005,1.88
,,2005 - 2006,2.92
,,2006 - 2007,2.17
,,2007 - 2008,
,,2008 - 2009,4.71
,,2009 - 2010,3.4
,,2010 - 2011,
,,2011 - 2012,4.69
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,4.6
,,2015 - 2016,4.0
,,2016 - 2017,
,,2017 - 2018,4.29
,,2018 - 2019,
,,2020 - 2021,5.26
,,2021 - 2022,
,,2022 - 2023,
