state,district,year,jute_kharif_yield_tonne_per_hectare
Assam,Baksa,2005 - 2006,9.27
,,2006 - 2007,9.69
,,2007 - 2008,6.99
,,2008 - 2009,8.86
,,2009 - 2010,9.15
,,2010 - 2011,15.35
,,2011 - 2012,7.51
,,2012 - 2013,5.72
,,2013 - 2014,6.64
,,2014 - 2015,5.37
,,2015 - 2016,6.42
,,2016 - 2017,5.8
,,2017 - 2018,5.44
,,2018 - 2019,7.24
,,2019 - 2020,6.14
,,2020 - 2021,7.39
,,2021 - 2022,7.93
,,2022 - 2023,11.87
,Barpeta,2000 - 2001,7.36
,,2001 - 2002,9.12
,,2002 - 2003,8.92
,,2003 - 2004,9.97
,,2004 - 2005,0.74
,,2005 - 2006,9.38
,,2006 - 2007,10.1
,,2007 - 2008,10.39
,,2008 - 2009,8.12
,,2009 - 2010,8.5
,,2010 - 2011,7.81
,,2011 - 2012,9.99
,,2012 - 2013,4.5
,,2013 - 2014,8.67
,,2014 - 2015,10.35
,,2015 - 2016,10.94
,,2016 - 2017,9.32
,,2017 - 2018,14.46
,,2018 - 2019,12.07
,,2019 - 2020,12.27
,,2020 - 2021,11.69
,,2021 - 2022,12.64
,,2022 - 2023,13.04
,Biswanath,2020 - 2021,8.19
,,2021 - 2022,7.76
,,2022 - 2023,11.66
,Bongaigaon,2000 - 2001,10.84
,,2001 - 2002,10.27
,,2002 - 2003,10.92
,,2003 - 2004,10.22
,,2004 - 2005,10.23
,,2005 - 2006,9.14
,,2006 - 2007,10.37
,,2007 - 2008,9.08
,,2008 - 2009,11.0
,,2009 - 2010,11.54
,,2010 - 2011,11.45
,,2011 - 2012,10.53
,,2012 - 2013,10.84
,,2013 - 2014,13.49
,,2014 - 2015,12.2
,,2015 - 2016,10.94
,,2016 - 2017,11.06
,,2017 - 2018,11.76
,,2018 - 2019,11.25
,,2019 - 2020,11.62
,,2020 - 2021,18.35
,,2021 - 2022,11.53
,,2022 - 2023,10.31
,Cachar,2000 - 2001,9.61
,,2001 - 2002,9.9
,,2002 - 2003,10.17
,,2003 - 2004,10.39
,,2004 - 2005,7.09
,,2005 - 2006,10.21
,,2006 - 2007,9.67
,,2007 - 2008,10.98
,,2008 - 2009,10.77
,,2009 - 2010,10.92
,,2010 - 2011,10.04
,,2011 - 2012,9.25
,,2012 - 2013,8.56
,,2013 - 2014,10.27
,,2014 - 2015,10.88
,,2015 - 2016,12.0
,,2016 - 2017,10.68
,,2017 - 2018,12.03
,,2018 - 2019,11.56
,,2019 - 2020,12.33
,,2020 - 2021,12.31
,,2021 - 2022,12.09
,,2022 - 2023,11.88
,Charaideo,2020 - 2021,12.25
,,2021 - 2022,12.0
,,2022 - 2023,11.8
,Chirang,2005 - 2006,9.97
,,2006 - 2007,9.69
,,2007 - 2008,10.39
